episode,step,node,value,is_breaker
0,1,X1,1.1300,0
0,2,X2,-3.8314,0
0,3,X2,1.5000,0
0,4,X2,3.0036,0
0,5,X2,-2.3709,0
0,6,X2,2.6821,0
0,7,X1,-3.0240,0
0,8,X2,2.3103,0
0,9,X2,4.4401,0
1,1,X2,1.5000,0
1,2,X2,1.5000,0
1,3,X2,1.5000,0
1,4,X1,0.8418,0
1,5,X2,-3.0123,0
1,6,X2,4.2736,0
1,7,X1,0.8367,0
1,8,X2,1.5000,0
1,9,X2,1.5000,0
1,10,X2,1.5000,0
1,11,X1,-1.3047,0
1,12,X2,1.5000,0
1,13,X2,1.5000,0
1,14,X1,-2.2765,0
1,15,X2,1.5000,0
1,16,X2,1.5000,0
1,17,X1,2.4123,0
1,18,X2,1.5000,0
1,19,X2,1.5000,0
1,20,X2,1.5000,0
1,21,X1,3.8413,0
1,22,X2,1.5000,0
1,23,X2,1.5000,0
1,24,X1,-2.3319,0
2,0,X2,1.5000,0
2,1,X2,1.5000,0
2,2,X1,-2.2088,0
2,3,X2,1.5000,0
2,4,X2,1.5000,0
2,5,X2,1.5000,0
2,6,X1,-4.9831,0
2,7,X2,1.5000,0
2,8,X2,1.5000,0
2,9,X1,-0.9760,0
2,10,X2,1.5000,0
3,0,X2,1.5000,0
3,1,X1,-0.5784,0
3,2,X2,1.5000,0
3,3,X2,1.5000,0
3,4,X2,-4.8779,0
3,5,X1,1.9635,0
3,6,X2,-1.2452,0
3,7,X2,1.5000,0
3,8,X1,0.9545,0
3,9,X2,-2.4761,0
3,10,X2,-3.7040,0
3,11,X1,-2.1427,0
3,12,X2,-3.8437,0
3,13,X2,-2.9211,0
3,14,X2,-0.7163,0
3,15,X1,-0.8098,0
3,16,X2,-3.9029,0
3,17,X2,-4.1748,0
3,18,X1,1.4275,0
3,19,X2,-3.9417,0
3,20,X2,1.5000,0
3,21,X1,1.5175,0
3,22,X2,-4.2381,0
3,23,X2,-1.1655,0
3,24,X2,-0.1764,0
4,0,X1,-4.2400,0
4,1,X2,-0.7485,0
4,2,X2,-2.8581,0
4,3,X1,1.3559,0
4,4,X2,-0.1726,0
4,5,X2,-1.3449,0
4,6,X1,1.1033,0
4,7,X2,-3.9394,0
4,8,X2,-4.9492,0
4,9,X2,3.4530,0
4,10,X1,0.8156,0
