episode,step,node,value,is_breaker
0,0,X1,5.0000,0
0,1,X2,1.7124,0
0,2,X1,3.9030,0
0,3,X1,-2.4102,0
0,6,X2,2.0442,0
0,7,X2,1.5000,0
0,8,X2,1.5000,0
0,9,X2,1.5000,0
0,10,X2,1.5000,0
0,11,X2,-0.2263,0
0,12,X2,-4.7272,0
0,13,X2,1.5000,0
0,14,X2,-2.0005,0
0,15,X2,1.5000,0
0,16,X2,1.5000,0
0,17,X1,-2.2366,0
0,18,X2,1.5000,0
0,19,X2,1.5000,0
0,20,X2,1.5000,0
0,21,X1,0.3041,0
0,22,X2,1.5000,0
0,23,X2,1.5000,0
0,24,X1,2.9533,0
1,0,X2,1.5000,0
1,1,X2,1.5000,0
1,2,X1,3.5238,0
1,3,X2,1.5000,0
1,4,X2,1.5000,0
1,5,X2,1.5000,0
1,6,X1,1.0858,0
1,7,X2,1.5000,0
1,8,X2,1.5000,0
1,9,X1,0.3572,0
1,10,X2,1.5000,0
1,11,X2,1.5000,0
1,12,X1,0.3112,0
1,13,X2,1.5000,0
2,0,X2,1.5000,0
2,1,X2,1.5000,0
2,2,X1,2.9448,0
2,3,X2,1.5000,0
2,4,X2,1.5000,0
2,5,X1,-4.1278,0
2,6,X2,1.5000,0
2,7,X2,1.5000,0
2,8,X1,-0.3260,0
2,9,X2,1.5000,0
2,10,X2,1.5000,0
2,11,X2,-4.6852,0
2,12,X1,-3.2933,0
2,13,X2,-0.9701,0
2,14,X2,1.5000,0
2,15,X1,-3.0995,0
2,16,X2,-2.9885,0
2,17,X2,1.5000,0
2,18,X1,0.9502,0
2,19,X2,-3.7954,0
2,20,X2,-1.3123,0
2,21,X2,-1.4839,0
2,22,X1,-3.5574,0
3,0,X2,-1.0428,0
3,1,X2,-3.6110,0
3,2,X1,1.5676,0
3,3,X2,-1.0831,0
3,4,X2,-3.7153,0
3,5,X1,1.0119,0
3,6,X2,-3.5324,0
3,7,X2,-1.0546,0
3,8,X2,-3.3084,0
3,9,X1,-1.3714,0
3,10,X2,-1.3667,0
3,11,X2,-4.0021,0
3,12,X1,3.7589,0
3,13,X2,-4.4131,0
3,14,X2,-2.9285,0
3,15,X1,-0.1570,0
3,16,X2,1.4952,0
3,17,X2,-3.4762,0
3,18,X2,1.4537,0
3,19,X1,-4.4662,0
3,20,X2,1.4799,0
3,21,X2,-1.9389,0
3,22,X1,-4.9137,0
4,0,X2,2.1686,0
4,1,X2,-4.6560,0
4,2,X1,-2.8443,0
4,3,X2,2.5826,0
4,4,X2,0.3480,0
4,5,X2,1.9392,0
4,6,X1,-4.7484,0
4,7,X2,-1.7222,0
4,8,X2,4.5499,0
4,9,X1,3.9179,0
4,10,X2,-3.6472,0
4,11,X2,1.5000,0
4,12,X1,4.7558,0
4,13,X2,-1.1946,0
4,14,X2,-1.1203,0
4,15,X2,3.5776,0
4,16,X1,3.2892,0
