loss,preference_margin,ref_margin,kl_from_ref,sigmoid_input,winner_target,loser_target
0.69140625,0.0,0.0,0.0,0.0,X10,X10
0.69140625,0.0,0.0,-4.0,0.0,X10,X10
0.69140625,-12.0,-12.0,0.0,0.0,X3,X10
0.69140625,-8.0,-8.0,-16.0,0.0,X14,X10
0.26171875,4.0,-8.0,-26.0,12.0,X3,X10
0.08642578125,12.0,-12.0,-32.0,24.0,X14,X10
0.039794921875,24.0,-8.0,-48.0,32.0,X3,X10
0.002471923828125,48.0,-12.0,-54.0,60.0,X14,X10
0.000335693359375,72.0,-8.0,-80.0,80.0,X3,X10
0.69140625,0.0,0.0,-156.0,0.0,X10,X10
1.3828277587890625e-05,104.0,-8.0,-108.0,112.0,X14,X10
2.014636993408203e-05,100.0,-8.0,-110.0,108.0,X3,X10
0.69140625,0.0,0.0,-204.0,0.0,X10,X10
8.940696716308594e-06,104.0,-12.0,-142.0,116.0,X14,X10
3.123283386230469e-05,96.0,-8.0,-156.0,104.0,X3,X10
0.69140625,0.0,0.0,-216.0,0.0,X10,X10
4.5299530029296875e-05,92.0,-8.0,-178.0,100.0,X14,X10
8.307397365570068e-07,128.0,-12.0,-194.0,140.0,X3,X10
0.69140625,0.0,0.0,-224.0,0.0,X10,X10
1.3828277587890625e-05,104.0,-8.0,-168.0,112.0,X14,X10
6.139278411865234e-06,116.0,-4.0,-204.0,120.0,X3,X10
6.628036499023438e-05,92.0,-4.0,-144.0,96.0,X50,X10
2.014636993408203e-05,100.0,-8.0,-194.0,108.0,X49,X10
4.231929779052734e-06,112.0,-12.0,-214.0,124.0,X59,X10
4.231929779052734e-06,108.0,-16.0,-186.0,124.0,X43,X10
3.688037395477295e-07,144.0,-4.0,-198.0,148.0,X36,X10
1.8775463104248047e-06,128.0,-4.0,-206.0,132.0,X25,X10
2.5331974029541016e-07,152.0,0.0,-220.0,152.0,X32,X10
4.231929779052734e-06,120.0,-4.0,-210.0,124.0,X62,X10
1.2069940567016602e-06,124.0,-12.0,-232.0,136.0,X42,X10
5.699694156646729e-07,140.0,-4.0,-216.0,144.0,X37,X10
4.231929779052734e-06,116.0,-8.0,-258.0,124.0,X41,X10
0.69140625,0.0,0.0,-240.0,0.0,X10,X10
0.69140625,0.0,0.0,-256.0,0.0,X10,X10
0.69140625,0.0,0.0,-284.0,0.0,X10,X10
0.69140625,0.0,0.0,-260.0,0.0,X10,X10
0.69140625,0.0,0.0,0.0,0.0,X10,X10
0.69140625,0.0,0.0,-8.0,0.0,X10,X10
0.69140625,0.0,0.0,-16.0,0.0,X10,X10
0.69140625,0.0,0.0,-32.0,0.0,X10,X10
0.69140625,0.0,0.0,-16.0,0.0,X10,X10
0.69140625,0.0,0.0,0.0,0.0,X10,X10
0.69140625,76.0,76.0,0.0,0.0,X66,X10
0.26171875,92.0,80.0,2.0,12.0,X36,X10
0.01214599609375,112.0,68.0,-30.0,44.0,X34,X10
0.69140625,0.0,0.0,-80.0,0.0,X10,X10
0.005584716796875,128.0,76.0,-54.0,52.0,X37,X10
0.69140625,0.0,0.0,-112.0,0.0,X10,X10
0.69140625,0.0,0.0,-132.0,0.0,X10,X10
0.69140625,0.0,0.0,-152.0,0.0,X10,X10
0.000148773193359375,164.0,76.0,-116.0,88.0,X42,X10
0.69140625,0.0,0.0,-160.0,0.0,X10,X10
0.69140625,0.0,0.0,0.0,0.0,X10,X10
0.69140625,0.0,0.0,-8.0,0.0,X10,X10
0.69140625,0.0,0.0,-8.0,0.0,X10,X10
1.171875,156.0,164.0,-4.0,-8.0,X63,X10
0.26171875,200.0,188.0,-26.0,12.0,X42,X10
0.69140625,0.0,0.0,-44.0,0.0,X10,X10
0.69140625,0.0,0.0,-76.0,0.0,X10,X10
0.69140625,0.0,0.0,-64.0,0.0,X10,X10
0.69140625,0.0,0.0,-64.0,0.0,X10,X10
0.69140625,0.0,0.0,-92.0,0.0,X10,X10
0.69140625,0.0,0.0,-72.0,0.0,X10,X10
0.69140625,0.0,0.0,-76.0,0.0,X10,X10
0.69140625,0.0,0.0,-96.0,0.0,X10,X10
