episode,step,node,value,is_breaker
1,4,X3,3.6812,0
1,5,X14,-4.8697,0
1,6,X3,1.9901,0
2,0,X14,-0.7625,0
2,1,X3,-3.5530,0
2,3,X14,-4.1062,0
2,7,X3,0.9508,0
3,2,X14,-0.9609,0
3,5,X3,3.0938,0
4,2,X14,1.6684,0
4,5,X3,-4.6075,0
5,1,X14,2.4196,0
5,5,X3,-4.1531,0
6,1,X14,1.9457,0
6,4,X3,-2.9465,0
7,0,X50,3.4580,0
7,1,X49,-4.7492,0
7,2,X59,3.9474,0
7,3,X43,2.9395,0
7,4,X36,-0.8999,0
7,6,X25,0.1171,0
7,7,X32,-1.1461,0
8,0,X47,-1.9749,0
8,1,X62,0.6430,0
8,2,X42,1.2862,0
8,3,X37,-2.2999,0
8,5,X41,4.0296,0
8,6,X25,4.3197,0
8,7,X26,-4.1762,0
8,8,X50,0.5738,0
8,9,X32,-1.6526,0
8,10,X25,-1.1147,0
8,11,X44,1.5329,0
8,12,X32,-2.3236,0
8,13,X25,4.7696,0
8,14,X52,-0.9656,0
8,16,X66,1.1209,0
8,17,X34,-4.6637,0
8,19,X49,1.5133,0
9,1,X24,-0.4023,0
9,2,X65,1.2567,0
9,4,X46,0.5123,0
9,6,X65,1.1378,0
10,1,X54,1.1642,0
10,3,X52,-1.5495,0
10,5,X37,3.8767,0
11,0,X47,2.5530,0
11,2,X63,4.6722,0
11,4,X60,1.4238,0
11,6,X46,-3.2757,0
11,8,X43,4.9906,0
11,10,X53,0.0253,0
11,12,X44,-0.0689,0
11,14,X20,0.1427,0
11,16,X20,-4.6238,0
12,1,X60,3.7642,0
12,4,X52,2.0680,0
12,5,X33,-1.7884,0
13,0,X62,4.4610,0
13,2,X42,-2.4424,0
13,4,X41,1.7136,0
13,6,X63,2.3773,0
14,0,X47,-3.0305,0
14,2,X50,-2.5484,0
14,4,X66,-4.6130,0
14,6,X45,3.4112,0
15,0,X49,-0.3193,0
15,2,X59,2.7050,0
15,5,X54,-0.1398,0
15,6,X42,-0.2627,0
16,1,X40,-2.9639,0
16,5,X44,0.3098,0
16,6,X37,-3.2249,0
17,0,X50,-4.7786,0
17,2,X59,-2.4417,0
17,4,X44,3.3121,0
17,6,X36,-2.2355,0
18,0,X49,0.3393,0
18,2,X43,-2.8499,0
18,4,X41,-0.2940,0
18,6,X63,-0.0227,0
19,1,X66,-2.8658,0
19,3,X37,-4.0304,0
19,5,X44,4.2342,0
20,0,X42,4.8106,0
20,2,X26,-3.2857,0
20,4,X36,4.2975,0
20,6,X26,4.8062,0
20,8,X41,0.1152,0
20,11,X20,-0.9550,0
20,12,X32,-4.2169,0
20,15,X34,-4.5207,0
20,16,X50,4.6143,0
20,18,X47,2.6649,0
20,20,X47,-1.9667,0
21,0,X62,-1.7571,0
21,2,X59,-4.1151,0
21,4,X26,-2.3875,0
21,6,X37,2.8260,0
22,2,X52,4.0123,0
22,3,X43,4.0578,0
22,5,X52,-0.2453,0
23,0,X49,1.8948,0
23,2,X44,4.8620,0
23,4,X37,4.4385,0
23,6,X33,2.7822,0
24,0,X42,-3.2090,0
24,1,X50,1.1037,0
24,3,X36,4.9381,0
24,5,X47,-0.7873,0
24,7,X57,4.4324,0
24,9,X36,2.8282,0
25,1,X26,3.9024,0
25,3,X36,1.7685,0
25,5,X65,3.0143,0
26,0,X62,4.2772,0
26,2,X59,3.4912,0
26,4,X49,-2.6644,0
26,6,X52,-4.0339,0
26,8,X59,-4.5226,0
26,10,X36,2.8253,0
26,12,X37,-1.0133,0
27,0,X65,2.6235,0
27,1,X62,-2.2406,0
27,3,X53,4.0312,0
27,5,X63,0.9557,0
27,7,X54,-1.2534,0
28,0,X42,-4.6826,0
28,3,X59,1.7606,0
28,4,X43,-0.7898,0
28,6,X34,-3.6493,0
28,8,X45,0.4357,0
29,0,X50,0.9327,0
29,2,X52,-3.8154,0
29,4,X34,-4.2564,0
29,6,X34,-2.9217,0
30,2,X25,2.0281,0
30,3,X43,0.6791,0
30,5,X57,4.8815,0
31,0,X49,3.9076,0
31,2,X37,-3.0439,0
31,4,X36,3.0077,0
31,6,X52,-0.9583,0
32,1,X36,1.8965,0
32,3,X32,1.9414,0
32,5,X26,4.4251,0
33,0,X24,-4.9567,0
33,2,X40,3.4130,0
33,4,X42,-2.6871,0
33,6,X33,-3.8554,0
33,8,X66,4.7182,0
33,11,X45,-0.1008,0
34,0,X65,1.2272,0
34,2,X32,-1.6977,0
34,4,X33,-4.4735,0
34,6,X54,4.9591,0
34,8,X59,4.4910,0
34,10,X60,2.0398,0
34,12,X66,-4.8716,0
34,14,X34,4.0290,0
34,16,X54,-3.9038,0
34,18,X50,-3.5236,0
34,20,X49,-0.2491,0
34,22,X42,1.8887,0
34,24,X50,-2.6600,0
35,1,X66,2.6983,0
35,3,X46,1.3054,0
35,5,X45,-0.4546,0
36,1,X37,0.9579,0
36,2,X41,-3.8951,0
36,4,X59,-0.3023,0
37,0,X37,1.1213,0
37,1,X59,-4.6684,0
37,4,X54,2.4006,0
37,5,X43,4.4744,0
37,7,X24,-2.3756,0
38,0,X49,0.1336,0
38,2,X43,-1.0090,0
38,4,X53,-1.1987,0
38,6,X34,4.9194,0
39,1,X44,2.0886,0
39,3,X46,-2.0946,0
40,0,X37,-2.3322,0
40,1,X59,2.3035,0
40,3,X52,0.5880,0
40,4,X42,3.2484,0
40,6,X34,-3.9020,0
41,0,X46,2.7778,0
41,2,X44,0.7475,0
41,4,X44,-0.7201,0
41,7,X36,3.3147,0
42,1,X44,-3.4537,0
42,2,X52,1.3915,0
42,4,X36,-0.7649,0
43,0,X62,3.4225,0
43,1,X65,3.1743,0
43,3,X50,3.8625,0
43,5,X37,-0.1747,0
44,0,X49,3.0476,0
44,2,X66,3.6924,0
44,4,X63,-2.5422,0
44,6,X41,3.5933,0
44,8,X54,-2.2133,0
44,10,X43,1.8400,0
44,12,X59,1.5480,0
44,14,X47,4.9267,0
44,16,X37,-4.1851,0
44,18,X66,-4.0583,0
44,20,X62,-0.7190,0
45,1,X42,-3.3522,0
45,3,X40,2.9296,0
45,5,X26,2.4999,0
46,0,X46,2.8266,0
46,2,X47,3.2530,0
46,4,X52,1.7435,0
46,6,X63,-4.8042,0
47,0,X50,-3.2722,0
47,2,X41,2.7667,0
47,4,X54,3.5934,0
47,7,X34,0.6671,0
47,9,X43,0.2114,0
47,10,X36,3.6556,0
47,12,X43,3.2011,0
47,14,X66,-3.0762,0
47,16,X52,1.7078,0
47,18,X47,4.2525,0
47,20,X57,-0.3886,0
47,22,X53,-2.5998,0
47,24,X34,2.4070,0
48,2,X63,-3.5644,0
48,3,X41,-2.4497,0
48,5,X32,-0.3336,0
49,0,X49,-3.5740,0
49,2,X59,3.5649,0
49,4,X60,0.6136,0
49,6,X36,-4.8913,0
49,8,X20,4.1324,0
49,10,X63,-2.3063,0
49,12,X37,4.0724,0
49,14,X59,-2.4751,0
49,16,X42,0.2294,0
49,18,X50,1.0855,0
49,20,X33,-4.2229,0
49,22,X54,2.6895,0
49,24,X34,-1.7127,0
50,1,X49,1.6823,0
50,3,X52,-4.8465,0
50,5,X60,4.9685,0
51,0,X65,-3.9368,0
51,2,X42,-2.9083,0
52,6,X43,-4.8473,0
53,0,X62,3.3472,0
53,1,X65,-4.2036,0
53,2,X43,-1.7918,0
53,4,X37,-0.7449,0
53,5,X26,3.6574,0
54,1,X36,-0.7875,0
54,4,X45,2.3063,0
55,0,X59,-4.1992,0
55,4,X52,2.8522,0
56,0,X62,-1.1932,0
56,2,X43,4.8423,0
56,6,X41,-2.7604,0
57,0,X50,3.6014,0
57,3,X66,3.7703,0
57,6,X57,0.5621,0
58,0,X37,-1.8343,0
58,1,X59,-2.5364,0
58,2,X49,-0.4860,0
58,4,X36,-1.6496,0
58,5,X50,-2.3838,0
58,6,X43,1.7183,0
58,7,X49,4.3791,0
58,8,X47,3.2060,0
59,0,X42,0.0052,0
59,1,X42,3.7571,0
59,5,X34,3.6550,0
59,6,X32,-1.1265,0
59,7,X34,-0.6576,0
59,8,X44,3.7556,0
59,9,X62,0.1463,0
59,10,X32,-3.9807,0
59,11,X65,-3.2983,0
59,12,X53,-3.4179,0
59,13,X47,2.9915,0
59,14,X62,0.1915,0
59,15,X65,-2.6337,0
59,16,X47,-1.5330,0
59,17,X44,2.8102,0
60,2,X37,-3.2249,0
60,3,X59,-2.6963,0
60,5,X50,-1.3186,0
61,0,X49,2.6344,0
61,2,X52,4.6283,0
61,4,X37,2.8665,0
61,6,X34,-4.5848,0
62,2,X32,3.9403,0
62,3,X26,3.5181,0
62,5,X52,3.5483,0
62,7,X34,-3.8634,0
62,10,X43,-3.1604,0
62,11,X37,-1.9168,0
62,13,X33,0.5341,0
62,15,X45,-2.5032,0
62,17,X50,0.7182,0
62,19,X46,3.2255,0
62,22,X63,1.2901,0
62,23,X41,0.8693,0
63,0,X65,-4.8130,0
63,2,X52,2.9364,0
63,4,X36,-2.9773,0
63,6,X52,2.2152,0
64,0,X42,4.8214,0
64,2,X43,0.9802,0
64,4,X47,-3.4035,0
64,6,X33,4.4478,0
64,9,X36,-4.3700,0
64,10,X52,-2.1993,0
64,13,X36,0.9054,0
64,14,X52,2.9901,0
64,16,X59,3.4536,0
64,20,X45,0.6112,0
64,21,X33,-4.9241,0
64,22,X63,3.6329,0
64,24,X40,1.2317,0
65,1,X36,-1.9037,0
65,3,X44,2.1275,0
65,5,X45,2.0611,0
65,7,X43,-2.3079,0
65,9,X32,-3.9930,0
65,11,X53,-4.7545,0
65,13,X49,-2.6122,0
65,15,X50,4.3089,0
65,17,X62,-1.2205,0
65,19,X44,-0.2333,0
65,21,X44,-2.6164,0
65,23,X43,-4.6156,0
66,0,X42,-4.0668,0
66,2,X37,0.4828,0
66,6,X59,4.2423,0
66,7,X41,3.7532,0
67,1,X49,-4.7519,0
67,3,X36,-2.1286,0
67,4,X36,2.5461,0
67,6,X25,0.2199,0
68,1,X57,3.4753,0
68,4,X60,-2.7010,0
68,5,X47,2.6980,0
69,0,X47,3.0592,0
69,3,X66,-1.0868,0
69,4,X50,2.5951,0
69,6,X42,0.5354,0
70,0,X49,-4.4338,0
70,2,X44,2.6119,0
70,4,X52,-1.7073,0
70,6,X37,-2.8108,0
71,2,X43,1.5036,0
71,3,X50,-1.2669,0
71,6,X41,-0.7716,0
