episode,step,node,value,is_breaker
0,1,X1,-5.0000,0
0,2,X2,-5.0000,0
0,3,X2,1.5000,0
0,4,X2,-5.0000,0
0,5,X2,1.9700,0
0,6,X2,-4.9100,0
0,7,X2,-5.0000,0
0,8,X2,0.9400,0
0,9,X1,-5.0000,0
0,10,X2,-5.0000,0
0,11,X1,-1.1316,0
0,12,X2,-5.0000,0
0,13,X2,0.6459,0
1,0,X1,2.0347,0
1,1,X2,2.3484,0
1,2,X1,1.8944,0
1,3,X2,1.5000,0
1,4,X2,1.5000,0
1,5,X2,1.5000,0
1,6,X2,0.5305,0
1,7,X1,-2.0757,0
1,8,X2,1.5000,0
1,9,X2,0.9442,0
1,10,X1,-4.1396,0
1,11,X2,1.5000,0
1,12,X2,1.5000,0
1,13,X1,-0.7983,0
1,14,X2,1.5000,0
