episode,step,node,value,is_breaker
0,0,X13,1.7100,0
0,1,X4,-4.0100,0
0,2,X9,2.0900,0
0,3,X19,3.5200,0
0,4,X2,1.5000,0
0,5,X2,1.5000,0
0,6,X2,1.5000,0
0,7,X2,1.5000,0
0,8,X2,1.5000,0
1,0,X2,1.5000,0
1,1,X2,1.5000,0
1,2,X2,1.5000,0
1,3,X2,1.5000,0
1,4,X2,1.5000,0
1,5,X1,0.8418,0
1,6,X2,1.5000,0
1,7,X2,1.5000,0
1,8,X3,0.8367,0
1,9,X2,1.5000,0
2,0,X2,1.5000,0
2,1,X2,1.5000,0
2,2,X1,-1.3047,0
2,3,X2,1.5000,0
2,4,X2,1.5000,0
2,5,X3,-2.2765,0
2,6,X2,1.5000,0
2,7,X2,1.5000,0
2,8,X1,2.4123,0
2,9,X2,1.5000,0
3,0,X2,1.5000,0
3,1,X2,1.5000,0
3,2,X3,3.8413,0
3,3,X2,1.5000,0
3,4,X2,1.5000,0
3,5,X1,-2.3319,0
3,6,X2,1.5000,0
3,7,X2,1.5000,0
3,8,X3,-2.2088,0
3,9,X2,1.5000,0
3,10,X2,1.5000,0
3,11,X2,1.5000,0
3,12,X1,-4.9831,0
3,13,X2,1.5000,0
3,14,X2,1.5000,0
3,15,X3,-0.9760,0
3,16,X2,1.5000,0
3,17,X2,1.5000,0
3,18,X1,-0.5784,0
3,19,X2,1.5000,0
3,20,X2,1.5000,0
3,21,X2,-4.8779,0
3,22,X3,1.9635,0
3,23,X2,-1.2452,0
3,24,X2,1.5000,0
4,0,X1,0.9545,0
4,1,X2,-2.4761,0
4,2,X2,-3.7040,0
4,3,X3,-2.1427,0
4,4,X2,-3.8437,0
4,5,X2,-2.9211,0
4,6,X2,-0.7163,0
4,7,X1,-0.8098,0
5,0,X2,-3.9029,0
5,1,X2,-4.1748,0
5,2,X3,1.4275,0
5,3,X2,-3.9417,0
5,4,X2,1.5000,0
5,5,X1,1.5175,0
5,6,X2,-4.2381,0
5,7,X2,-1.1655,0
5,8,X2,-0.1764,0
5,9,X3,-4.2400,0
5,10,X2,-0.7485,0
5,11,X2,-2.8581,0
5,12,X1,1.3559,0
5,13,X2,-0.1726,0
5,14,X2,-1.3449,0
5,15,X3,1.1033,0
5,16,X2,1.5000,0
5,17,X2,1.5000,0
5,18,X2,-1.2092,0
5,19,X1,1.7780,0
5,20,X2,-2.3454,0
5,21,X1,-3.7177,0
5,22,X2,-1.1891,0
6,0,X2,-2.3768,0
6,1,X2,1.5000,0
6,2,X1,-1.7949,0
6,3,X1,-0.0000,0
6,4,X2,-0.2947,0
6,5,X2,-4.7320,0
6,6,X2,-1.1778,0
6,7,X2,1.5000,0
6,8,X1,-5.0000,0
6,9,X2,-1.6979,0
6,10,X2,-2.0309,0
6,11,X1,-4.4136,0
6,12,X2,-0.3317,0
6,13,X1,-1.5000,0
6,14,X1,1.5000,0
7,0,X2,-2.4976,0
7,1,X2,1.5000,0
7,2,X2,-0.0021,0
7,3,X2,-1.7425,0
7,4,X1,-1.3600,0
7,5,X2,1.6490,0
7,6,X2,-2.7259,0
7,7,X2,4.9406,0
8,0,X2,-1.2178,0
8,1,X2,-2.8094,0
8,2,X2,0.7919,0
8,3,X3,3.3214,0
8,4,X2,4.1736,0
8,5,X2,-2.4588,0
8,6,X3,3.2055,0
8,7,X2,-2.5518,0
8,8,X2,2.2767,0
8,9,X3,2.4471,0
8,10,X2,-0.8963,0
8,11,X2,-0.6515,0
8,12,X2,2.0499,0
8,13,X3,3.5177,0
8,14,X2,-1.4064,0
8,15,X2,-0.3954,0
8,16,X3,1.9400,0
9,0,X2,1.8742,0
9,1,X2,-4.6052,0
9,2,X3,-2.4467,0
9,3,X2,0.7899,0
9,4,X2,1.2505,0
9,5,X2,2.8596,0
9,6,X3,1.8580,0
9,7,X2,-0.4792,0
9,8,X2,-1.8955,0
10,0,X3,-1.9107,0
10,1,X2,1.4756,0
10,2,X2,-2.3457,0
10,3,X3,-1.6128,0
10,4,X2,4.3007,0
10,5,X2,1.5000,0
10,6,X2,-2.0772,0
10,7,X1,0.1189,0
11,0,X2,-0.8807,0
11,1,X2,-3.4782,0
11,2,X3,4.4597,0
11,3,X1,4.3880,0
11,4,X2,1.8526,0
11,5,X2,2.7223,0
11,6,X2,-0.7598,0
11,7,X2,-1.0660,0
11,8,X2,-3.9642,0
12,0,X3,-3.5531,0
12,1,X2,1.5000,0
12,2,X2,0.2620,0
12,3,X1,0.0384,0
12,4,X2,2.6073,0
12,5,X2,-1.5695,0
12,6,X3,1.3308,0
12,7,X2,2.2686,0
12,8,X2,-1.1552,0
13,0,X2,-2.7325,0
13,1,X1,-4.3287,0
13,2,X2,4.0588,0
13,3,X2,-3.2320,0
13,4,X3,0.7792,0
13,5,X2,4.2269,0
13,6,X2,-0.1273,0
13,7,X1,-3.1958,0
13,8,X2,-0.6507,0
13,9,X1,1.5000,0
13,10,X2,-1.3920,0
13,11,X2,-1.9108,0
13,12,X2,1.3658,0
13,13,X2,-2.5668,0
14,0,X1,1.5000,0
14,1,X2,0.0386,0
14,2,X2,4.1668,0
14,3,X3,0.7576,0
14,4,X2,-4.8957,0
14,5,X2,0.4406,0
14,6,X2,1.5514,0
15,0,X1,0.0000,0
15,1,X1,-1.9190,0
15,2,X2,3.8011,0
15,3,X2,-1.2006,0
15,4,X2,-0.6788,0
15,5,X2,1.5000,0
15,6,X3,3.6425,0
15,7,X2,-2.2284,0
16,0,X2,-3.3924,0
16,1,X2,1.7172,0
16,2,X3,-3.4125,0
16,3,X2,2.9894,0
16,4,X2,-3.5793,0
16,5,X3,-1.5018,0
16,6,X2,4.6900,0
16,7,X2,-0.8552,0
17,0,X3,-3.1974,0
17,1,X2,1.5000,0
17,2,X2,1.5000,0
17,3,X2,-4.1888,0
17,4,X1,-2.6247,0
17,5,X2,-2.3299,0
17,6,X2,4.7357,0
17,7,X3,3.0126,0
18,0,X2,-2.2273,0
18,1,X2,-3.6360,0
18,2,X1,-4.7333,0
18,3,X2,1.5000,0
18,4,X2,0.6880,0
18,5,X2,1.5000,0
18,6,X3,-3.8881,0
18,7,X2,-1.0305,0
18,8,X2,1.5000,0
19,0,X1,1.6437,0
19,1,X2,-2.4634,0
19,2,X2,4.9052,0
19,3,X3,2.3519,0
19,4,X2,-4.1246,0
19,5,X2,0.3155,0
19,6,X2,0.2095,0
19,7,X1,-1.4303,0
19,8,X2,-3.1599,0
19,9,X2,2.4810,0
19,10,X3,3.2234,0
19,11,X2,1.5325,0
19,12,X2,-0.6498,0
19,13,X1,-1.3669,0
19,14,X2,-1.9621,0
20,0,X2,1.8316,0
20,1,X2,-0.2559,0
20,2,X3,-2.5039,0
20,3,X2,1.9349,0
20,4,X2,-0.0182,0
20,5,X1,3.9868,0
20,6,X2,-0.7724,0
20,7,X2,-0.5433,0
20,8,X3,-3.7864,0
20,9,X2,-4.8686,0
20,10,X2,1.5000,0
20,11,X1,-1.5715,0
20,12,X2,4.8619,0
20,13,X2,-0.6102,0
20,14,X2,-2.8369,0
20,15,X3,2.0933,0
20,16,X2,4.2297,0
21,0,X2,-3.4859,0
21,1,X1,2.2063,0
21,2,X2,1.5000,0
21,3,X2,1.5000,0
21,4,X2,-2.5098,0
21,5,X3,-2.0257,0
21,6,X2,2.4213,0
21,7,X2,-1.3290,0
