episode,step,node,value,is_breaker
0,1,X2,-4.0100,0
0,2,X2,1.5000,0
0,3,X2,1.5000,0
0,4,X2,-2.3200,0
0,5,X2,1.5000,0
0,6,X2,1.5000,0
0,7,X2,0.3152,0
0,8,X1,0.3000,0
0,9,X2,1.5000,0
0,10,X2,1.5000,0
0,11,X1,-0.4499,0
0,12,X1,0.5577,0
0,13,X2,1.5000,0
0,14,X1,3.5272,0
1,0,X2,1.5000,0
1,1,X2,1.5000,0
1,2,X1,4.3471,0
1,3,X1,-1.9000,0
1,4,X2,1.5000,0
1,5,X2,1.5000,0
1,6,X2,1.5000,0
1,7,X2,1.5000,0
1,8,X2,1.5000,0
1,9,X1,1.0483,0
1,10,X2,1.5000,0
1,11,X2,1.5000,0
1,12,X1,0.5168,0
1,13,X2,1.5000,0
1,14,X2,1.5000,0
1,15,X2,1.5000,0
1,17,X2,1.5000,0
1,18,X2,1.5000,0
1,19,X1,-2.3319,0
2,0,X2,1.5000,0
2,1,X2,1.5000,0
2,2,X1,-2.2088,0
2,3,X2,1.5000,0
2,4,X2,1.5000,0
2,5,X2,1.5000,0
2,6,X1,-4.9831,0
2,7,X2,1.5000,0
2,8,X2,1.5000,0
2,9,X1,-0.9760,0
