episode,step,node,value,is_breaker
0,0,X2,1.3155,0
0,1,X1,-3.6742,0
0,2,X1,-1.7564,0
0,3,X2,3.3824,0
0,4,X2,-5.0000,0
0,5,X1,-2.2303,0
0,6,X1,-0.5366,0
0,7,X1,-3.8707,0
0,8,X1,0.5075,0
0,9,X1,-5.0000,0
0,10,X2,-2.5245,0
1,0,X2,0.6471,0
1,1,X2,5.0000,0
1,2,X2,1.5000,0
1,3,X2,1.5000,0
1,4,X2,1.5000,0
1,5,X2,1.5000,0
1,6,X2,1.5000,0
1,7,X2,1.5000,0
1,8,X2,1.5000,0
1,9,X2,1.5000,0
1,10,X2,1.5000,0
1,11,X2,1.5000,0
1,12,X2,1.5000,0
1,13,X1,0.1821,0
1,14,X2,1.5000,0
1,15,X2,1.5000,0
1,16,X1,4.7251,0
1,17,X2,1.5000,0
1,18,X2,1.5000,0
1,19,X2,1.5000,0
1,20,X1,2.2537,0
1,21,X2,1.5000,0
