episode,step,node,value,is_breaker
0,0,X13,-2.4400,0
0,2,X15,2.3865,0
0,3,X2,1.5000,0
0,4,X2,1.5000,0
0,5,X2,1.5000,0
0,6,X2,1.5000,0
0,7,X2,1.5000,0
0,8,X3,-2.2388,0
0,10,X2,1.5000,0
0,11,X10,-0.4779,0
0,12,X2,1.5000,0
0,13,X3,-3.9666,0
0,14,X13,-3.2523,0
1,0,X13,-3.5879,0
1,1,X2,1.5000,0
1,2,X2,1.5000,0
1,3,X13,-4.4386,0
1,4,X13,-4.4839,0
1,5,X2,1.5000,0
1,6,X2,1.5000,0
1,7,X13,-3.9996,0
2,0,X2,1.5000,0
2,1,X2,1.5000,0
2,2,X2,1.5000,0
2,3,X13,-4.7879,0
2,4,X2,1.5000,0
2,5,X2,1.5000,0
2,6,X13,-4.6699,0
3,0,X13,-4.7983,0
3,1,X2,1.5000,0
3,2,X2,1.5000,0
3,3,X2,1.5000,0
3,4,X2,1.5000,0
3,5,X2,1.5000,0
3,6,X2,1.5000,0
3,7,X2,1.5000,0
3,8,X2,1.5000,0
3,9,X13,-4.7274,0
3,10,X2,1.5000,0
3,11,X13,-4.8967,0
3,12,X2,1.5000,0
3,13,X2,1.5000,0
3,14,X2,1.5000,0
4,0,X2,1.5000,0
4,1,X2,1.5000,0
4,2,X2,1.5000,0
4,3,X2,1.5000,0
4,4,X2,1.5000,0
4,5,X2,-2.6566,0
4,6,X2,-2.4037,0
4,7,X13,-4.6389,0
4,8,X2,1.5000,0
4,9,X2,-0.4409,0
4,10,X2,-3.1033,0
4,11,X2,-0.0097,0
4,12,X2,-1.9425,0
4,13,X2,-4.7462,0
4,14,X2,-2.7387,0
4,15,X2,-3.9804,0
4,16,X5,-0.6336,0
4,17,X2,-1.1059,0
4,18,X2,-1.1036,0
4,19,X5,2.4243,0
4,20,X2,-2.3552,0
4,21,X2,-2.0573,0
4,22,X3,1.4310,0
4,23,X2,-0.6691,0
4,24,X2,-3.2072,0
5,0,X2,-3.4647,0
5,1,X5,-3.7871,0
5,2,X2,-1.3903,0
5,3,X2,-2.5666,0
5,4,X3,-2.0670,0
5,5,X2,-2.8818,0
5,6,X2,-1.0428,0
5,7,X5,4.8225,0
5,8,X13,-3.8373,0
5,9,X2,-3.6269,0
5,10,X2,-0.1640,0
5,11,X2,-0.4803,0
5,12,X2,-0.1521,0
5,13,X2,-0.0432,0
5,14,X3,2.5044,0
5,15,X2,-3.9970,0
6,0,X2,3.3625,0
6,1,X5,0.3540,0
6,2,X2,-1.9861,0
6,3,X2,-3.1853,0
6,4,X2,3.8575,0
6,5,X3,-4.9005,0
6,6,X13,-4.8980,0
6,7,X2,-0.2647,0
7,0,X2,-4.4928,0
7,1,X2,0.2911,0
7,2,X2,1.5000,0
7,3,X5,2.6818,0
7,4,X2,3.0039,0
7,5,X2,-2.8722,0
7,6,X2,3.4073,0
7,7,X3,-2.4793,0
8,0,X2,-0.9361,0
8,1,X2,1.5000,0
8,2,X5,4.1211,0
8,3,X2,-1.9075,0
8,4,X2,3.1652,0
8,5,X3,-1.3316,0
8,6,X2,-2.2561,0
8,7,X2,-2.3751,0
9,0,X2,1.5000,0
9,1,X5,-1.3462,0
9,2,X2,2.7186,0
9,3,X2,-0.1537,0
9,4,X3,-4.0695,0
9,5,X2,-1.4381,0
9,6,X2,1.5000,0
9,7,X5,-1.4517,0
9,8,X2,-0.7160,0
9,9,X2,-0.1708,0
10,0,X2,-1.7442,0
10,1,X3,2.5653,0
10,2,X2,1.0289,0
10,3,X2,-3.7227,0
10,4,X5,-4.5570,0
10,5,X2,0.6133,0
10,6,X2,3.0996,0
11,0,X3,3.7073,0
11,1,X2,-0.1561,0
11,2,X2,-0.0852,0
11,3,X2,-0.9988,0
11,4,X5,-2.8170,0
11,5,X2,1.5000,0
11,6,X2,-0.2465,0
11,7,X3,4.5605,0
11,8,X2,-4.8385,0
11,9,X2,1.5000,0
11,10,X5,-4.0738,0
11,11,X2,1.5000,0
11,12,X2,1.9898,0
11,13,X2,-4.3922,0
11,14,X3,-2.0848,0
12,0,X2,4.9524,0
12,1,X2,-0.8571,0
12,2,X5,2.1431,0
12,3,X2,-2.5834,0
12,4,X2,0.1265,0
12,5,X3,-1.2431,0
12,6,X2,4.5217,0
12,7,X2,-3.3388,0
13,0,X2,2.3974,0
13,1,X5,0.6690,0
13,2,X2,-2.9104,0
13,3,X2,4.3107,0
13,4,X3,1.0845,0
13,5,X2,-2.2996,0
13,6,X2,-0.2714,0
14,0,X5,-2.9701,0
14,1,X2,-0.7159,0
14,2,X2,-3.4261,0
14,3,X2,3.3470,0
14,4,X3,-4.6722,0
14,5,X2,-0.8998,0
14,6,X2,1.5000,0
14,7,X5,-1.1045,0
14,8,X2,-0.2304,0
14,9,X2,-0.7613,0
14,10,X3,0.7586,0
15,0,X2,3.7953,0
15,1,X2,-1.1004,0
15,2,X2,-2.9569,0
15,3,X5,-0.8012,0
15,4,X2,0.1844,0
15,5,X2,2.0191,0
15,6,X3,1.1509,0
15,7,X2,-0.4539,0
16,0,X2,-0.8077,0
16,1,X5,-4.0794,0
16,2,X2,1.5000,0
16,3,X2,-1.0829,0
16,4,X2,-0.9846,0
16,5,X3,4.4895,0
16,6,X2,0.6600,0
17,0,X2,1.5000,0
17,1,X5,4.9683,0
17,2,X2,-3.0537,0
17,3,X2,4.1457,0
17,4,X3,-4.2886,0
17,5,X2,-0.9561,0
17,6,X2,-0.3374,0
17,7,X2,-2.2563,0
17,8,X5,-2.1940,0
17,9,X2,3.7775,0
18,0,X2,-0.2306,0
18,1,X3,-1.8989,0
18,2,X2,-4.1069,0
18,3,X2,0.4975,0
18,4,X5,-0.0155,0
18,5,X2,1.8615,0
18,6,X2,-0.7194,0
18,7,X2,-4.6702,0
18,8,X3,3.0843,0
19,0,X2,1.5000,0
19,1,X2,3.8321,0
19,2,X5,1.7057,0
19,3,X2,1.5000,0
19,4,X2,-4.1721,0
19,5,X3,-4.1924,0
19,6,X2,3.7591,0
20,0,X2,1.5000,0
20,1,X2,-4.3267,0
20,2,X5,-4.5510,0
20,3,X2,3.0936,0
20,4,X2,1.5000,0
20,5,X3,-4.2902,0
20,6,X2,-2.8096,0
20,7,X2,-4.7884,0
21,0,X5,-1.5350,0
21,1,X2,1.5000,0
21,2,X2,1.8325,0
21,3,X2,0.0250,0
21,4,X3,2.7059,0
21,5,X2,1.3191,0
21,6,X2,-4.3789,0
21,7,X5,-2.9725,0
21,8,X2,4.7751,0
21,9,X2,-2.2732,0
21,10,X3,-0.4318,0
21,11,X2,1.0150,0
21,12,X2,-3.1612,0
21,13,X2,4.2889,0
21,14,X5,-2.0902,0
22,0,X2,-1.9542,0
22,1,X2,1.5000,0
22,2,X3,1.3012,0
22,3,X2,-2.3354,0
22,4,X2,2.7421,0
22,5,X5,1.5262,0
22,6,X2,-0.9211,0
22,7,X2,-3.8324,0
23,0,X2,3.4531,0
23,1,X3,-1.6634,0
23,2,X2,-0.5864,0
23,3,X2,3.8863,0
23,4,X5,-2.8074,0
23,5,X2,-2.5612,0
23,6,X2,-4.1801,0
23,7,X3,-3.8097,0
23,8,X2,1.1359,0
24,0,X2,3.7656,0
24,1,X2,1.5000,0
24,2,X5,-4.9508,0
24,3,X2,-3.9663,0
24,4,X2,0.8930,0
24,5,X3,0.3723,0
24,6,X2,1.9971,0
24,7,X2,-1.3122,0
24,8,X5,-3.1651,0
24,9,X2,-3.9553,0
25,0,X2,1.0129,0
25,1,X2,4.9174,0
25,2,X3,-0.1777,0
25,3,X2,-3.2234,0
25,4,X2,1.5000,0
25,5,X5,1.4527,0
25,6,X2,-3.5296,0
25,7,X2,0.5103,0
25,8,X3,-0.7559,0
26,0,X2,3.1890,0
26,1,X2,-3.9602,0
26,2,X2,1.3845,0
26,3,X5,-4.4003,0
26,4,X2,2.3982,0
26,5,X2,-0.8987,0
26,6,X3,0.3389,0
26,7,X2,3.6959,0
27,0,X2,-3.1462,0
27,1,X5,-1.2754,0
27,2,X2,-1.3505,0
27,3,X2,2.8946,0
27,4,X2,-2.7760,0
27,5,X3,-4.4927,0
27,6,X2,3.7356,0
27,7,X2,1.5000,0
28,0,X5,-0.6574,0
28,1,X2,-2.8701,0
28,2,X2,-0.8345,0
28,3,X3,1.8502,0
28,4,X2,2.5955,0
28,5,X2,1.5000,0
28,6,X2,-3.4446,0
28,7,X5,-2.0180,0
28,8,X2,4.3389,0
28,9,X2,2.3788,0
28,10,X3,-0.3626,0
28,11,X2,1.5000,0
28,12,X2,2.4077,0
28,13,X5,0.9266,0
28,14,X2,-0.4389,0
29,0,X2,3.2960,0
29,1,X2,0.3489,0
29,2,X3,-4.0471,0
29,3,X2,1.5593,0
29,4,X2,2.4494,0
29,5,X5,2.8798,0
29,6,X2,2.4711,0
29,7,X2,-1.4754,0
30,0,X3,-0.6472,0
30,1,X2,0.7218,0
30,2,X2,3.2190,0
30,3,X2,1.0852,0
30,4,X5,-1.4650,0
30,5,X2,3.8898,0
30,6,X2,-0.4607,0
30,7,X3,-3.5064,0
30,8,X2,1.5000,0
31,0,X2,3.1653,0
31,1,X5,3.1515,0
31,2,X2,-4.7593,0
31,3,X2,3.7997,0
31,4,X2,3.3413,0
31,5,X3,2.7229,0
31,6,X2,0.6296,0
31,7,X2,1.3136,0
31,8,X5,0.2669,0
32,0,X2,0.5310,0
32,1,X2,3.9905,0
32,2,X3,-3.1908,0
32,3,X2,0.4406,0
32,4,X2,4.3563,0
32,5,X2,-2.9028,0
32,6,X5,1.6567,0
32,7,X2,1.5000,0
33,0,X2,1.8765,0
33,1,X3,-0.8197,0
33,2,X2,-1.6454,0
33,3,X2,1.5000,0
33,4,X5,2.3309,0
33,5,X2,-2.0737,0
33,6,X2,0.9338,0
33,7,X2,-0.9458,0
34,0,X3,0.3479,0
34,1,X2,-0.0096,0
34,2,X2,-3.1320,0
34,3,X5,2.7587,0
34,4,X2,-0.0230,0
34,5,X2,-4.7076,0
34,6,X3,-3.8745,0
34,7,X2,-1.6224,0
34,8,X2,-4.9865,0
35,0,X2,-3.6717,0
35,1,X5,-3.2641,0
35,2,X2,-1.5468,0
35,3,X2,-1.0590,0
35,4,X3,-0.6406,0
35,5,X2,-2.1800,0
35,6,X2,-4.7032,0
35,7,X5,1.2922,0
35,8,X2,-2.8243,0
35,9,X2,1.5000,0
35,10,X2,-2.8354,0
35,11,X3,-1.7392,0
36,0,X2,-1.4120,0
36,1,X2,1.5000,0
36,2,X5,-3.0548,0
36,3,X2,-0.0796,0
36,4,X2,-0.2764,0
36,5,X3,2.7694,0
36,6,X2,-1.6396,0
36,7,X2,-1.2016,0
36,8,X2,-1.2099,0
36,9,X5,-2.2689,0
36,10,X2,-2.4386,0
36,11,X2,-4.9733,0
36,12,X3,-0.3510,0
37,0,X2,-2.5777,0
37,1,X2,-2.7759,0
37,2,X5,-4.7614,0
37,3,X2,3.2680,0
37,4,X2,0.6045,0
37,5,X2,-4.5149,0
37,6,X3,1.6203,0
37,7,X2,2.8587,0
37,8,X2,1.5000,0
38,0,X5,2.5437,0
38,1,X2,4.1568,0
38,2,X2,-1.5302,0
38,3,X3,0.3736,0
38,4,X2,-1.0667,0
38,5,X2,-0.3719,0
38,6,X2,1.8822,0
38,7,X5,2.1668,0
39,0,X2,-4.1156,0
39,1,X2,0.2547,0
39,2,X3,3.8277,0
39,3,X2,0.2393,0
39,4,X2,-1.7244,0
39,5,X5,4.0108,0
39,6,X2,3.9208,0
39,7,X2,4.8118,0
40,0,X2,-1.8294,0
40,1,X3,-4.8812,0
40,2,X2,-2.7311,0
40,3,X2,0.1938,0
40,4,X5,4.1671,0
40,5,X2,-0.4645,0
40,6,X2,-1.6683,0
41,0,X3,-1.0331,0
41,1,X2,-3.8560,0
41,2,X2,1.6318,0
41,3,X2,-1.9632,0
41,4,X5,-4.1660,0
41,5,X2,3.0741,0
41,6,X2,0.6912,0
41,7,X3,-0.6566,0
41,8,X2,1.8167,0
42,0,X2,-1.8969,0
42,1,X5,-3.5291,0
42,2,X2,2.3356,0
42,3,X2,-1.0911,0
42,4,X2,2.4466,0
42,5,X3,2.3858,0
42,6,X2,-0.6458,0
42,7,X2,-0.1622,0
43,0,X5,2.1565,0
43,1,X2,-3.9749,0
43,2,X2,2.7242,0
43,3,X3,4.4082,0
43,4,X2,-4.4565,0
43,5,X2,0.7468,0
43,6,X2,1.0129,0
43,7,X5,-1.2510,0
43,8,X2,-0.7145,0
44,0,X2,2.0297,0
44,1,X3,2.1964,0
44,2,X2,0.1964,0
44,3,X2,1.5000,0
44,4,X5,-3.8226,0
44,5,X2,2.6282,0
44,6,X2,-2.4825,0
45,0,X2,1.5000,0
45,1,X3,-3.7686,0
45,2,X2,-1.3038,0
45,3,X2,-3.2576,0
45,4,X5,3.6085,0
45,5,X2,0.4610,0
45,6,X2,-2.3800,0
45,7,X3,-4.2424,0
45,8,X2,1.9969,0
45,9,X2,4.2984,0
45,10,X2,-1.0438,0
45,11,X5,-2.2296,0
46,0,X2,-0.6260,0
46,1,X2,-4.6319,0
46,2,X3,-0.1766,0
46,3,X2,2.0274,0
46,4,X2,4.4626,0
46,5,X5,3.9757,0
46,6,X2,-4.3061,0
46,7,X2,0.6110,0
46,8,X2,2.4449,0
46,9,X3,0.6358,0
46,10,X2,-0.0920,0
46,11,X2,-3.9289,0
47,0,X5,0.8882,0
47,1,X2,4.0333,0
47,2,X2,-2.0932,0
47,3,X3,-0.7950,0
47,4,X2,-4.5403,0
47,5,X2,1.6360,0
47,6,X2,1.3410,0
47,7,X5,0.1776,0
48,0,X2,0.0508,0
48,1,X2,4.9063,0
48,2,X3,-1.4477,0
48,3,X2,-2.2638,0
48,4,X2,1.2583,0
48,5,X5,2.5876,0
48,6,X2,-1.0778,0
48,7,X2,3.4894,0
49,0,X2,-3.2001,0
49,1,X3,-2.9388,0
49,2,X2,-2.7885,0
49,3,X2,2.5329,0
49,4,X5,-1.4199,0
49,5,X2,0.8233,0
49,6,X2,-3.1282,0
50,0,X14,0.1352,0
50,1,X5,-4.4940,0
50,2,X2,1.5000,0
50,3,X14,2.3557,0
50,4,X18,-2.1600,0
50,5,X13,-4.3935,0
50,6,X13,-1.5300,0
50,7,X18,-2.8660,0
50,8,X18,-2.8230,0
51,0,X2,-0.3626,0
51,1,X2,1.5000,0
51,2,X2,1.6624,0
51,3,X2,-2.7579,0
51,4,X2,3.0802,0
51,5,X2,1.5000,0
51,6,X2,-0.3612,0
51,7,X2,-2.4766,0
51,8,X2,2.9562,0
52,0,X2,-1.3178,0
52,1,X2,-0.6296,0
52,2,X2,-2.9907,0
52,3,X2,-0.1540,0
52,4,X2,-4.4622,0
52,5,X3,0.6569,0
52,6,X2,0.1191,0
53,0,X3,-1.5213,0
53,1,X2,4.0576,0
53,2,X3,-1.8208,0
53,3,X3,0.3897,0
53,4,X5,1.1414,0
53,5,X2,1.7691,0
53,6,X2,-3.2453,0
53,7,X3,-3.7522,0
54,0,X5,-0.0381,0
54,1,X2,4.2480,0
54,2,X2,-1.2337,0
54,3,X3,-1.6100,0
54,4,X2,2.5643,0
54,5,X2,-4.0638,0
54,6,X2,2.8101,0
54,7,X5,-4.5828,0
54,8,X2,-3.3943,0
54,9,X2,0.6170,0
54,10,X3,3.2752,0
54,11,X5,-3.7750,0
54,12,X2,4.3550,0
54,13,X2,-4.5233,0
54,14,X2,1.6485,0
54,15,X2,-1.1988,0
54,16,X2,2.1725,0
54,17,X2,-2.0636,0
54,18,X2,-1.9350,0
54,19,X2,-3.0250,0
55,0,X3,-0.5974,0
55,1,X2,0.1451,0
55,2,X5,-3.5931,0
55,3,X2,1.5000,0
55,4,X2,1.5000,0
55,5,X2,2.0514,0
55,6,X2,2.0117,0
55,7,X2,-4.3962,0
55,8,X2,-0.2917,0
55,9,X2,-0.9503,0
55,10,X2,3.3291,0
55,11,X2,-1.8290,0
55,12,X2,2.2511,0
55,13,X3,0.7624,0
55,14,X2,-2.4067,0
55,15,X2,-2.1177,0
55,16,X2,2.7993,0
55,17,X2,1.5000,0
55,18,X2,-0.5931,0
55,19,X2,4.0155,0
56,0,X2,-0.5274,0
56,1,X2,4.0573,0
56,2,X5,-0.9418,0
56,3,X2,-0.5382,0
56,4,X2,-2.4370,0
56,5,X5,3.7383,0
56,6,X2,-1.8025,0
56,7,X2,-0.0394,0
56,8,X3,-3.3565,0
57,0,X2,2.9616,0
57,1,X2,-3.1578,0
57,2,X2,-3.1051,0
57,3,X5,4.5803,0
57,4,X2,0.2485,0
57,5,X2,1.6631,0
57,6,X3,4.1594,0
57,7,X2,3.2541,0
57,8,X2,-1.6729,0
58,0,X5,-1.8639,0
58,1,X5,-4.2124,0
58,2,X2,0.3797,0
58,3,X2,4.0129,0
58,4,X2,4.5418,0
58,5,X2,2.5876,0
58,6,X2,-3.4330,0
58,7,X3,0.7254,0
58,8,X2,1.5000,0
58,9,X2,0.0311,0
58,10,X5,-1.5260,0
58,11,X2,2.3492,0
58,12,X2,4.3125,0
59,0,X2,2.5497,0
59,1,X3,-2.6929,0
59,2,X3,1.0847,0
59,3,X2,-4.5845,0
59,4,X2,0.6238,0
59,5,X2,2.1245,0
59,6,X2,1.5000,0
59,7,X5,1.8931,0
59,8,X2,2.1981,0
59,9,X2,3.9239,0
60,0,X2,2.6269,0
60,1,X3,-3.5034,0
60,2,X2,2.1675,0
60,3,X2,-2.6457,0
60,4,X5,-0.7354,0
60,5,X2,0.3845,0
60,6,X2,3.0874,0
60,7,X3,-4.0537,0
60,8,X2,4.8457,0
60,9,X2,-2.7141,0
60,10,X2,1.9236,0
60,11,X5,-3.8492,0
60,12,X2,1.1048,0
60,13,X2,1.5000,0
60,14,X3,-3.7293,0
60,15,X2,1.7009,0
61,0,X2,1.5000,0
61,1,X5,-1.9342,0
61,2,X2,4.0591,0
61,3,X2,3.5641,0
61,4,X2,-3.6783,0
61,5,X3,-4.8870,0
61,6,X2,4.8346,0
61,7,X2,-4.7122,0
61,8,X5,-4.6186,0
61,9,X2,-1.5802,0
61,10,X2,4.6902,0
62,0,X3,2.0296,0
62,1,X2,-0.6746,0
62,2,X2,-2.0985,0
62,3,X2,-3.0815,0
62,4,X5,2.1022,0
62,5,X2,-0.2805,0
62,6,X2,-2.2228,0
62,7,X3,-0.4702,0
63,0,X2,-0.5394,0
63,1,X2,-3.0010,0
63,2,X5,-1.5554,0
63,3,X2,-1.6280,0
63,4,X2,-0.4773,0
63,5,X2,-3.5720,0
63,6,X3,-3.2027,0
63,7,X2,-2.5000,0
63,8,X2,-4.1623,0
63,9,X5,0.8708,0
63,10,X2,-1.8559,0
64,0,X2,-3.9713,0
64,1,X3,-4.6811,0
64,2,X2,-1.6365,0
64,3,X2,-4.9505,0
64,4,X2,1.5210,0
64,5,X18,-5.0000,0
64,6,X18,-5.0000,0
64,7,X18,-5.0000,0
64,8,X2,1.5000,0
64,9,X2,-2.6152,0
64,10,X2,-2.6048,0
64,11,X2,-3.2054,0
65,0,X2,1.5000,0
65,1,X2,-3.1244,0
65,2,X2,-0.0902,0
65,3,X5,1.5927,0
65,4,X2,-1.9254,0
65,5,X2,-2.5810,0
65,6,X5,-3.8375,0
65,7,X2,-3.9696,0
66,0,X2,-4.9531,0
66,1,X3,2.9731,0
66,2,X2,1.5000,0
66,3,X18,-5.0000,0
66,4,X2,1.5000,0
66,5,X18,-5.0000,0
66,6,X2,1.5000,0
66,7,X2,2.3233,0
67,0,X2,2.1704,0
67,1,X2,-1.8018,0
67,2,X18,-5.0000,0
67,3,X18,-5.0000,0
67,4,X2,2.9038,0
67,5,X2,-4.9725,0
67,6,X18,-5.0000,0
67,7,X18,-5.0000,0
67,8,X2,3.1023,0
67,9,X2,-0.5123,0
67,10,X18,-5.0000,0
67,11,X2,-0.7410,0
68,0,X18,-5.0000,0
68,1,X2,3.1234,0
68,2,X2,4.6077,0
68,3,X2,-0.9132,0
68,4,X2,-4.9892,0
68,5,X18,-3.3300,0
