episode,step,node,value,is_breaker
0,0,X14,3.3739,0
0,1,X17,-0.5998,0
0,2,X11,4.4357,0
0,3,X13,-4.2551,0
0,4,X17,-3.8457,0
0,5,X19,-2.4097,0
0,6,X10,1.5000,0
0,7,X14,-2.4939,0
0,8,X6,-4.5600,0
0,9,X17,-4.3455,0
0,10,X17,-3.2847,0
0,11,X17,-4.4840,0
0,12,X17,-3.0848,0
0,13,X17,-4.4597,0
0,14,X17,-3.3339,0
1,0,X17,-3.3050,0
1,1,X10,1.5000,0
1,2,X10,1.5000,0
1,3,X10,1.5000,0
1,4,X10,1.5000,0
1,5,X10,1.5000,0
1,6,X10,1.5000,0
1,7,X10,1.5000,0
2,0,X10,1.5000,0
2,1,X10,1.5000,0
2,2,X10,1.5000,0
2,3,X10,1.5000,0
2,4,X10,1.5000,0
2,5,X10,1.5000,0
2,6,X10,1.5000,0
2,7,X10,1.5000,0
2,8,X10,1.5000,0
2,9,X10,1.5000,0
3,0,X10,1.5000,0
3,1,X10,1.5000,0
3,2,X10,1.5000,0
3,3,X10,1.5000,0
3,4,X10,1.5000,0
3,5,X10,1.5000,0
3,6,X10,1.5000,0
3,7,X10,1.5000,0
3,8,X10,1.5000,0
3,9,X10,1.5000,0
3,10,X10,1.5000,0
3,11,X10,1.5000,0
3,12,X10,1.5000,0
3,13,X10,1.5000,0
3,14,X10,1.5000,0
3,15,X10,1.5000,0
3,16,X10,1.5000,0
3,17,X10,-4.7626,0
4,0,X9,-0.4178,0
4,1,X10,-2.3363,0
4,2,X10,-2.3649,0
4,3,X6,0.4929,0
4,4,X10,1.5000,0
4,5,X10,-1.0314,0
4,6,X9,4.0810,0
4,7,X10,1.5000,0
4,8,X10,1.5000,0
4,9,X10,-4.4531,0
4,10,X6,-1.5098,0
4,11,X10,-2.8145,0
4,12,X10,-4.7132,0
4,13,X9,1.5580,0
4,14,X10,-2.2002,0
4,15,X10,-2.3850,0
4,16,X6,1.9996,0
4,17,X10,-2.7692,0
4,18,X10,-1.1121,0
4,19,X10,-4.2389,0
4,20,X9,0.8691,0
4,21,X10,-2.3071,0
5,0,X10,-4.9928,0
5,1,X6,0.4698,0
5,2,X10,-3.8854,0
5,3,X10,1.5000,0
5,4,X9,-2.4836,0
5,5,X10,-2.2797,0
5,6,X10,-1.6449,0
6,0,X10,-3.0079,0
6,1,X6,-3.4702,0
6,2,X10,1.5000,0
6,3,X10,-2.7546,0
6,4,X9,3.1862,0
6,5,X10,-4.0977,0
6,6,X10,4.6846,0
6,7,X6,-0.5558,0
