episode,step,node,value,is_breaker
0,0,X5,1.6600,0
0,1,X10,1.5000,0
0,2,X11,-3.2600,0
0,3,X10,-0.7100,0
0,4,X20,-3.1500,0
0,5,X19,3.0000,0
0,6,X17,-2.4500,0
0,7,X10,1.5000,0
0,8,X11,3.4000,0
0,9,X11,0.4000,0
0,10,X10,1.5000,0
0,11,X11,-1.7000,0
0,12,X11,-4.7000,0
0,13,X19,3.0000,0
0,14,X10,1.5000,0
1,0,X10,1.5000,0
1,1,X10,1.5000,0
1,2,X10,1.5000,0
1,3,X10,1.5000,0
1,4,X10,1.5000,0
1,5,X11,2.1000,0
1,6,X10,1.5000,0
1,7,X10,1.5000,0
1,8,X10,1.5000,0
1,9,X10,1.5000,0
1,10,X10,1.5000,0
1,11,X10,1.5000,0
1,12,X10,1.5000,0
1,13,X10,1.5000,0
1,14,X10,1.5000,0
1,15,X10,1.5000,0
1,16,X10,1.5000,0
2,0,X10,1.5000,0
2,1,X10,1.5000,0
2,2,X10,1.5000,0
2,3,X10,1.5000,0
2,4,X10,1.5000,0
2,5,X8,2.7556,0
2,6,X10,1.5000,0
2,7,X10,1.5000,0
2,8,X10,1.5000,0
2,9,X9,0.1472,0
2,10,X10,1.5000,0
2,11,X10,1.5000,0
2,12,X8,0.4285,0
2,13,X10,1.5000,0
2,14,X10,1.5000,0
2,15,X9,-1.7335,0
3,0,X10,1.5000,0
3,1,X10,1.5000,0
3,2,X10,-3.7677,0
3,3,X8,-2.7073,0
3,4,X10,-3.8639,0
3,5,X10,-1.8237,0
3,6,X9,2.2881,0
3,7,X10,-2.6445,0
3,8,X10,-4.2146,0
3,9,X8,3.8915,0
3,10,X10,1.5000,0
3,11,X10,-2.1596,0
3,12,X10,-2.8457,0
3,13,X9,1.2862,0
3,14,X10,-4.1488,0
3,15,X10,-1.4427,0
4,0,X8,-2.9896,0
4,1,X10,-0.3402,0
4,2,X10,-4.5881,0
4,3,X9,-3.3162,0
4,4,X10,1.5000,0
4,5,X10,-4.1923,0
4,6,X10,-0.4289,0
4,7,X8,-1.5432,0
4,8,X10,-4.6635,0
5,0,X10,-4.6544,0
5,1,X9,2.4417,0
5,2,X10,-2.4064,0
5,3,X10,-3.6881,0
5,4,X8,1.5133,0
5,5,X10,-3.9899,0
5,6,X10,1.5000,0
5,7,X10,2.2988,0
5,8,X9,-2.0844,0
6,0,X10,-1.5288,0
6,1,X10,2.6506,0
6,2,X8,2.2865,0
6,3,X10,-2.5271,0
6,4,X10,4.1199,0
6,5,X9,2.2475,0
6,6,X10,-4.2537,0
6,7,X10,1.5788,0
6,8,X10,-2.3956,0
6,9,X8,-3.9049,0
7,0,X10,1.6132,0
7,1,X10,-2.1640,0
7,2,X9,2.0548,0
