condition,method,seed,n_episodes,n_nodes,best_episode,best_mse,final_mse,best_mse_per_node,final_mse_per_node,status,node_losses_csv
anon30,ace,42,11,30,5,1.743894,1.917485,0.058130,0.063916,ok,results/curc_30node_followup\anon30\ace\seed_42\run_20260607_061908_seed42\node_losses.csv
anon30,ace,123,11,29,1,1.529921,1.812216,0.052756,0.062490,ok,results/curc_30node_followup\anon30\ace\seed_123\run_20260607_064057_seed123\node_losses.csv
anon30,ace,456,11,28,5,1.385585,1.423712,0.049485,0.050847,ok,results/curc_30node_followup\anon30\ace\seed_456\run_20260607_073521_seed456\node_losses.csv
anon30,ace,789,11,29,3,1.559749,1.715537,0.053784,0.059156,ok,results/curc_30node_followup\anon30\ace\seed_789\job_27495041\run_20260523_132655_seed789\node_losses.csv
anon30,ace,1011,11,28,0,1.334469,1.431955,0.047660,0.051141,ok,results/curc_30node_followup\anon30\ace\seed_1011\job_27495042\run_20260523_132713_seed1011\node_losses.csv
anon30,zero_shot_lm,42,11,30,3,1.746589,1.810431,0.058220,0.060348,ok,results/curc_30node_followup\anon30\zero_shot_lm\seed_42\job_27495043\run_20260523_133850_seed42\node_losses.csv
anon30,zero_shot_lm,123,11,29,6,1.503200,1.675668,0.051834,0.057782,ok,results/curc_30node_followup\anon30\zero_shot_lm\seed_123\job_27495044\run_20260523_134515_seed123\node_losses.csv
anon30,zero_shot_lm,456,11,28,2,1.307526,1.361799,0.046697,0.048636,ok,results/curc_30node_followup\anon30\zero_shot_lm\seed_456\job_27528103\run_20260526_043128_seed456\node_losses.csv
anon30,zero_shot_lm,789,11,29,10,1.577086,1.577086,0.054382,0.054382,ok,results/curc_30node_followup\anon30\zero_shot_lm\seed_789\job_27495046\run_20260524_000227_seed789\node_losses.csv
anon30,zero_shot_lm,1011,40,28,15,1.334481,1.457442,0.047660,0.052051,ok,results/curc_30node_followup\anon30\zero_shot_lm\seed_1011\job_27495047\run_20260524_001307_seed1011\node_losses.csv
nodes50,ace,42,21,48,4,11.100418,18.854683,0.231259,0.392806,ok,results/curc_30node_followup\nodes50\ace\seed_42\job_27528104\run_20260527_091147_seed42\node_losses.csv
nodes50,ace,123,71,48,46,6.544086,10.511760,0.136335,0.218995,ok,results/curc_30node_followup\nodes50\ace\seed_123\job_27495049\run_20260523_130641_seed123\node_losses.csv
nodes50,ace,456,61,49,45,4.276603,5.738555,0.087278,0.117113,ok,results/curc_30node_followup\nodes50\ace\seed_456\job_27495050\run_20260523_130743_seed456\node_losses.csv
nodes50,ace,789,11,48,10,8.252479,8.252479,0.171927,0.171927,ok,results/curc_30node_followup\nodes50\ace\seed_789\job_27495051\run_20260523_130818_seed789\node_losses.csv
nodes50,ace,1011,101,49,68,5.469094,16.517819,0.111614,0.337098,ok,results/curc_30node_followup\nodes50\ace\seed_1011\job_27495052\run_20260523_130917_seed1011\node_losses.csv
nodes50,zero_shot_lm,42,31,48,23,4.150414,26.441232,0.086467,0.550859,ok,results/curc_30node_followup\nodes50\zero_shot_lm\seed_42\job_26855591\run_20260511_101430_seed42\node_losses.csv
nodes50,zero_shot_lm,123,40,48,28,5.401522,11.493616,0.112532,0.239450,ok,results/curc_30node_followup\nodes50\zero_shot_lm\seed_123\job_26855592\run_20260511_102416_seed123\node_losses.csv
nodes50,zero_shot_lm,456,40,49,17,3.199879,3.445693,0.065304,0.070320,ok,results/curc_30node_followup\nodes50\zero_shot_lm\seed_456\job_26855593\run_20260511_102417_seed456\node_losses.csv
nodes50,zero_shot_lm,789,40,48,31,3.611487,5.764824,0.075239,0.120101,ok,results/curc_30node_followup\nodes50\zero_shot_lm\seed_789\job_26855594\run_20260512_022606_seed789\node_losses.csv
nodes50,zero_shot_lm,1011,11,49,9,4.320004,7.263026,0.088163,0.148225,ok,results/curc_30node_followup\nodes50\zero_shot_lm\seed_1011\job_26855595\run_20260512_023406_seed1011\node_losses.csv
