episode,step,node,value,is_breaker
0,0,n_d871,-1.3148,0
0,1,n_d871,0.7353,0
0,2,n_d462,-2.5733,0
0,3,n_0060,-1.6282,0
0,5,n_5a7e,3.7159,0
0,6,n_b47b,1.0706,0
0,7,n_1620,-1.9725,0
0,8,n_d02f,0.5740,0
0,9,n_d871,2.6170,0
0,10,n_5a7e,-4.2656,0
0,11,n_d049,-4.7005,0
0,12,n_d049,-1.3847,0
0,13,n_e639,3.6844,0
0,16,n_b47b,-0.8121,0
0,17,n_e639,-0.6979,0
0,18,n_e639,-4.4037,0
0,19,n_b47b,1.7528,0
0,20,n_f6e6,4.2478,0
0,21,n_d049,3.9466,0
0,22,n_d049,-3.6975,0
0,23,n_d049,-2.0587,0
0,24,n_e639,3.6011,0
1,0,n_d871,2.7802,0
1,1,n_1620,-2.3964,0
1,2,n_d049,-3.9861,0
1,3,n_e639,-4.0723,0
1,4,n_d049,3.6644,0
1,6,n_5a7e,3.2028,0
1,7,n_d871,-3.7036,0
1,8,n_b47b,3.7503,0
1,11,n_0060,2.1114,0
1,12,n_d462,-2.9177,0
1,13,n_f6e6,4.7426,0
1,14,n_d02f,-1.3521,0
1,15,n_5a7e,0.1974,0
1,16,n_d02f,-1.2653,0
1,17,n_5a7e,-0.0917,0
1,18,n_5a7e,-2.6847,0
1,19,n_3c11,2.8542,0
1,20,n_1e53,1.9086,0
1,21,n_1620,1.8546,0
1,22,n_d871,-1.4982,0
1,23,n_1620,-0.7312,0
1,24,n_b47b,-4.6199,0
2,0,n_d871,2.2949,0
2,1,n_1620,-1.5181,0
2,2,n_0060,0.4439,0
2,3,n_b47b,0.9995,0
2,4,n_d462,-3.9749,0
2,5,n_f6e6,4.2909,0
2,7,n_e639,-1.0816,0
2,8,n_e639,-1.3930,0
2,9,n_d049,-2.7836,0
2,10,n_e639,1.2644,0
2,11,n_d049,4.1350,0
2,12,n_1e53,-3.3899,0
2,13,n_f6e6,4.0849,0
2,14,n_f6e6,-0.3421,0
2,15,n_f6e6,-2.0330,0
2,16,n_5a7e,2.5016,0
2,17,n_d462,4.1279,0
2,18,n_f6e6,1.0605,0
2,19,n_f6e6,-3.2917,0
2,20,n_3c11,0.0577,0
2,21,n_1e53,-4.0555,0
2,22,n_d02f,3.0070,0
2,23,n_d871,-2.6393,0
2,24,n_3c11,4.7712,0
3,0,n_d871,-4.0415,0
3,1,n_d02f,2.3203,0
3,2,n_5a7e,-3.9650,0
3,3,n_d462,-3.2056,0
3,4,n_5a7e,2.3681,0
3,5,n_b47b,4.8376,0
3,6,n_d02f,-4.9626,0
3,7,n_0060,4.8243,0
3,8,n_d049,4.1283,0
3,9,n_f6e6,-2.6781,0
3,12,n_d871,4.7680,0
3,13,n_d049,-0.1972,0
3,15,n_e639,-2.2036,0
3,16,n_b47b,-3.4737,0
3,17,n_1620,4.5546,0
3,18,n_d049,-1.8975,0
3,19,n_d02f,-0.1444,0
3,20,n_f86a,-3.5573,0
3,21,n_d462,1.8030,0
3,22,n_1620,4.1862,0
3,23,n_d02f,4.7054,0
3,24,n_e639,0.3757,0
4,0,n_d871,-2.7454,0
4,1,n_d02f,0.8308,0
4,3,n_b47b,-4.2999,0
4,4,n_d462,2.4188,0
4,5,n_5a7e,3.2097,0
