episode,step,node,value,is_breaker
0,0,n_c5e8,4.8770,0
0,1,n_c5e8,0.4070,0
0,2,n_2f4f,-0.8091,0
0,3,n_5c3c,-1.2907,0
0,4,n_e6a7,3.1786,0
0,5,n_e6a7,3.0678,0
0,6,n_e6a7,-1.5918,0
0,7,n_30f4,4.4811,0
0,8,n_95d1,3.1200,0
0,10,n_30f4,-3.7145,0
0,11,n_639c,2.3391,0
0,13,n_2f4f,-4.0599,0
0,14,n_702d,4.6882,0
0,15,n_2f4f,3.3803,0
0,16,n_702d,-3.0144,0
0,18,n_747a,-1.0505,0
0,19,n_639c,4.3507,0
0,20,n_747a,-4.8926,0
0,21,n_e6a7,-0.5037,0
0,22,n_30f4,-0.9038,0
0,23,n_7f0b,-4.9982,0
0,24,n_7f0b,-2.7073,0
1,0,n_30f4,0.6628,0
1,1,n_7f0b,0.5976,0
1,3,n_5c3c,-3.2725,0
1,4,n_702d,3.6997,0
1,5,n_30f4,4.5811,0
1,6,n_e6a7,0.2705,0
1,7,n_7f0b,-4.1431,0
1,8,n_30f4,-0.1600,0
1,9,n_e6a7,-2.4063,0
1,10,n_e6a7,3.3304,0
1,11,n_5c3c,0.5738,0
1,12,n_702d,-1.8748,0
1,13,n_c5e8,-0.6577,0
1,14,n_c5e8,2.2185,0
1,15,n_95d1,4.7696,0
1,16,n_95d1,-0.6348,0
1,17,n_c5e8,4.1634,0
1,18,n_c5e8,-0.7881,0
1,19,n_30f4,-2.9831,0
1,20,n_5c3c,3.8153,0
1,21,n_7f6e,-1.7482,0
1,22,n_7f6e,-1.9704,0
1,23,n_2f4f,4.6061,0
1,24,n_639c,3.9884,0
2,0,n_c5e8,-3.2181,0
2,1,n_2f4f,1.2332,0
2,3,n_e6a7,3.8767,0
2,4,n_5c3c,2.5251,0
2,5,n_702d,-3.4962,0
2,6,n_30f4,1.6437,0
2,7,n_7f0b,1.8079,0
2,9,n_95d1,4.5024,0
2,10,n_747a,-3.8441,0
2,11,n_639c,4.4327,0
2,12,n_2f4f,-3.4412,0
2,13,n_e6a7,1.3357,0
2,14,n_747a,3.5390,0
2,15,n_639c,-2.0736,0
2,16,n_7f0b,2.5021,0
2,17,n_7f0b,-2.1916,0
2,18,n_e6a7,1.0579,0
2,19,n_5c3c,-2.2073,0
2,20,n_7f0b,-3.7011,0
2,21,n_30f4,-4.1521,0
2,22,n_e6a7,-2.6465,0
2,23,n_e6a7,-2.0562,0
2,24,n_30f4,-1.6560,0
3,0,n_7f0b,-2.9604,0
3,1,n_7f6e,0.3989,0
3,2,n_7f6e,4.7698,0
3,3,n_7f6e,-3.3504,0
3,4,n_30f4,3.3317,0
3,5,n_c5e8,0.2662,0
3,6,n_95d1,-1.7174,0
3,9,n_7f0b,0.9956,0
3,10,n_747a,-2.9396,0
3,11,n_639c,-2.7669,0
3,12,n_7f0b,0.5695,0
3,13,n_e6a7,-4.8326,0
3,14,n_e6a7,2.2734,0
3,15,n_95d1,-0.0773,0
3,16,n_c5e8,-4.7824,0
3,17,n_e6a7,4.3563,0
3,18,n_30f4,0.2275,0
3,19,n_5c3c,-4.1639,0
3,20,n_5c3c,0.7010,0
3,21,n_e6a7,4.4240,0
3,22,n_5c3c,4.5377,0
3,23,n_30f4,-3.1743,0
4,0,n_c5e8,3.8816,0
4,1,n_2f4f,0.5973,0
4,2,n_2f4f,-2.3277,0
4,4,n_7f0b,-3.3193,0
4,5,n_e6a7,4.4200,0
4,6,n_5c3c,0.1257,0
4,7,n_5c3c,3.8342,0
4,8,n_e6a7,-3.4560,0
4,9,n_2f4f,4.1069,0
4,10,n_702d,1.6568,0
4,11,n_30f4,-3.9342,0
4,12,n_e6a7,1.9482,0
4,15,n_7f0b,1.6023,0
4,16,n_702d,-3.0617,0
4,17,n_30f4,0.6039,0
4,18,n_95d1,4.8728,0
4,19,n_e6a7,-2.0733,0
4,20,n_7f0b,0.5486,0
4,21,n_e6a7,-1.5974,0
4,22,n_7f0b,-3.0983,0
4,23,n_e6a7,0.8620,0
4,24,n_30f4,-2.4757,0
5,0,n_c5e8,-0.2453,0
5,1,n_2f4f,2.3362,0
5,2,n_2f4f,-3.5422,0
5,3,n_7f0b,-1.7011,0
5,4,n_5c3c,1.7541,0
5,5,n_30f4,-4.7404,0
5,7,n_7f0b,0.4054,0
5,8,n_5c3c,1.4615,0
5,9,n_e6a7,0.8020,0
5,10,n_5c3c,0.4160,0
5,11,n_30f4,1.2448,0
5,12,n_747a,1.7685,0
5,13,n_747a,-2.2353,0
5,14,n_e6a7,3.2199,0
5,15,n_e6a7,3.5448,0
5,16,n_30f4,3.5854,0
5,17,n_7f0b,1.7589,0
5,18,n_e6a7,-3.7163,0
5,20,n_702d,2.3749,0
5,21,n_5c3c,0.9681,0
5,22,n_30f4,-3.0074,0
5,23,n_7f0b,4.2175,0
5,24,n_7f0b,4.3015,0
6,0,n_c5e8,-2.3573,0
6,1,n_2f4f,-4.2883,0
6,2,n_5c3c,2.1367,0
6,3,n_5c3c,1.6809,0
6,4,n_7f0b,-2.2334,0
6,6,n_747a,-4.0881,0
6,7,n_e6a7,2.0528,0
6,8,n_7f6e,4.0793,0
6,9,n_747a,1.6020,0
6,11,n_30f4,-1.4543,0
6,12,n_5c3c,4.4379,0
6,13,n_702d,2.1111,0
6,14,n_95d1,4.4760,0
6,15,n_30f4,4.5604,0
6,16,n_c5e8,-2.5005,0
6,17,n_95d1,1.1166,0
6,18,n_702d,-4.4945,0
6,19,n_7f0b,1.3449,0
6,20,n_c5e8,4.7481,0
6,21,n_e6a7,2.3246,0
6,22,n_e6a7,0.3386,0
6,23,n_e6a7,3.8440,0
6,24,n_e6a7,-4.4750,0
7,0,n_beab,1.1597,0
7,1,n_779b,-0.6832,0
7,2,n_5c3c,-4.4189,0
7,3,n_7f0b,1.7141,0
7,4,n_e6a7,-3.5066,0
7,5,n_c5e8,-2.6926,0
7,6,n_e6a7,4.9134,0
7,7,n_c5e8,2.3121,0
7,8,n_7f6e,-3.3618,0
7,9,n_5c3c,3.7052,0
7,10,n_747a,1.6666,0
7,11,n_747a,3.5989,0
7,12,n_7f6e,0.4746,0
7,14,n_30f4,4.2984,0
7,15,n_702d,-1.2248,0
7,16,n_30f4,0.5209,0
7,17,n_95d1,1.8260,0
7,19,n_e6a7,0.4643,0
7,20,n_7f0b,1.4947,0
7,21,n_30f4,-2.4512,0
7,22,n_c5e8,-0.8795,0
7,23,n_95d1,0.5849,0
7,24,n_c5e8,1.6976,0
8,0,n_c5e8,-4.4810,0
8,1,n_2f4f,-4.6684,0
8,2,n_30f4,1.4494,0
8,3,n_5c3c,2.4006,0
8,5,n_702d,4.3249,0
8,6,n_7f0b,2.0757,0
8,7,n_e6a7,-4.2323,0
8,8,n_c5e8,2.5744,0
8,10,n_30f4,2.4179,0
8,11,n_e6a7,4.3419,0
8,12,n_30f4,-4.3716,0
8,13,n_747a,-3.8230,0
8,14,n_7f0b,1.4634,0
8,15,n_7f0b,-1.2419,0
8,16,n_639c,-4.6884,0
8,17,n_747a,-4.4063,0
8,18,n_2f4f,3.6524,0
8,19,n_639c,-2.5179,0
8,20,n_639c,0.9333,0
8,21,n_7f0b,1.2318,0
8,22,n_7f0b,0.0225,0
8,23,n_e6a7,-2.9784,0
9,0,n_c5e8,-4.5358,0
9,1,n_2f4f,-4.5806,0
9,2,n_2f4f,0.7706,0
9,3,n_7f0b,2.2136,0
9,4,n_5c3c,-4.9304,0
9,5,n_747a,3.4960,0
9,6,n_e6a7,-2.5422,0
9,7,n_702d,3.2111,0
9,8,n_7f6e,-3.6531,0
9,9,n_747a,4.0277,0
9,10,n_7f6e,2.1911,0
9,11,n_30f4,0.3320,0
9,12,n_702d,-2.5429,0
9,13,n_30f4,4.6397,0
9,15,n_e6a7,4.0750,0
9,16,n_c5e8,-1.7800,0
9,17,n_c5e8,-4.3243,0
9,18,n_c5e8,1.6317,0
9,19,n_95d1,0.3306,0
9,20,n_30f4,-3.3834,0
9,21,n_747a,-4.0924,0
9,22,n_c5e8,3.7558,0
9,23,n_7f6e,-3.9074,0
9,24,n_30f4,-1.2374,0
10,0,n_c5e8,-4.7110,0
10,1,n_2f4f,-0.0852,0
10,2,n_2f4f,-3.7094,0
10,3,n_5c3c,-3.3874,0
10,4,n_747a,3.8465,0
10,5,n_e6a7,-0.8747,0
10,6,n_30f4,-2.2288,0
10,7,n_7f0b,-3.4959,0
10,8,n_c5e8,-0.9811,0
10,9,n_7f0b,4.2007,0
10,10,n_702d,-3.7858,0
10,11,n_c5e8,2.9833,0
10,12,n_30f4,3.5343,0
10,13,n_5c3c,4.0538,0
10,14,n_e6a7,2.5981,0
10,15,n_639c,4.9516,0
10,17,n_95d1,-2.7270,0
10,19,n_7f6e,-2.3199,0
10,20,n_2f4f,-2.3063,0
10,21,n_2f4f,4.9319,0
10,22,n_7f0b,2.4249,0
10,23,n_7f0b,-1.3863,0
10,24,n_e6a7,-4.4279,0
11,0,n_beab,-2.1241,0
11,1,n_2f4f,1.4783,0
11,2,n_beab,2.5869,0
11,3,n_5c3c,-3.0042,0
11,4,n_7f0b,-0.5441,0
11,5,n_e6a7,0.6346,0
11,6,n_30f4,1.1062,0
11,7,n_30f4,-1.4960,0
11,8,n_e6a7,-3.3173,0
11,9,n_c5e8,-2.7142,0
11,10,n_7f0b,-3.1539,0
11,11,n_702d,-3.6474,0
11,12,n_7f6e,-4.0767,0
11,13,n_7f6e,0.5943,0
11,15,n_95d1,-0.4146,0
11,16,n_c5e8,-3.2772,0
11,17,n_30f4,3.6228,0
11,18,n_5c3c,1.0881,0
11,19,n_2f4f,-3.8203,0
11,20,n_e6a7,0.7189,0
11,21,n_e6a7,0.9687,0
11,22,n_c5e8,-4.8093,0
11,23,n_e6a7,3.8006,0
11,24,n_95d1,-2.0888,0
12,0,n_c5e8,-4.1457,0
12,1,n_2f4f,-1.9030,0
12,2,n_2f4f,0.1149,0
12,3,n_7f0b,1.0788,0
12,5,n_e6a7,4.8217,0
12,6,n_e6a7,-4.2828,0
12,7,n_7f0b,3.3697,0
12,8,n_e6a7,-0.7875,0
12,9,n_c5e8,0.3948,0
12,10,n_30f4,3.0677,0
12,11,n_7f0b,-2.9700,0
12,13,n_e6a7,-3.5964,0
12,14,n_7f6e,1.6965,0
12,15,n_702d,-1.0555,0
12,16,n_702d,2.6748,0
12,17,n_e6a7,-3.6450,0
12,18,n_e6a7,-3.3361,0
12,19,n_5c3c,0.0733,0
12,20,n_30f4,-1.9003,0
12,21,n_c5e8,2.4947,0
12,22,n_5c3c,0.9237,0
12,23,n_5c3c,-1.8343,0
12,24,n_639c,3.4985,0
13,0,n_c5e8,4.7312,0
13,1,n_95d1,1.2299,0
13,2,n_5c3c,0.6639,0
13,3,n_e6a7,0.4677,0
13,4,n_7f0b,4.2484,0
13,5,n_2f4f,-2.9424,0
13,6,n_e6a7,4.0241,0
13,7,n_e6a7,-1.1265,0
13,8,n_639c,0.8832,0
13,9,n_639c,2.8252,0
13,10,n_5c3c,3.6374,0
13,11,n_30f4,-3.0941,0
13,12,n_7f0b,2.0526,0
13,13,n_30f4,-3.1256,0
13,14,n_747a,1.1714,0
13,15,n_747a,-1.7261,0
13,16,n_702d,-3.4527,0
13,17,n_7f0b,-2.7771,0
13,18,n_7f6e,-3.4194,0
13,19,n_7f6e,4.9321,0
13,20,n_747a,2.5352,0
13,21,n_7f6e,-1.3770,0
13,22,n_2f4f,3.3078,0
13,23,n_5c3c,3.7263,0
13,24,n_5c3c,3.7365,0
14,0,n_30f4,-4.4817,0
14,1,n_c5e8,-0.7308,0
14,2,n_c5e8,-1.1043,0
14,3,n_5c3c,-1.3704,0
14,4,n_5c3c,3.2609,0
14,5,n_747a,4.5315,0
14,6,n_639c,-4.1371,0
14,7,n_2f4f,-3.6945,0
14,8,n_7f6e,-0.2071,0
14,9,n_747a,0.1651,0
14,10,n_747a,-1.4494,0
14,11,n_7f0b,4.3824,0
14,13,n_95d1,-0.3592,0
14,14,n_7f0b,-0.3943,0
14,15,n_95d1,3.2400,0
14,16,n_7f6e,-2.4065,0
14,18,n_7f0b,3.4731,0
14,19,n_95d1,-4.3700,0
14,20,n_702d,-2.9481,0
14,21,n_e6a7,4.5037,0
14,22,n_2f4f,2.9901,0
14,23,n_7f0b,1.6132,0
14,24,n_e6a7,4.5041,0
15,0,n_779b,-0.4791,0
15,1,n_779b,2.6574,0
15,3,n_702d,-2.4682,0
15,4,n_e6a7,0.6487,0
15,5,n_7f0b,1.0377,0
15,6,n_7f0b,-2.0735,0
15,7,n_e6a7,-2.0105,0
