loss,preference_margin,ref_margin,kl_from_ref,sigmoid_input,winner_target,loser_target
0.69140625,-8.0,-8.0,0.0,0.0,X8,X2
0.9140625,-8.0,-4.0,6.0,-4.0,X3,X2
0.51171875,-4.0,-8.0,-2.0,4.0,X8,X2
0.37109375,-4.0,-12.0,4.0,8.0,X8,X2
0.69140625,0.0,0.0,-4.0,0.0,X2,X2
0.26171875,4.0,-8.0,22.0,12.0,X3,X2
0.69140625,0.0,0.0,0.0,0.0,X2,X2
0.69140625,0.0,0.0,-16.0,0.0,X2,X2
0.08642578125,16.0,-8.0,-4.0,24.0,X8,X2
0.69140625,0.0,0.0,-20.0,0.0,X2,X2
0.039794921875,24.0,-8.0,-24.0,32.0,X3,X2
0.005584716796875,40.0,-12.0,-10.0,52.0,X8,X2
0.0010986328125,60.0,-8.0,-62.0,68.0,X3,X2
0.69140625,0.0,0.0,-120.0,0.0,X2,X2
6.628036499023438e-05,88.0,-8.0,-100.0,96.0,X8,X2
0.69140625,0.0,0.0,-148.0,0.0,X2,X2
0.69140625,0.0,0.0,-184.0,0.0,X2,X2
0.69140625,0.0,0.0,-172.0,0.0,X2,X2
8.940696716308594e-06,104.0,-12.0,-110.0,116.0,X8,X2
4.5299530029296875e-05,88.0,-12.0,-158.0,100.0,X3,X2
8.940696716308594e-06,108.0,-8.0,-166.0,116.0,X8,X2
0.69140625,0.0,0.0,-232.0,0.0,X2,X2
6.139278411865234e-06,108.0,-12.0,-156.0,120.0,X3,X2
6.139278411865234e-06,112.0,-8.0,-168.0,120.0,X8,X2
6.139278411865234e-06,108.0,-12.0,-160.0,120.0,X3,X2
3.293156623840332e-06,116.0,-10.0,-187.0,126.0,X8,X2
3.123283386230469e-05,100.0,-4.0,-176.0,104.0,X3,X2
6.139278411865234e-06,108.0,-12.0,-184.0,120.0,X8,X2
1.3828277587890625e-05,104.0,-8.0,-180.0,112.0,X3,X2
4.231929779052734e-06,112.0,-12.0,-158.0,124.0,X8,X2
8.940696716308594e-06,108.0,-8.0,-210.0,116.0,X3,X2
8.940696716308594e-06,108.0,-8.0,-194.0,116.0,X8,X2
4.5299530029296875e-05,96.0,-4.0,-218.0,100.0,X3,X2
4.231929779052734e-06,112.0,-12.0,-182.0,124.0,X8,X2
6.139278411865234e-06,112.0,-8.0,-216.0,120.0,X3,X2
1.8775463104248047e-06,124.0,-8.0,-202.0,132.0,X8,X2
4.231929779052734e-06,116.0,-8.0,-206.0,124.0,X3,X2
8.940696716308594e-06,104.0,-12.0,-202.0,116.0,X8,X2
1.3828277587890625e-05,104.0,-8.0,-180.0,112.0,X3,X2
4.231929779052734e-06,116.0,-8.0,-170.0,124.0,X8,X2
4.5299530029296875e-05,88.0,-12.0,-202.0,100.0,X3,X2
1.3828277587890625e-05,108.0,-4.0,-188.0,112.0,X8,X2
1.3828277587890625e-05,104.0,-8.0,-172.0,112.0,X3,X2
4.231929779052734e-06,116.0,-8.0,-186.0,124.0,X8,X2
3.123283386230469e-05,100.0,-4.0,-180.0,104.0,X3,X2
1.2069940567016602e-06,128.0,-8.0,-164.0,136.0,X8,X2
4.231929779052734e-06,116.0,-8.0,-162.0,124.0,X3,X2
2.726912498474121e-06,120.0,-8.0,-172.0,128.0,X8,X2
4.231929779052734e-06,116.0,-8.0,-146.0,124.0,X3,X2
4.231929779052734e-06,112.0,-12.0,-158.0,124.0,X8,X2
8.307397365570068e-07,128.0,-12.0,-146.0,140.0,X3,X2
1.2069940567016602e-06,124.0,-12.0,-192.0,136.0,X8,X2
4.231929779052734e-06,120.0,-4.0,-202.0,124.0,X3,X2
0.0002307891845703125,76.0,-8.0,-202.0,84.0,X8,X2
8.307397365570068e-07,128.0,-12.0,-122.0,140.0,X8,X2
1.2069940567016602e-06,128.0,-8.0,-164.0,136.0,X3,X2
1.8775463104248047e-06,124.0,-8.0,-142.0,132.0,X8,X2
1.2069940567016602e-06,124.0,-12.0,-180.0,136.0,X3,X2
2.5331974029541016e-07,140.0,-12.0,-192.0,152.0,X8,X2
4.231929779052734e-06,112.0,-12.0,-186.0,124.0,X3,X2
1.8775463104248047e-06,124.0,-8.0,-154.0,132.0,X8,X2
8.940696716308594e-06,108.0,-8.0,-170.0,116.0,X3,X2
2.726912498474121e-06,116.0,-12.0,-144.0,128.0,X8,X2
3.123283386230469e-05,92.0,-12.0,-188.0,104.0,X3,X2
5.699694156646729e-07,136.0,-8.0,-144.0,144.0,X8,X2
6.139278411865234e-06,108.0,-12.0,-168.0,120.0,X3,X2
4.231929779052734e-06,116.0,-8.0,-130.0,124.0,X8,X2
6.139278411865234e-06,112.0,-8.0,-164.0,120.0,X3,X2
4.231929779052734e-06,116.0,-8.0,-196.0,124.0,X8,X2
8.940696716308594e-06,112.0,-4.0,-170.0,116.0,X3,X2
8.307397365570068e-07,128.0,-12.0,-142.0,140.0,X8,X2
0.69140625,124.0,124.0,0.0,0.0,X8,X2
0.18359375,144.0,128.0,-20.0,16.0,X3,X2
0.005584716796875,180.0,128.0,-34.0,52.0,X8,X2
0.002471923828125,184.0,124.0,-62.0,60.0,X3,X2
0.000148773193359375,208.0,120.0,-68.0,88.0,X8,X2
0.00010251998901367188,204.0,112.0,-78.0,92.0,X3,X2
2.014636993408203e-05,228.0,120.0,-82.0,108.0,X8,X2
2.014636993408203e-05,236.0,128.0,-78.0,108.0,X3,X2
2.726912498474121e-06,244.0,116.0,-80.0,128.0,X8,X2
4.231929779052734e-06,232.0,108.0,-98.0,124.0,X3,X2
2.726912498474121e-06,260.0,132.0,-116.0,128.0,X8,X2
8.307397365570068e-07,244.0,104.0,-114.0,140.0,X3,X2
5.699694156646729e-07,268.0,124.0,-104.0,144.0,X8,X2
5.699694156646729e-07,248.0,104.0,-108.0,144.0,X3,X2
5.699694156646729e-07,260.0,116.0,-96.0,144.0,X8,X2
1.8775463104248047e-06,248.0,116.0,-106.0,132.0,X3,X2
3.688037395477295e-07,264.0,116.0,-106.0,148.0,X8,X2
1.8775463104248047e-06,252.0,120.0,-114.0,132.0,X3,X2
3.688037395477295e-07,252.0,104.0,-106.0,148.0,X8,X2
5.699694156646729e-07,260.0,116.0,-120.0,144.0,X3,X2
3.688037395477295e-07,260.0,112.0,-134.0,148.0,X3,X2
