episode,step,node,value,is_breaker
0,0,X2,1.5000,0
0,1,X2,1.5000,0
0,2,X2,1.5000,0
0,3,X2,1.5000,0
0,4,X2,1.5000,0
0,5,X2,1.5000,0
0,6,X2,1.5000,0
1,0,X2,1.5000,0
1,1,X2,1.5000,0
1,2,X2,1.5000,0
1,3,X2,1.5000,0
1,4,X8,-0.4499,0
1,5,X3,0.5577,0
1,6,X8,0.4220,0
2,0,X3,-3.4257,0
2,1,X8,-2.6480,0
2,2,X2,1.5000,0
2,3,X3,2.1619,0
2,4,X2,1.5000,0
2,5,X2,1.5000,0
2,6,X2,1.5000,0
2,7,X8,1.1168,0
2,8,X2,1.5000,0
2,9,X2,1.5000,0
2,10,X3,1.3424,0
2,11,X2,1.5000,0
2,12,X2,1.5000,0
2,13,X8,-4.2476,0
2,14,X2,1.5000,0
2,15,X2,1.5000,0
3,0,X2,1.5000,0
3,1,X3,4.2988,0
3,2,X2,1.5000,0
3,3,X2,1.5000,0
3,4,X8,3.5859,0
3,5,X2,1.5000,0
3,6,X2,1.5000,0
4,0,X3,0.3622,0
4,1,X2,1.5000,0
4,2,X2,1.5000,0
4,3,X2,1.5000,0
4,4,X8,2.4195,0
4,5,X2,1.5000,0
4,6,X2,1.5000,0
4,7,X3,4.4036,0
4,8,X2,1.5000,0
4,9,X2,1.5000,0
4,10,X8,2.9602,0
4,11,X2,1.5000,0
4,12,X2,1.5000,0
4,13,X2,-4.6359,0
4,14,X3,-4.9446,0
4,15,X2,-4.1206,0
4,16,X2,-2.7177,0
4,17,X8,2.1927,0
4,18,X2,-1.2817,0
4,19,X2,-2.3935,0
4,20,X3,-3.6163,0
4,21,X2,-2.9620,0
4,22,X2,-2.0796,0
4,23,X2,-3.2412,0
4,24,X8,-2.7946,0
5,0,X2,-1.6043,0
5,1,X2,-4.8652,0
5,2,X3,-1.2090,0
5,3,X2,-1.2400,0
5,4,X2,-0.0005,0
5,5,X8,-4.7962,0
5,6,X2,-3.9102,0
6,0,X2,-4.4273,0
6,1,X2,-1.6133,0
6,2,X3,2.7248,0
6,3,X2,-1.0868,0
6,4,X2,-0.7521,0
6,5,X8,2.3380,0
6,6,X2,-2.5825,0
7,0,X2,-4.5667,0
7,1,X3,-3.1816,0
7,2,X2,-1.4941,0
7,3,X2,-2.5571,0
7,4,X2,0.4653,0
7,5,X8,2.4594,0
7,6,X2,0.6033,0
8,0,X2,1.0819,0
8,1,X3,-2.7252,0
8,2,X2,-0.1285,0
8,3,X2,-0.6364,0
8,4,X8,3.2212,0
8,5,X2,0.7460,0
8,6,X2,-1.9684,0
9,0,X2,4.3008,0
9,1,X3,-2.8897,0
9,2,X2,-4.9866,0
9,3,X2,3.5149,0
9,4,X8,-0.7486,0
9,5,X2,-4.6430,0
9,6,X2,0.6218,0
9,7,X3,-0.6797,0
10,0,X2,4.1798,0
10,1,X2,-4.7988,0
10,2,X2,2.9266,0
10,3,X8,-1.7020,0
10,4,X2,2.7505,0
10,5,X2,-2.4270,0
10,6,X3,1.2541,0
10,7,X2,2.1906,0
11,0,X2,-4.2081,0
11,1,X8,3.3214,0
11,2,X2,4.1736,0
11,3,X2,-2.4588,0
11,4,X2,4.6712,0
11,5,X3,-3.5140,0
11,6,X2,-2.7233,0
11,7,X2,1.5000,0
11,8,X8,4.8082,0
11,9,X2,-0.6515,0
11,10,X2,-2.9501,0
11,11,X3,3.5177,0
12,0,X2,3.5936,0
12,1,X2,-0.3954,0
12,2,X2,-0.6371,0
12,3,X8,-3.5443,0
12,4,X2,-4.6052,0
12,5,X2,2.3057,0
12,6,X3,-0.5827,0
12,7,X2,1.2505,0
13,0,X2,-2.1404,0
13,1,X8,1.8580,0
13,2,X2,4.5208,0
13,3,X2,-1.8955,0
13,4,X2,-0.4830,0
13,5,X3,2.4748,0
13,6,X2,-2.3457,0
13,7,X2,4.0324,0
13,8,X8,2.2422,0
14,0,X2,1.5000,0
14,1,X2,-2.0772,0
14,2,X3,4.1526,0
14,3,X2,-3.4890,0
14,4,X2,0.4860,0
14,5,X2,4.7299,0
14,6,X8,4.5152,0
15,0,X2,1.5000,0
15,1,X2,-3.0093,0
15,2,X3,-4.7864,0
15,3,X2,-4.6569,0
15,4,X2,0.7378,0
15,5,X8,1.6106,0
15,6,X2,1.6189,0
15,7,X2,-2.6188,0
16,0,X2,0.2168,0
16,1,X3,-0.9838,0
16,2,X2,0.4040,0
16,3,X2,1.6259,0
16,4,X8,1.5092,0
16,5,X2,1.1425,0
16,6,X2,-1.6745,0
17,0,X3,2.3880,0
17,1,X2,1.6482,0
17,2,X2,-1.3947,0
17,3,X2,3.2837,0
17,4,X8,3.4516,0
17,5,X2,-4.8687,0
17,6,X2,1.5449,0
17,7,X3,-4.6934,0
18,0,X2,1.8503,0
18,1,X2,-4.2130,0
18,2,X8,2.5494,0
18,3,X2,2.4332,0
18,4,X2,1.5071,0
18,5,X2,-1.2649,0
18,6,X3,3.6176,0
19,0,X2,2.8788,0
19,1,X2,-3.3762,0
19,2,X8,0.8887,0
19,3,X2,1.6653,0
19,4,X2,-3.2531,0
19,5,X3,2.6022,0
19,6,X2,3.7722,0
20,0,X2,-1.8235,0
20,1,X2,0.3414,0
20,2,X8,-0.4809,0
20,3,X2,4.3213,0
20,4,X2,-2.2284,0
20,5,X3,-0.2437,0
20,6,X2,-0.5044,0
21,0,X2,-3.7613,0
21,1,X8,-0.9123,0
21,2,X2,1.5000,0
21,3,X2,3.6187,0
21,4,X2,-2.0863,0
21,5,X3,4.3800,0
21,6,X2,-0.9341,0
22,0,X2,2.6320,0
22,1,X8,4.4767,0
22,2,X2,-4.6142,0
22,3,X2,1.5000,0
22,4,X3,3.3135,0
22,5,X2,2.1884,0
22,6,X2,-3.5754,0
22,7,X2,4.0431,0
22,8,X8,-2.1823,0
23,0,X2,-0.9155,0
23,1,X2,-0.6294,0
23,2,X3,-2.2721,0
23,3,X2,-0.2679,0
23,4,X2,-4.7337,0
23,5,X8,3.3918,0
23,6,X2,1.4344,0
24,0,X2,1.5000,0
24,1,X2,2.7440,0
24,2,X3,-0.8017,0
24,3,X2,-0.4743,0
24,4,X2,-4.2821,0
24,5,X8,4.7465,0
24,6,X2,4.9417,0
24,7,X2,-0.0948,0
25,0,X3,2.7150,0
25,1,X2,-2.2699,0
25,2,X2,3.4769,0
25,3,X2,-2.7116,0
25,4,X8,4.8912,0
25,5,X2,0.9555,0
25,6,X2,-4.3776,0
25,7,X3,-0.0380,0
25,8,X2,4.0057,0
25,9,X2,-2.2726,0
25,10,X8,1.8976,0
26,0,X2,1.7628,0
26,1,X2,0.3752,0
26,2,X2,-0.2361,0
26,3,X3,-1.3367,0
26,4,X2,3.3953,0
26,5,X2,-2.3527,0
26,6,X8,-1.1301,0
27,0,X2,-2.7686,0
27,1,X2,0.6132,0
27,2,X3,3.4552,0
27,3,X2,2.7109,0
27,4,X2,-1.8115,0
27,5,X2,0.6944,0
27,6,X8,1.1195,0
27,7,X2,-1.4057,0
28,0,X2,4.8619,0
28,1,X3,1.3979,0
28,2,X2,1.5000,0
28,3,X2,-3.3867,0
28,4,X8,1.3506,0
28,5,X2,-2.3326,0
28,6,X2,3.2937,0
29,0,X2,1.5000,0
29,1,X3,-0.8341,0
29,2,X2,-3.5516,0
29,3,X2,1.5000,0
29,4,X8,-1.8742,0
29,5,X2,-0.1231,0
29,6,X2,-2.6676,0
29,7,X3,-2.5173,0
30,0,X2,2.8884,0
30,1,X2,-2.5062,0
30,2,X2,4.8334,0
30,3,X8,-0.2941,0
30,4,X2,-0.5877,0
30,5,X2,-2.1486,0
30,6,X3,4.8909,0
31,0,X2,-3.0305,0
31,1,X2,0.9953,0
31,2,X8,-0.4301,0
31,3,X2,-1.9347,0
31,4,X2,1.6819,0
31,5,X2,4.0787,0
31,6,X3,1.8804,0
32,0,X2,-1.0855,0
32,1,X2,-4.1474,0
32,2,X8,4.4821,0
32,3,X2,0.7572,0
32,4,X2,4.3641,0
32,5,X3,0.2548,0
32,6,X2,-3.2884,0
33,0,X2,-1.5334,0
33,1,X2,1.1243,0
33,2,X8,-1.5120,0
33,3,X2,-4.3906,0
33,4,X2,4.7730,0
33,5,X3,-2.4356,0
33,6,X2,-0.3349,0
33,7,X2,-3.7877,0
34,0,X8,-3.9946,0
34,1,X2,4.6455,0
34,2,X2,0.9973,0
34,3,X2,0.4473,0
34,4,X3,3.8224,0
34,5,X2,1.9850,0
34,6,X2,1.5000,0
34,7,X8,0.4330,0
35,0,X2,2.3401,0
35,1,X2,1.2863,0
35,2,X3,3.5615,0
35,3,X2,0.4337,0
35,4,X2,1.2402,0
35,5,X2,1.5097,0
35,6,X8,-1.9319,0
36,0,X2,3.5178,0
36,1,X2,3.0731,0
36,2,X3,0.4923,0
