episode,step,node,value,is_breaker
0,0,X2,-3.7100,0
0,1,X11,3.2700,0
0,2,X32,-1.2672,0
0,3,X27,-4.8597,0
0,4,X12,-0.9846,0
0,5,X22,2.4033,0
0,6,X2,1.5000,0
0,7,X3,-4.0100,0
0,8,X28,-1.2649,0
0,9,X11,-3.8038,0
0,10,X23,-1.0412,0
0,11,X22,-3.4480,0
0,12,X4,-1.1712,0
0,13,X29,-0.1702,0
0,14,X23,-0.8514,0
0,15,X23,4.0583,0
0,17,X4,-2.8117,0
0,18,X22,2.1900,0
0,19,X31,-4.3918,0
0,20,X14,-1.1846,0
0,21,X2,4.8008,0
0,22,X3,-2.0058,0
0,23,X28,-0.3935,0
1,0,X27,-2.6177,0
1,1,X2,-3.4018,0
1,2,X4,3.0700,0
1,4,X11,0.5320,0
1,5,X19,-2.9200,0
1,6,X22,-4.1400,0
1,7,X4,-3.8022,0
1,8,X14,-0.6138,0
2,0,X4,-2.8300,0
2,1,X4,-1.6875,0
2,2,X32,-3.1900,0
2,3,X27,-1.3200,0
2,4,X32,-4.5500,0
2,5,X3,3.1920,0
2,6,X3,-4.2400,0
2,7,X19,-1.4513,0
2,8,X2,1.5000,0
2,9,X2,3.9331,0
2,12,X29,-3.3233,0
2,13,X32,-0.6025,0
3,0,X32,-2.8900,0
3,1,X4,4.1800,0
3,2,X31,-2.9238,0
3,3,X23,-2.9300,0
3,5,X3,-4.2200,0
3,6,X2,-0.5119,0
3,7,X27,1.0323,0
3,8,X13,-1.2222,0
3,9,X29,2.0713,0
3,10,X2,3.5342,0
3,11,X28,4.2700,0
3,12,X11,2.4715,0
3,13,X31,0.6506,0
3,14,X23,3.3900,0
3,15,X4,-4.5900,0
3,17,X12,-3.1782,0
3,18,X2,1.5000,0
3,19,X2,3.1372,0
4,0,X2,-3.6200,0
4,1,X4,-0.4819,0
4,2,X19,-0.5171,0
4,3,X2,3.6200,0
4,4,X32,-3.0700,0
4,5,X29,-4.2500,0
4,6,X2,1.1400,0
4,9,X22,0.1017,0
5,0,X26,2.8100,0
5,2,X2,-3.7300,0
5,3,X23,-0.6843,0
5,5,X32,-4.1752,0
5,6,X2,1.5000,0
5,7,X19,-0.1901,0
5,8,X27,1.1525,0
5,9,X32,-0.4247,0
5,10,X4,-3.3575,0
6,0,X22,-4.3037,0
6,1,X28,0.1795,0
6,2,X29,3.1100,0
6,3,X31,2.3300,0
6,4,X28,-3.1400,0
6,5,X29,-1.2890,0
6,6,X26,1.1872,0
6,8,X11,-4.1100,0
6,9,X2,-3.3300,0
6,10,X11,4.2633,0
6,12,X19,2.3715,0
6,13,X27,-0.6911,0
6,14,X10,-4.5700,0
6,15,X23,-3.2800,0
6,16,X25,-3.3355,0
6,18,X17,-4.4410,0
6,19,X31,-1.0014,0
6,21,X2,-1.4248,0
6,22,X25,-2.2300,0
7,0,X17,-4.2300,0
