episode,step,node,value,is_breaker
0,0,X14,3.3739,0
0,1,X17,-0.6990,0
0,2,X11,4.4358,0
0,3,X13,-4.2551,0
0,4,X14,-3.8457,0
0,5,X18,-1.3073,0
0,6,X19,-4.4521,0
0,7,X17,2.3745,0
0,8,X14,4.0342,0
0,9,X11,-2.7599,0
0,10,X11,-3.6401,0
1,0,X10,-3.2536,0
1,1,X14,-0.5581,0
1,2,X19,-0.0234,0
1,3,X11,-1.2595,0
1,4,X19,-4.3343,0
1,5,X14,1.7500,0
1,7,X14,-1.3400,0
1,8,X17,-0.0746,0
1,9,X1,2.5098,0
1,10,X11,-3.6009,0
1,11,X14,-1.6040,0
1,12,X9,-3.4151,0
1,13,X11,-1.4338,0
1,14,X13,-3.0109,0
1,15,X13,-4.7912,0
1,16,X13,2.2266,0
1,17,X18,-4.5694,0
1,18,X3,-0.6061,0
1,19,X19,-1.0700,0
1,21,X4,-4.2351,0
1,22,X17,3.7024,0
1,23,X19,-4.6401,0
2,0,X10,-0.9448,0
2,1,X18,-1.7600,0
2,2,X11,-4.4436,0
2,3,X6,2.5100,0
2,4,X10,0.4525,0
2,5,X18,-4.3315,0
2,6,X6,3.3037,0
2,7,X1,4.7936,0
2,8,X7,-2.4931,0
2,9,X17,-2.0767,0
2,10,X4,4.3600,0
2,12,X14,0.6203,0
2,13,X20,4.2221,0
2,14,X11,-4.0117,0
2,15,X14,-4.7595,0
2,16,X19,-0.1551,0
2,17,X14,0.6478,0
2,18,X13,3.3332,0
2,19,X9,-3.5555,0
2,20,X11,3.2020,0
2,21,X17,-0.6524,0
2,22,X17,-2.6960,0
2,23,X11,1.1700,0
3,0,X20,-0.9880,0
3,1,X11,3.6506,0
3,2,X14,-3.9704,0
3,3,X17,-3.8516,0
3,4,X13,1.1149,0
3,5,X11,-0.5738,0
3,7,X13,-4.3141,0
3,8,X10,-4.1022,0
3,9,X19,-1.8438,0
3,10,X3,-3.3944,0
3,11,X14,-0.9115,0
3,12,X14,-1.6170,0
3,13,X13,-3.9439,0
3,14,X9,3.9628,0
3,15,X3,4.1194,0
3,16,X18,-3.7305,0
3,17,X14,3.2284,0
3,18,X13,-3.2191,0
3,19,X11,2.4321,0
3,20,X7,-0.5983,0
3,21,X11,0.5953,0
3,22,X10,3.6421,0
3,23,X9,1.0299,0
4,0,X17,-2.3615,0
4,1,X13,3.7000,0
4,2,X9,-0.5733,0
4,3,X14,0.9549,0
4,4,X17,0.0222,0
4,5,X3,-4.3417,0
4,6,X17,3.4245,0
4,7,X11,-4.2512,0
4,8,X19,-4.9618,0
4,9,X14,-3.3347,0
4,10,X17,-3.1355,0
4,12,X13,1.1021,0
4,13,X10,-4.0324,0
4,14,X18,-0.5361,0
4,16,X11,-0.3331,0
4,17,X17,-1.4704,0
4,18,X19,-2.2139,0
4,19,X18,1.8750,0
4,20,X4,-1.3647,0
4,21,X19,1.3316,0
4,22,X19,-4.5454,0
4,23,X18,-1.5577,0
4,24,X18,-0.4972,0
5,0,X19,-4.9582,0
5,1,X17,-1.1237,0
5,2,X20,-3.0700,0
5,3,X3,3.1005,0
5,4,X17,-0.3243,0
5,5,X3,-3.5044,0
5,6,X14,-2.9472,0
5,7,X14,-3.0937,0
5,8,X19,3.4012,0
5,9,X9,0.5710,0
5,10,X11,-4.6340,0
5,11,X14,-2.1418,0
5,12,X18,-3.0841,0
5,13,X14,-1.9700,0
5,14,X14,0.1460,0
5,15,X14,-2.9619,0
5,16,X14,3.1734,0
5,17,X20,0.7031,0
5,18,X4,3.1755,0
5,20,X20,-4.6267,0
5,21,X17,2.7154,0
5,22,X10,-3.7115,0
5,24,X11,-4.7774,0
6,0,X19,3.6700,0
6,1,X14,-1.4126,0
6,2,X1,0.1598,0
6,3,X18,-3.4433,0
6,4,X11,3.7332,0
6,5,X14,3.2682,0
6,6,X11,-4.1627,0
6,7,X4,4.3488,0
7,0,X17,-1.7467,0
7,2,X11,-4.7633,0
7,3,X10,1.0590,0
7,4,X14,-4.5566,0
7,5,X4,-4.9137,0
7,6,X14,-1.0155,0
7,7,X18,-0.3666,0
8,0,X17,-0.3677,0
8,1,X3,-2.0231,0
8,2,X9,-1.9427,0
8,3,X13,-3.2355,0
8,4,X19,-3.3923,0
8,5,X14,3.4745,0
8,6,X14,-4.2192,0
8,7,X14,-0.9970,0
9,0,X17,-1.2017,0
9,1,X14,3.6370,0
9,2,X11,-1.4210,0
9,3,X3,-4.4094,0
9,4,X9,-2.4013,0
9,5,X19,-0.3005,0
9,6,X17,2.7300,0
9,7,X14,-4.3463,0
9,8,X4,1.1000,0
9,10,X18,-0.3000,0
9,11,X14,-0.9522,0
9,12,X13,-3.2594,0
9,13,X4,-2.9037,0
9,14,X14,-0.4380,0
9,15,X6,3.1535,0
9,16,X18,2.7172,0
9,17,X10,-4.2559,0
9,18,X18,-2.3461,0
9,20,X17,-2.3204,0
9,21,X13,-2.2993,0
9,23,X14,-1.3655,0
10,0,X17,-4.1518,0
10,1,X19,-4.5697,0
10,2,X17,-0.4915,0
10,3,X1,-3.1317,0
10,4,X10,-1.0877,0
10,5,X9,1.3943,0
10,6,X3,-4.5562,0
10,7,X11,3.3000,0
10,8,X13,1.9800,0
10,9,X10,-3.0735,0
10,10,X4,-4.1094,0
10,11,X14,-3.6976,0
10,12,X14,5.0000,0
10,13,X14,-3.3002,0
10,14,X17,-4.1272,0
10,15,X18,-0.1775,0
10,16,X9,4.9443,0
10,17,X13,-3.2414,0
10,18,X13,-3.3034,0
11,0,X19,-4.0055,0
11,1,X17,4.0040,0
11,3,X1,-4.3451,0
11,4,X3,5.0000,0
11,5,X6,-2.2147,0
11,6,X18,-3.3446,0
11,7,X17,-3.7204,0
11,8,X20,0.9579,0
11,10,X17,-0.4120,0
11,11,X3,-3.6069,0
11,12,X18,-4.3465,0
11,13,X20,-2.0332,0
11,14,X14,-3.6524,0
11,15,X14,2.7500,0
11,16,X20,-4.7528,0
11,17,X19,0.6384,0
11,18,X13,5.0000,0
11,19,X9,-3.9625,0
11,20,X10,-0.5935,0
11,21,X10,-0.4477,0
11,22,X14,-2.6254,0
11,23,X19,-3.3347,0
11,24,X17,-4.9194,0
12,0,X1,-0.2464,0
12,1,X18,-3.8072,0
12,2,X14,0.4600,0
12,3,X3,-4.6773,0
12,4,X19,-0.7033,0
12,5,X17,-0.7956,0
12,6,X19,-2.7521,0
12,7,X14,5.0000,0
12,8,X11,-3.1156,0
12,9,X14,-3.7794,0
12,11,X13,-0.3605,0
12,12,X3,5.0000,0
12,13,X19,-1.1071,0
12,14,X7,-0.0090,0
12,15,X10,-0.7073,0
12,16,X13,-3.1365,0
12,17,X18,1.4138,0
12,18,X18,3.7121,0
13,0,X18,4.4500,0
13,1,X14,-4.6355,0
13,2,X19,-4.7731,0
13,3,X1,-3.4174,0
13,4,X14,2.6020,0
13,5,X18,0.0094,0
13,6,X19,2.0000,0
13,7,X9,-3.3701,0
13,8,X17,-4.1957,0
13,9,X4,-0.3178,0
13,10,X17,-1.2254,0
13,11,X10,-4.5617,0
13,12,X6,4.2037,0
14,0,X10,3.7100,0
14,1,X1,-4.4942,0
14,2,X14,-2.6006,0
14,3,X17,-4.5911,0
14,4,X10,-1.7510,0
14,5,X11,-1.1051,0
14,6,X11,3.1175,0
14,7,X13,-3.7075,0
14,8,X14,-2.5019,0
14,9,X19,-0.3913,0
14,10,X17,-3.2416,0
14,11,X19,-4.0000,0
14,12,X3,4.5312,0
14,13,X7,-4.3546,0
14,14,X17,-0.1434,0
14,15,X1,3.3318,0
14,16,X9,-1.5549,0
14,17,X4,-4.1971,0
14,18,X11,-3.5801,0
14,19,X17,-3.4367,0
14,21,X17,-3.2213,0
14,22,X4,-0.4594,0
14,23,X18,-3.3228,0
14,24,X1,-3.1359,0
15,0,X17,-0.2005,0
15,1,X19,-4.3626,0
15,2,X14,1.6443,0
15,3,X13,-0.5473,0
15,4,X19,-1.4400,0
15,5,X3,5.0000,0
15,6,X19,3.5351,0
15,7,X17,-1.7242,0
15,8,X14,2.1444,0
15,9,X13,1.4741,0
15,10,X14,-1.4282,0
15,11,X18,-4.0512,0
15,12,X11,-1.1325,0
15,13,X17,-4.6203,0
15,14,X10,-2.7299,0
15,15,X11,4.9180,0
15,19,X6,-4.2541,0
15,20,X13,-0.4176,0
15,21,X14,-3.5911,0
15,22,X11,-3.3320,0
15,23,X7,2.7917,0
15,24,X9,-3.7704,0
16,0,X18,-1.0514,0
16,1,X11,-4.1514,0
16,2,X17,-3.3351,0
16,3,X17,-3.9447,0
16,4,X13,-4.9149,0
16,5,X10,-4.9305,0
16,6,X19,-0.1717,0
16,7,X14,2.5009,0
16,8,X17,-1.7580,0
16,9,X14,5.0000,0
16,10,X11,-1.4557,0
16,11,X11,-4.5023,0
16,12,X6,-4.2363,0
16,13,X10,-1.2216,0
16,14,X11,1.2900,0
16,16,X14,1.9200,0
16,17,X19,-4.9375,0
16,18,X18,-3.3430,0
16,19,X14,-2.3574,0
16,21,X6,-3.0642,0
16,22,X18,-3.3054,0
16,23,X13,-1.3070,0
16,24,X14,-4.5067,0
17,0,X17,-4.7616,0
17,1,X19,-2.9221,0
17,2,X11,-2.3408,0
17,3,X6,-3.3062,0
17,4,X9,-4.6544,0
17,5,X10,2.4041,0
17,6,X20,-4.5900,0
17,7,X17,4.3300,0
17,8,X11,-1.0203,0
17,10,X18,-1.2336,0
17,11,X18,4.5615,0
17,12,X11,-1.2570,0
17,13,X11,-0.6554,0
17,14,X17,-0.2103,0
17,15,X11,0.7100,0
17,16,X13,-1.2343,0
17,17,X19,1.6275,0
17,18,X18,-2.3344,0
17,19,X14,-1.2030,0
17,20,X11,0.3734,0
17,21,X6,1.9502,0
17,22,X19,-3.9171,0
17,23,X17,-4.5371,0
17,24,X14,-4.9544,0
18,0,X14,-0.6194,0
18,1,X4,-3.2358,0
18,2,X17,-3.1235,0
18,3,X19,-3.4756,0
18,4,X4,-2.6569,0
18,5,X3,-3.8874,0
18,6,X1,-3.1570,0
18,7,X18,-3.7401,0
19,0,X17,-3.8063,0
19,1,X3,3.7066,0
