episode,step,node,value,is_breaker
11,0,X2,1.5000,0
11,1,X2,1.5000,0
11,2,X2,1.5000,0
11,3,X2,1.5000,0
11,4,X2,1.5000,0
11,5,X2,1.5000,0
11,6,X2,1.5000,0
11,7,X2,1.5000,0
11,8,X2,1.5000,0
11,9,X2,1.5000,0
11,10,X2,1.5000,0
11,11,X1,1.1748,0
11,12,X1,0.6909,0
11,13,X1,1.8388,0
11,14,X1,-2.6607,0
11,15,X1,-0.8902,0
11,16,X2,1.5000,0
11,17,X1,-3.1037,0
11,18,X2,1.5000,0
11,19,X2,1.5000,0
11,20,X2,1.5000,0
11,21,X1,1.2966,0
11,22,X2,1.5000,0
11,23,X2,1.5000,0
11,24,X1,3.3731,0
12,0,X2,1.5000,0
12,1,X2,1.5000,0
12,2,X1,-1.8108,0
12,3,X2,1.5000,0
12,4,X2,1.5000,0
12,5,X2,1.5000,0
12,6,X1,-3.7200,0
12,7,X2,1.5000,0
12,8,X2,1.5000,0
12,9,X1,3.3015,0
12,10,X2,1.5000,0
12,11,X2,1.5000,0
13,0,X1,-0.1048,0
13,1,X2,1.5000,0
13,2,X2,1.5000,0
13,3,X2,1.5000,0
13,4,X1,2.4131,0
13,5,X2,1.5000,0
13,6,X2,1.5000,0
13,7,X1,-2.8356,0
13,8,X2,1.5000,0
13,9,X2,1.5000,0
13,10,X1,3.8775,0
13,11,X2,1.5000,0
13,12,X2,1.5000,0
13,13,X2,-4.7108,0
13,14,X1,4.6873,0
13,15,X2,-2.5050,0
13,16,X2,-1.1652,0
13,17,X1,2.5306,0
13,18,X2,-1.6909,0
13,19,X2,-3.4116,0
13,20,X1,-3.0248,0
13,21,X2,-4.6061,0
13,22,X2,-3.7314,0
13,23,X2,1.5000,0
13,24,X1,0.5896,0
14,0,X2,-4.9624,0
14,1,X2,-3.3875,0
14,2,X1,-2.7295,0
14,3,X2,-2.2597,0
14,4,X2,-1.1056,0
14,5,X1,-1.4255,0
14,6,X2,-2.3140,0
14,7,X2,-1.0400,0
14,8,X2,-3.7120,0
14,9,X1,4.2490,0
14,10,X2,-2.6359,0
14,11,X2,-1.0072,0
14,12,X1,-4.0306,0
15,0,X2,-3.8610,0
15,1,X2,-0.4627,0
15,2,X1,-0.2775,0
15,3,X2,-2.5551,0
15,4,X2,-3.4328,0
15,5,X2,3.2085,0
15,6,X1,-2.8735,0
15,7,X2,-3.8455,0
15,8,X2,3.1219,0
15,9,X1,-4.2885,0
15,10,X2,1.5000,0
15,11,X2,-2.5409,0
15,12,X1,-2.6106,0
15,13,X2,-0.8350,0
15,14,X2,-2.5598,0
15,15,X2,3.3739,0
15,16,X1,-1.9838,0
15,17,X2,-2.9003,0
15,18,X2,1.1358,0
15,19,X1,2.7656,0
15,20,X2,4.4733,0
15,21,X2,-1.8293,0
15,22,X1,-1.2088,0
15,23,X2,-2.1772,0
15,24,X2,1.0306,0
16,0,X2,-3.2885,0
16,1,X1,-2.4472,0
16,2,X2,2.8275,0
16,3,X2,-2.4389,0
16,4,X1,1.0815,0
16,5,X2,4.7310,0
16,6,X2,-4.7863,0
16,7,X1,3.1148,0
16,8,X2,3.6052,0
16,9,X2,-2.0521,0
16,10,X2,3.3630,0
16,11,X1,-4.2623,0
16,12,X2,-0.9137,0
16,13,X2,-0.1115,0
16,14,X1,4.4065,0
16,15,X2,-3.3529,0
16,16,X2,3.5041,0
16,17,X1,0.9015,0
16,18,X2,-0.7886,0
16,19,X2,-2.0689,0
16,20,X2,4.0804,0
16,21,X1,2.1312,0
17,0,X2,-0.2738,0
17,1,X2,-3.3713,0
17,2,X1,0.1213,0
17,3,X2,2.5534,0
17,4,X2,-1.8208,0
17,5,X1,-0.5949,0
17,6,X2,4.0212,0
17,7,X2,-1.8771,0
17,8,X2,1.5000,0
17,9,X1,2.1728,0
17,10,X2,-1.4016,0
17,11,X2,-2.4524,0
17,12,X1,-2.0166,0
17,13,X2,1.6847,0
17,14,X2,1.5000,0
17,15,X1,2.5879,0
17,16,X2,-3.9551,0
17,17,X2,0.7593,0
17,18,X2,0.8142,0
17,19,X1,4.1174,0
18,0,X2,-1.5610,0
18,1,X2,1.5000,0
18,2,X1,-1.5260,0
18,3,X2,-1.7115,0
18,4,X2,2.2298,0
18,5,X1,-0.3098,0
18,6,X2,-0.4521,0
18,7,X2,-2.0096,0
18,8,X2,1.3462,0
18,9,X1,-2.5935,0
18,10,X2,3.4419,0
18,11,X2,1.5000,0
18,12,X1,2.5130,0
18,13,X2,-4.1229,0
18,14,X2,-4.7048,0
18,15,X1,0.7199,0
18,16,X2,0.3680,0
18,17,X2,4.0634,0
18,18,X2,1.5000,0
