episode,step,node,value,is_breaker
157,15,X2,1.5000,0
157,16,X2,1.5000,0
157,17,X2,1.5000,0
157,18,X2,1.5000,0
157,19,X2,1.5000,0
157,20,X2,1.5000,0
158,0,X2,1.5000,0
158,1,X2,1.5000,0
158,2,X2,1.5000,0
158,3,X2,1.5000,0
158,4,X2,1.5000,0
158,5,X1,1.1748,0
158,6,X1,-2.8807,0
158,7,X1,0.6909,0
158,8,X1,-4.8054,0
158,9,X1,3.2796,0
158,10,X2,1.5000,0
158,11,X1,4.3491,0
158,12,X2,1.5000,0
158,13,X2,1.5000,0
158,14,X2,1.5000,0
158,15,X1,-3.4855,0
158,16,X2,1.5000,0
158,17,X2,1.5000,0
158,18,X1,-0.5704,0
158,19,X2,1.5000,0
159,0,X2,1.5000,0
159,1,X1,-4.6133,0
159,2,X2,1.5000,0
159,3,X2,1.5000,0
159,4,X2,1.5000,0
159,5,X1,3.8847,0
159,6,X2,1.5000,0
159,7,X2,1.5000,0
159,8,X1,3.0070,0
159,9,X2,1.5000,0
159,10,X2,1.5000,0
159,11,X1,2.3402,0
159,12,X2,1.5000,0
160,0,X2,1.5000,0
160,1,X2,1.5000,0
160,2,X1,1.2881,0
160,3,X2,1.5000,0
160,4,X2,1.5000,0
160,5,X1,2.3702,0
160,6,X2,1.5000,0
160,7,X2,1.5000,0
160,8,X1,-4.0373,0
160,9,X2,1.5000,0
160,10,X2,1.5000,0
160,11,X2,-4.6756,0
160,12,X1,0.9114,0
161,0,X2,-2.7380,0
161,1,X2,-3.3662,0
161,2,X1,-1.1584,0
161,3,X2,-3.3604,0
161,4,X2,-3.4307,0
161,5,X1,3.4649,0
161,6,X2,-4.6884,0
161,7,X2,-1.9543,0
161,8,X2,-4.1040,0
161,9,X1,0.1954,0
161,10,X2,-2.5050,0
161,11,X2,-1.6732,0
161,12,X1,1.4422,0
161,13,X2,-4.1198,0
161,14,X2,-3.4192,0
161,15,X1,2.9979,0
161,16,X2,-3.6984,0
161,17,X2,1.5000,0
161,18,X2,-3.4092,0
161,19,X1,-4.8993,0
161,20,X2,-0.9128,0
161,21,X2,-2.2052,0
161,22,X1,0.5848,0
161,23,X2,-3.3875,0
162,0,X2,-0.2204,0
162,1,X1,-4.6251,0
162,2,X2,-4.8303,0
162,3,X2,3.3810,0
162,4,X2,4.5180,0
162,5,X1,-2.6076,0
162,6,X2,-2.5269,0
162,7,X2,1.5000,0
162,8,X1,-0.8211,0
162,9,X2,-3.8797,0
162,10,X2,2.9883,0
162,11,X1,1.8860,0
162,12,X2,-1.4519,0
162,13,X2,2.0920,0
162,14,X2,-1.1752,0
163,0,X1,-1.1846,0
163,1,X2,1.5000,0
163,2,X2,-2.5551,0
163,3,X1,-3.7265,0
163,4,X2,4.7344,0
163,5,X2,1.5000,0
163,6,X1,-1.8489,0
163,7,X2,-2.3649,0
163,8,X2,-1.1418,0
163,9,X2,-3.9398,0
163,10,X1,3.1683,0
163,11,X2,4.7048,0
163,12,X2,-0.2844,0
163,13,X1,-4.4812,0
163,14,X2,-0.0351,0
163,15,X2,-2.5598,0
164,0,X1,1.6395,0
164,1,X2,-0.5850,0
164,2,X2,4.6121,0
164,3,X2,-4.7132,0
164,4,X1,-1.3960,0
164,5,X2,3.1982,0
164,6,X2,-2.4011,0
164,7,X1,1.3413,0
164,8,X2,1.5000,0
164,9,X2,-2.7692,0
164,10,X1,1.3418,0
164,11,X2,3.0860,0
164,12,X2,-3.2885,0
164,13,X2,0.3654,0
164,14,X1,1.4336,0
164,15,X2,1.8719,0
164,16,X2,-4.3146,0
164,17,X1,-2.7708,0
165,0,X2,4.7310,0
165,1,X2,1.5000,0
165,2,X1,-4.0954,0
165,3,X2,-3.7785,0
165,4,X2,3.3551,0
165,5,X2,-2.2602,0
165,6,X1,-2.0218,0
165,7,X2,-0.7067,0
165,8,X2,4.7749,0
165,9,X1,0.4680,0
165,10,X2,-1.4191,0
165,11,X2,-0.2967,0
165,12,X1,4.3691,0
165,13,X2,-1.4959,0
165,14,X2,-0.4756,0
165,15,X2,-0.7593,0
165,16,X1,3.5107,0
165,17,X2,-0.2229,0
165,18,X2,3.2323,0
165,19,X1,2.1312,0
165,20,X2,-3.0456,0
165,21,X2,-0.5751,0
165,22,X1,0.6530,0
165,23,X2,1.7902,0
165,24,X2,-3.0850,0
166,0,X2,3.1792,0
166,1,X1,0.3654,0
166,2,X2,-4.3627,0
166,3,X2,1.5000,0
166,4,X1,1.1552,0
166,5,X2,4.9801,0
166,6,X2,-3.4352,0
166,7,X1,1.6930,0
166,8,X2,3.0323,0
166,9,X2,-0.9296,0
166,10,X2,-0.2900,0
166,11,X1,4.8647,0
166,12,X2,-4.9366,0
166,13,X2,1.0786,0
166,14,X1,-2.9102,0
166,15,X2,2.4494,0
166,16,X2,-2.1420,0
166,17,X1,-2.7584,0
167,0,X2,4.5587,0
167,1,X2,-1.5610,0
167,2,X2,-2.1044,0
167,3,X1,-1.2928,0
167,4,X2,0.8400,0
167,5,X2,4.4873,0
167,6,X1,-1.4930,0
167,7,X2,-1.8411,0
167,8,X2,-2.8463,0
167,9,X1,0.9807,0
167,10,X2,4.1167,0
167,11,X2,-3.7694,0
167,12,X2,-3.7968,0
167,13,X1,-3.5605,0
167,14,X2,1.5000,0
167,15,X2,1.4774,0
167,16,X1,1.9815,0
168,0,X2,2.7243,0
168,1,X2,-3.0279,0
168,2,X1,1.0728,0
168,3,X2,0.3680,0
168,4,X2,1.4673,0
168,5,X2,-4.5513,0
168,6,X1,-0.0271,0
168,7,X2,1.5000,0
168,8,X2,0.5593,0
168,9,X1,3.0758,0
168,10,X2,3.0629,0
168,11,X2,-2.1064,0
168,12,X1,2.5897,0
168,13,X2,2.0587,0
168,14,X2,1.5000,0
168,15,X2,-0.2272,0
168,16,X1,-0.3802,0
168,17,X2,-4.0070,0
168,18,X2,3.7181,0
169,0,X1,-1.2698,0
169,1,X2,-2.9905,0
169,2,X2,3.0455,0
169,3,X1,0.3830,0
169,4,X2,-4.5985,0
169,5,X2,1.5000,0
169,6,X2,1.8935,0
169,7,X1,4.2979,0
169,8,X2,-0.6823,0
169,9,X2,-4.8855,0
169,10,X1,-2.6412,0
169,11,X2,0.6426,0
169,12,X2,1.5040,0
169,13,X1,2.3580,0
169,14,X2,4.3818,0
169,15,X2,-1.5082,0
169,16,X2,-2.2948,0
170,0,X1,1.8300,0
170,1,X2,3.9698,0
170,2,X1,-3.9699,0
170,3,X2,-3.8989,0
170,4,X2,4.6479,0
170,5,X2,-2.9827,0
170,6,X1,4.3791,0
170,7,X2,-2.9878,0
170,8,X2,-0.8944,0
170,9,X2,-3.3830,0
170,10,X1,-0.8699,0
170,12,X2,-3.7133,0
170,13,X2,-3.8619,0
170,14,X2,-4.8673,0
170,15,X2,1.6879,0
170,16,X1,-3.8683,0
170,17,X2,-4.8673,0
170,18,X2,1.5000,0
170,19,X1,-2.6998,0
170,20,X2,1.5000,0
170,21,X2,1.0095,0
171,0,X2,3.6671,0
171,1,X1,2.5987,0
171,2,X2,3.8082,0
171,3,X2,1.2301,0
171,4,X1,-1.1918,0
171,5,X2,3.1998,0
171,6,X2,0.1474,0
171,7,X2,1.3110,0
171,8,X1,0.7667,0
171,9,X2,1.5000,0
171,10,X2,1.5786,0
171,11,X1,0.0169,0
171,12,X2,3.6642,0
171,13,X2,-4.5156,0
171,14,X1,1.0928,0
171,15,X2,1.1613,0
172,0,X2,1.5000,0
172,1,X2,4.1620,0
172,2,X1,0.3781,0
172,3,X2,-1.6613,0
172,4,X2,-3.1195,0
172,5,X1,4.6063,0
