episode,step,node,value,is_breaker
0,0,X10,1.5000,0
0,1,X5,1.3300,0
0,2,X11,0.9800,0
0,3,X19,4.6100,0
0,4,X7,1.6300,0
0,5,X11,-0.6900,0
0,6,X16,1.3300,0
0,7,X15,3.2200,0
0,8,X20,1.3200,0
0,9,X10,1.5000,0
0,10,X11,4.7200,0
0,11,X19,1.0000,0
0,12,X11,3.5000,0
0,13,X12,0.6000,0
0,14,X18,0.2000,0
0,15,X19,0.7000,0
0,16,X11,0.7000,0
0,17,X16,0.6000,0
0,18,X1,0.6000,0
0,19,X17,0.5000,0
0,20,X11,0.2000,0
0,21,X17,0.0000,0
0,22,X12,2.0000,0
0,23,X19,2.0000,0
1,0,X1,1.0000,0
1,1,X1,1.0000,0
1,2,X1,1.0000,0
1,3,X1,1.0000,0
1,4,X11,0.0000,0
1,5,X11,2.0000,0
1,6,X11,4.0000,0
1,7,X11,2.0000,0
1,8,X11,1.0000,0
1,9,X11,2.0000,0
1,10,X11,2.0000,0
1,11,X10,1.5000,0
1,12,X10,1.5000,0
2,0,X10,1.5000,0
2,1,X10,1.5000,0
2,2,X10,1.5000,0
2,3,X11,2.0000,0
2,4,X10,1.5000,0
2,5,X10,1.5000,0
2,6,X10,1.5000,0
2,7,X10,1.5000,0
2,8,X10,1.5000,0
2,9,X10,1.5000,0
3,0,X10,1.5000,0
3,1,X1,2.0000,0
3,2,X11,1.0000,0
3,4,X11,0.0000,0
3,5,X11,0.0000,0
3,6,X11,0.0000,0
3,7,X12,0.0000,0
3,8,X10,1.5000,0
3,9,X11,0.0000,0
3,10,X11,0.0000,0
3,11,X11,0.0000,0
3,12,X10,1.5000,0
3,13,X10,1.5000,0
3,14,X10,1.5000,0
3,15,X10,1.5000,0
3,16,X1,0.0000,0
4,0,X10,1.5000,0
4,1,X1,2.0000,0
4,2,X11,2.0000,0
4,3,X1,0.0000,0
4,4,X10,1.5000,0
4,5,X10,1.5000,0
4,6,X10,1.5000,0
4,7,X10,1.5000,0
4,8,X1,0.0000,0
5,0,X10,1.5000,0
5,1,X10,1.5000,0
5,2,X10,1.5000,0
5,3,X10,1.5000,0
5,4,X10,1.5000,0
5,5,X10,1.5000,0
5,6,X10,1.5000,0
5,7,X10,1.5000,0
5,8,X10,1.5000,0
5,9,X10,1.5000,0
5,10,X10,1.5000,0
5,11,X10,1.5000,0
5,12,X1,1.0000,0
6,0,X10,1.5000,0
6,1,X10,1.5000,0
6,2,X1,2.0000,0
6,3,X10,1.5000,0
6,4,X10,1.5000,0
6,5,X10,1.5000,0
6,6,X10,1.5000,0
6,7,X10,1.5000,0
6,8,X10,1.5000,0
6,9,X10,1.5000,0
6,10,X10,1.5000,0
6,11,X10,1.5000,0
6,12,X10,1.5000,0
6,13,X10,1.5000,0
6,14,X10,1.5000,0
6,15,X10,1.5000,0
6,16,X10,1.5000,0
6,17,X10,-2.4178,0
6,18,X10,-4.4602,0
6,19,X10,-1.3616,0
6,20,X10,-0.3075,0
6,21,X10,-2.6771,0
6,22,X10,-1.8365,0
6,23,X10,-3.7596,0
6,24,X10,-1.3340,0
7,0,X10,-0.6951,0
7,1,X10,-3.5217,0
7,2,X1,4.0000,0
7,3,X10,-4.3428,0
7,4,X10,-4.9615,0
7,5,X10,-0.5811,0
7,6,X10,-2.1282,0
7,7,X10,-2.3290,0
7,8,X10,-4.0907,0
7,9,X1,0.0000,0
7,10,X10,-1.9504,0
7,11,X10,-0.5994,0
7,12,X10,-0.8941,0
8,0,X10,-1.7311,0
8,1,X1,2.0000,0
8,2,X10,-2.9656,0
8,3,X10,-1.1185,0
8,4,X10,-4.1315,0
8,5,X1,0.0000,0
8,6,X10,-0.4653,0
8,7,X10,-3.3206,0
8,8,X10,-3.6483,0
8,9,X10,-3.3835,0
8,10,X10,-3.7281,0
8,11,X10,-0.6368,0
9,0,X10,-1.7769,0
9,1,X10,-2.5309,0
9,2,X10,-1.6695,0
9,3,X10,1.5000,0
9,4,X10,-3.0942,0
9,5,X10,1.5000,0
9,6,X10,-3.8580,0
9,7,X10,0.2728,0
9,8,X10,2.1200,0
9,9,X10,-2.4048,0
9,10,X10,1.8787,0
9,11,X10,-4.5967,0
9,12,X10,3.6206,0
10,0,X1,3.3110,0
10,1,X1,2.5960,0
10,2,X15,0.7227,0
10,3,X16,3.6170,0
10,4,X11,-3.3600,0
10,5,X7,1.7200,0
10,6,X17,-0.1600,0
10,7,X15,3.8000,0
10,8,X5,3.7000,0
10,9,X11,-0.7000,0
11,0,X1,2.5000,0
11,1,X1,-4.8000,0
11,2,X11,4.6700,0
11,3,X10,1.5000,0
11,4,X4,-3.4000,0
11,5,X9,-1.6000,0
11,6,X11,1.0000,0
11,7,X6,-3.6400,0
11,8,X5,-5.0000,0
11,9,X15,3.7700,0
11,10,X15,-4.3730,0
11,11,X2,-1.5000,0
11,12,X5,1.2000,0
11,13,X4,-1.7000,0
11,14,X11,-5.0000,0
11,15,X16,0.0000,0
11,16,X16,-2.0000,0
11,17,X1,-0.8400,0
11,18,X16,-4.7800,0
11,19,X5,4.1322,0
11,20,X17,-3.7507,0
11,21,X10,-1.7726,0
11,22,X15,3.8630,0
11,23,X15,-1.6714,0
11,24,X16,2.5370,0
12,0,X10,1.5000,0
12,1,X10,1.5000,0
12,2,X1,-3.1100,0
12,3,X1,1.0000,0
12,4,X16,1.9627,0
12,5,X2,-3.6537,0
12,6,X7,5.0000,0
12,7,X11,-3.3288,0
12,8,X5,-0.0000,0
12,9,X1,-2.3600,0
12,10,X15,-1.2900,0
12,11,X7,4.2118,0
12,12,X6,-0.0000,0
12,13,X15,-3.0000,0
12,14,X15,0.4867,0
12,15,X10,1.5000,0
12,16,X5,-3.1600,0
12,17,X10,1.5000,0
13,0,X15,5.0000,0
13,1,X10,1.5000,0
13,2,X1,-4.2100,0
13,3,X15,0.7881,0
13,4,X10,1.5000,0
13,5,X10,1.5000,0
13,6,X7,-3.8100,0
13,7,X1,1.2000,0
13,8,X7,-5.0000,0
13,9,X15,0.3100,0
13,10,X11,0.1712,0
13,11,X10,1.5000,0
13,12,X1,-3.5000,0
13,13,X1,3.1000,0
13,14,X5,-1.3414,0
13,15,X5,-3.5200,0
13,16,X5,-1.1667,0
13,17,X1,5.0000,0
13,18,X1,-1.7000,0
13,19,X1,-0.9000,0
13,20,X7,3.8300,0
13,21,X1,-0.1000,0
13,22,X4,-3.7252,0
13,23,X5,-1.1000,0
14,0,X5,-1.7900,0
14,1,X1,-2.1000,0
14,2,X7,-0.0286,0
14,3,X1,-1.6000,0
14,4,X10,1.5000,0
14,5,X1,4.9119,0
14,6,X5,-1.0000,0
14,7,X1,-1.3000,0
14,8,X1,3.7500,0
14,9,X6,-1.1900,0
14,10,X5,-5.0000,0
14,11,X10,1.5000,0
15,0,X1,1.7000,0
15,1,X1,-3.0000,0
15,2,X7,-2.6117,0
15,3,X5,5.0000,0
15,4,X5,-5.0000,0
15,5,X10,1.5000,0
15,6,X10,1.5000,0
15,7,X7,-5.0000,0
15,8,X15,-3.4174,0
15,9,X5,-2.3100,0
15,10,X15,1.6000,0
16,0,X4,2.3300,0
16,1,X11,-1.7000,0
16,2,X10,1.5000,0
16,3,X10,1.5000,0
16,4,X11,3.0000,0
16,5,X5,-3.8000,0
16,6,X11,-1.9000,0
16,7,X11,3.4169,0
16,8,X4,-2.6700,0
16,9,X5,3.6700,0
16,10,X15,-1.2000,0
16,11,X5,3.7800,0
16,12,X10,1.5000,0
16,13,X10,1.5000,0
16,14,X5,3.5270,0
16,15,X16,0.4181,0
17,0,X10,1.5000,0
17,1,X1,-1.7000,0
17,2,X10,1.5000,0
17,3,X10,1.5000,0
17,4,X5,2.0800,0
17,5,X15,-4.8702,0
17,6,X7,3.0900,0
17,7,X11,-0.3700,0
18,0,X10,1.5000,0
18,1,X1,-3.2890,0
18,2,X15,3.3800,0
18,3,X10,1.5000,0
18,4,X5,2.7500,0
18,5,X10,1.5000,0
18,6,X5,-3.1800,0
18,7,X15,-2.7794,0
18,8,X5,-4.7600,0
18,9,X10,1.5000,0
18,10,X11,3.6000,0
18,11,X2,-3.6370,0
18,12,X10,1.5000,0
18,13,X11,-0.2000,0
18,14,X10,1.5000,0
18,15,X10,1.5000,0
18,16,X15,-3.4900,0
18,17,X5,5.0000,0
19,0,X5,4.4710,0
19,1,X10,1.5000,0
19,2,X5,-4.1757,0
19,3,X10,1.5000,0
19,4,X15,-3.3700,0
19,5,X17,3.7200,0
19,6,X10,1.5000,0
19,7,X10,1.5000,0
19,8,X16,-0.6000,0
19,9,X15,3.7000,0
19,10,X17,-2.2500,0
19,11,X5,-3.5700,0
19,12,X1,-3.3200,0
19,13,X10,1.5000,0
19,14,X5,1.3873,0
19,15,X17,-3.5100,0
19,16,X15,-0.7170,0
19,17,X11,5.0000,0
19,18,X11,-3.5100,0
19,19,X10,1.5000,0
19,20,X10,1.5000,0
19,21,X11,4.3310,0
19,22,X10,1.5000,0
19,23,X15,1.3870,0
20,0,X19,-2.2900,0
20,1,X12,-2.0600,0
20,2,X18,-2.9400,0
20,3,X9,2.2200,0
20,4,X8,2.7000,0
20,5,X18,4.1900,0
20,6,X19,-4.3000,0
20,7,X19,-4.7700,0
20,8,X6,1.2300,0
20,10,X9,3.6400,0
20,11,X16,3.9000,0
20,12,X15,4.0200,0
20,13,X9,-2.4300,0
20,14,X10,1.5000,0
20,15,X10,1.5000,0
20,16,X10,1.5000,0
20,17,X10,1.5000,0
21,0,X10,1.5000,0
21,1,X10,1.5000,0
21,2,X10,1.5000,0
21,3,X10,1.5000,0
21,4,X10,1.5000,0
21,5,X10,1.5000,0
21,6,X10,1.5000,0
21,7,X10,1.5000,0
21,8,X10,1.5000,0
21,9,X10,1.5000,0
22,0,X10,1.5000,0
22,1,X10,1.5000,0
22,2,X10,1.5000,0
22,3,X10,1.5000,0
22,4,X10,1.5000,0
22,5,X10,1.5000,0
22,6,X10,1.5000,0
22,7,X10,1.5000,0
22,8,X10,1.5000,0
22,9,X10,1.5000,0
22,10,X10,1.5000,0
22,11,X10,1.5000,0
22,12,X10,1.5000,0
22,13,X10,1.5000,0
23,0,X10,1.5000,0
23,1,X10,1.5000,0
23,2,X10,1.5000,0
23,3,X10,1.5000,0
23,4,X10,1.5000,0
23,5,X10,1.5000,0
23,6,X10,1.5000,0
23,7,X10,1.5000,0
23,8,X10,1.5000,0
23,9,X10,1.5000,0
23,10,X10,1.5000,0
23,11,X10,1.5000,0
23,12,X10,1.5000,0
23,13,X10,1.5000,0
23,14,X10,1.5000,0
23,15,X10,1.5000,0
23,16,X10,1.5000,0
23,17,X10,1.5000,0
23,18,X10,1.5000,0
23,19,X10,1.5000,0
23,20,X10,1.5000,0
23,21,X10,1.5000,0
23,22,X10,1.5000,0
23,23,X10,1.5000,0
23,24,X10,1.5000,0
24,0,X10,1.5000,0
24,1,X10,1.5000,0
24,2,X10,1.5000,0
24,3,X10,1.5000,0
24,4,X10,1.5000,0
24,5,X10,1.5000,0
24,6,X10,1.5000,0
24,7,X10,1.5000,0
24,8,X10,1.5000,0
24,9,X10,1.5000,0
24,10,X10,1.5000,0
24,11,X10,1.5000,0
25,0,X10,1.5000,0
25,1,X10,1.5000,0
25,2,X10,1.5000,0
25,3,X10,1.5000,0
25,4,X10,1.5000,0
25,5,X10,1.5000,0
25,6,X10,1.5000,0
25,7,X10,-2.1091,0
25,8,X10,-2.6733,0
25,9,X10,-1.4989,0
25,10,X10,-2.2165,0
25,11,X10,-1.1750,0
25,12,X10,-4.0838,0
25,13,X10,-1.3191,0
25,14,X10,-4.1865,0
26,0,X10,-1.1125,0
26,1,X10,-0.9450,0
26,2,X10,-0.2924,0
26,3,X10,-3.9304,0
26,4,X10,-0.5021,0
26,5,X10,-3.7790,0
