episode,step,node,value,is_breaker
0,0,X13,1.9300,0
0,1,X13,1.2980,0
0,2,X11,1.5000,0
0,3,X17,3.3389,0
0,4,X15,1.7300,0
0,5,X14,1.9544,0
0,6,X11,1.5000,0
0,7,X10,0.3575,0
0,8,X17,-1.7510,0
0,9,X15,0.4333,0
0,10,X6,-0.1942,0
0,11,X6,-0.1415,0
0,12,X12,4.1510,0
0,13,X10,-0.0138,0
0,14,X12,-2.3500,0
1,0,X11,-2.9600,0
1,1,X12,1.7320,0
1,2,X10,4.1840,0
1,3,X13,0.0574,0
1,4,X13,0.9869,0
1,5,X18,-3.1855,0
1,6,X11,1.5000,0
1,7,X18,-0.9402,0
1,8,X17,2.7617,0
1,9,X15,-1.5605,0
1,10,X18,0.9788,0
1,11,X15,-3.2600,0
1,14,X3,4.1835,0
1,15,X14,0.9706,0
1,16,X10,-1.4375,0
1,17,X3,4.3781,0
1,18,X7,3.9120,0
1,19,X5,0.7961,0
1,20,X18,1.0030,0
1,21,X15,-3.3747,0
1,22,X2,-1.0300,0
1,23,X15,3.3259,0
2,0,X12,3.3540,0
2,1,X11,1.5000,0
2,2,X11,1.5000,0
2,3,X12,3.6121,0
2,4,X17,-2.1945,0
2,5,X17,1.3739,0
2,6,X10,-0.0000,0
2,7,X13,-4.6153,0
2,8,X10,-1.4451,0
2,9,X14,2.7380,0
2,10,X11,1.5000,0
2,11,X12,-3.5100,0
2,12,X11,1.5000,0
2,13,X19,-1.6627,0
2,14,X19,-1.4358,0
2,15,X12,4.7000,0
2,16,X14,1.0742,0
2,17,X14,-1.3907,0
2,18,X10,-0.3507,0
2,19,X19,-1.4659,0
2,20,X13,3.9603,0
3,0,X7,-4.9710,0
3,1,X3,3.6954,0
3,2,X17,-4.4400,0
3,3,X11,-2.0770,0
3,4,X12,3.3900,0
3,5,X10,-3.1950,0
3,6,X11,1.5000,0
3,8,X10,4.1720,0
3,9,X14,0.4372,0
3,10,X18,3.1353,0
3,11,X11,1.9401,0
3,12,X12,0.9188,0
3,13,X19,1.7135,0
4,0,X15,3.4371,0
4,1,X10,-3.0745,0
4,2,X10,1.4613,0
4,3,X11,2.4393,0
4,4,X18,1.0145,0
4,5,X13,0.7983,0
4,7,X17,-4.1107,0
4,8,X17,4.3886,0
4,9,X7,1.7646,0
4,10,X15,1.4912,0
4,12,X19,4.2200,0
4,13,X19,-3.1407,0
4,14,X19,3.3114,0
4,15,X19,-4.4735,0
4,16,X15,0.1833,0
4,17,X12,1.3457,0
4,18,X11,-1.3378,0
4,19,X15,-3.4104,0
4,20,X5,3.1212,0
4,21,X13,-2.1234,0
4,22,X15,-1.5023,0
4,23,X14,-3.6541,0
4,24,X14,-3.9515,0
5,0,X13,-4.3131,0
5,1,X13,3.0727,0
5,2,X11,-3.7386,0
5,3,X10,0.6540,0
5,4,X10,-1.6988,0
5,5,X17,-0.5218,0
5,6,X11,-1.1514,0
5,7,X14,3.6113,0
5,8,X14,-2.5798,0
5,9,X11,-4.1531,0
5,11,X19,-4.3700,0
5,12,X12,1.7207,0
5,13,X15,0.2952,0
5,14,X19,-3.9400,0
