episode,step,node,value,is_breaker
0,12,X2,1.5000,0
0,13,X2,1.5000,0
0,14,X2,1.5000,0
0,15,X2,1.5000,0
0,16,X2,1.5000,0
0,17,X1,-3.0000,0
0,18,X2,1.5000,0
1,0,X2,-1.8000,0
1,1,X1,-1.9000,0
1,2,X1,2.0000,0
1,3,X2,1.2800,0
1,4,X1,-0.2140,0
1,5,X2,1.5000,0
1,6,X2,1.5000,0
1,7,X1,-4.2595,0
1,8,X2,1.5000,0
1,9,X2,1.5000,0
1,10,X1,3.1853,0
1,11,X2,1.5000,0
1,12,X2,1.5000,0
2,0,X1,4.1700,0
2,1,X1,5.0000,0
2,2,X2,1.5000,0
2,3,X2,-3.0000,0
2,4,X2,1.5000,0
2,5,X2,1.5000,0
2,6,X2,1.5000,0
2,7,X1,-1.3040,0
2,8,X2,1.5000,0
2,9,X2,1.5000,0
2,10,X2,1.5000,0
2,11,X1,-4.2542,0
2,12,X2,1.5000,0
2,13,X2,1.5000,0
2,14,X1,1.3760,0
2,15,X2,1.5000,0
2,16,X2,1.5000,0
2,17,X1,-4.4343,0
2,18,X2,1.5000,0
2,19,X2,1.5000,0
2,20,X2,1.5000,0
2,21,X1,1.9465,0
