loss,preference_margin,ref_margin,kl_from_ref,sigmoid_input,winner_target,loser_target
0.69140625,0.0,0.0,0.0,0.0,X10,X10
0.69140625,-4.0,-4.0,4.0,0.0,X5,X10
0.51171875,4.0,0.0,-6.0,4.0,X1,X10
0.37109375,4.0,-4.0,-8.0,8.0,X5,X10
0.126953125,12.0,-8.0,-14.0,20.0,X1,X10
0.027099609375,32.0,-4.0,-38.0,36.0,X5,X10
0.00164794921875,60.0,-4.0,-80.0,64.0,X1,X10
0.69140625,0.0,0.0,-128.0,0.0,X10,X10
0.0010986328125,56.0,-12.0,-162.0,68.0,X5,X10
0.000148773193359375,84.0,-4.0,-144.0,88.0,X1,X10
3.123283386230469e-05,100.0,-4.0,-132.0,104.0,X5,X10
4.5299530029296875e-05,96.0,-4.0,-106.0,100.0,X1,X10
1.3828277587890625e-05,108.0,-4.0,-148.0,112.0,X5,X10
6.628036499023438e-05,92.0,-4.0,-152.0,96.0,X1,X10
2.014636993408203e-05,104.0,-4.0,-114.0,108.0,X5,X10
2.726912498474121e-06,124.0,-4.0,-112.0,128.0,X1,X10
4.231929779052734e-06,120.0,-4.0,-54.0,124.0,X5,X10
6.139278411865234e-06,116.0,-4.0,-76.0,120.0,X1,X10
6.139278411865234e-06,116.0,-4.0,-88.0,120.0,X5,X10
1.8775463104248047e-06,128.0,-4.0,-58.0,132.0,X1,X10
8.940696716308594e-06,112.0,-4.0,-174.0,116.0,X5,X10
2.726912498474121e-06,124.0,-4.0,-40.0,128.0,X1,X10
2.726912498474121e-06,124.0,-4.0,-136.0,128.0,X5,X10
3.688037395477295e-07,144.0,-4.0,-106.0,148.0,X1,X10
2.726912498474121e-06,124.0,-4.0,-76.0,128.0,X5,X10
8.307397365570068e-07,136.0,-4.0,-74.0,140.0,X1,X10
8.307397365570068e-07,132.0,-8.0,-206.0,140.0,X5,X10
3.688037395477295e-07,148.0,0.0,-198.0,148.0,X1,X10
8.307397365570068e-07,136.0,-4.0,-126.0,140.0,X5,X10
5.699694156646729e-07,140.0,-4.0,-136.0,144.0,X1,X10
3.688037395477295e-07,144.0,-4.0,-134.0,148.0,X5,X10
3.688037395477295e-07,144.0,-4.0,-94.0,148.0,X1,X10
1.2069940567016602e-06,132.0,-4.0,-92.0,136.0,X5,X10
2.5331974029541016e-07,148.0,-4.0,-188.0,152.0,X1,X10
8.307397365570068e-07,136.0,-4.0,-150.0,140.0,X5,X10
1.2069940567016602e-06,124.0,-12.0,-112.0,136.0,X1,X10
5.699694156646729e-07,136.0,-8.0,-124.0,144.0,X5,X10
1.2069940567016602e-06,136.0,0.0,-96.0,136.0,X1,X10
2.5331974029541016e-07,144.0,-8.0,-64.0,152.0,X5,X10
1.2069940567016602e-06,132.0,-4.0,-104.0,136.0,X1,X10
1.8775463104248047e-06,124.0,-8.0,-138.0,132.0,X5,X10
2.5331974029541016e-07,148.0,-4.0,-96.0,152.0,X1,X10
2.5331974029541016e-07,148.0,-4.0,-92.0,152.0,X5,X10
8.307397365570068e-07,132.0,-8.0,-126.0,140.0,X1,X10
3.688037395477295e-07,144.0,-4.0,-82.0,148.0,X5,X10
5.699694156646729e-07,136.0,-8.0,-112.0,144.0,X1,X10
1.6391277313232422e-07,152.0,-4.0,-110.0,156.0,X5,X10
3.688037395477295e-07,148.0,0.0,-118.0,148.0,X1,X10
7.729977369308472e-08,156.0,-8.0,-170.0,164.0,X5,X10
3.688037395477295e-07,140.0,-8.0,-154.0,148.0,X1,X10
1.6391277313232422e-07,152.0,-4.0,-98.0,156.0,X5,X10
2.5331974029541016e-07,144.0,-8.0,-92.0,152.0,X1,X10
2.726912498474121e-06,120.0,-8.0,-180.0,128.0,X5,X10
8.940696716308594e-06,112.0,-4.0,-82.0,116.0,X1,X10
3.688037395477295e-07,140.0,-8.0,-94.0,148.0,X5,X10
1.2069940567016602e-06,128.0,-8.0,-140.0,136.0,X1,X10
2.726912498474121e-06,124.0,-4.0,-104.0,128.0,X5,X10
4.231929779052734e-06,120.0,-4.0,-98.0,124.0,X1,X10
6.139278411865234e-06,116.0,-4.0,-104.0,120.0,X5,X10
3.688037395477295e-07,140.0,-8.0,-82.0,148.0,X1,X10
5.699694156646729e-07,136.0,-8.0,-128.0,144.0,X5,X10
2.5331974029541016e-07,148.0,-4.0,-112.0,152.0,X1,X10
5.699694156646729e-07,140.0,-4.0,-84.0,144.0,X5,X10
1.126900315284729e-07,152.0,-8.0,-108.0,160.0,X1,X10
2.5331974029541016e-07,144.0,-8.0,-96.0,152.0,X5,X10
1.2069940567016602e-06,128.0,-8.0,-80.0,136.0,X1,X10
5.699694156646729e-07,140.0,-4.0,-192.0,144.0,X5,X10
1.2069940567016602e-06,132.0,-4.0,-64.0,136.0,X1,X10
2.726912498474121e-06,116.0,-12.0,-148.0,128.0,X5,X10
5.699694156646729e-07,144.0,0.0,-148.0,144.0,X1,X10
3.688037395477295e-07,144.0,-4.0,-110.0,148.0,X5,X10
1.8775463104248047e-06,128.0,-4.0,-194.0,132.0,X1,X10
1.2069940567016602e-06,128.0,-8.0,-128.0,136.0,X5,X10
5.699694156646729e-07,144.0,0.0,-132.0,144.0,X1,X10
1.2069940567016602e-06,128.0,-8.0,-136.0,136.0,X5,X10
5.699694156646729e-07,136.0,-8.0,-136.0,144.0,X1,X10
8.307397365570068e-07,140.0,0.0,-174.0,140.0,X5,X10
