episode,step,node,value,is_breaker
0,0,X11,1.5000,0
0,1,X11,1.5000,0
0,2,X11,1.5000,0
0,3,X11,1.5000,0
0,4,X11,1.5000,0
0,5,X11,1.5000,0
0,6,X11,1.5000,0
0,7,X11,1.5000,0
0,8,X11,1.5000,0
0,9,X11,1.5000,0
0,10,X11,1.5000,0
0,11,X8,-2.7287,0
0,12,X9,3.1452,0
0,13,X8,-0.7748,0
0,14,X9,4.5516,0
0,15,X8,2.2276,0
0,16,X11,1.5000,0
0,17,X9,-3.2583,0
0,18,X11,1.5000,0
0,19,X11,1.5000,0
0,20,X11,1.5000,0
0,21,X8,2.6538,0
0,22,X11,1.5000,0
0,23,X11,1.5000,0
0,24,X9,1.5316,0
1,0,X11,1.5000,0
1,1,X11,1.5000,0
1,2,X8,-2.6014,0
1,3,X11,1.5000,0
1,4,X11,1.5000,0
1,5,X11,1.5000,0
1,6,X9,3.5004,0
1,7,X11,1.5000,0
1,8,X11,1.5000,0
1,9,X8,-0.9338,0
1,10,X11,1.5000,0
1,11,X11,1.5000,0
1,12,X9,4.1785,0
1,13,X11,1.5000,0
1,14,X11,1.5000,0
1,15,X11,1.5000,0
1,16,X8,-2.5915,0
1,17,X11,1.5000,0
1,18,X11,1.5000,0
2,0,X9,3.9996,0
2,1,X11,1.5000,0
2,2,X11,1.5000,0
2,3,X8,-4.2129,0
2,4,X11,1.5000,0
2,5,X11,1.5000,0
2,6,X11,-0.9636,0
2,7,X9,-4.0422,0
2,8,X11,-2.5732,0
2,9,X11,-1.2731,0
2,10,X8,0.8021,0
2,11,X11,-3.4959,0
2,12,X11,-4.7747,0
2,13,X9,-2.4569,0
2,14,X11,-3.2199,0
2,15,X11,-3.9194,0
2,16,X11,-2.3421,0
2,17,X8,-3.7377,0
2,18,X11,-0.6225,0
3,0,X11,-2.7449,0
3,1,X9,-0.4721,0
3,2,X11,-0.6944,0
3,3,X11,-2.6524,0
3,4,X8,-4.1276,0
3,5,X11,1.5000,0
3,6,X11,1.5000,0
3,7,X11,-2.4486,0
4,0,X9,3.5753,0
4,1,X11,-1.3977,0
4,2,X11,-2.9550,0
4,3,X8,-3.3619,0
4,4,X11,-4.6987,0
4,5,X11,-4.1862,0
4,6,X9,3.1616,0
4,7,X11,-3.7533,0
4,8,X11,-0.1191,0
4,9,X11,-1.3915,0
4,10,X8,1.6909,0
4,11,X11,-0.2957,0
4,12,X11,-3.6758,0
4,13,X9,0.3459,0
4,14,X11,-0.7800,0
4,15,X11,1.5000,0
4,16,X8,0.2824,0
4,17,X11,-4.4148,0
4,18,X11,4.9880,0
4,19,X11,-3.4115,0
5,0,X9,-1.0575,0
5,1,X11,3.3622,0
5,2,X11,1.5000,0
5,3,X8,-3.2460,0
5,4,X11,-4.1150,0
5,5,X11,1.5000,0
5,6,X9,-2.9751,0
5,7,X11,-0.4014,0
5,8,X11,-4.8632,0
5,9,X11,4.3999,0
5,10,X8,2.6018,0
5,11,X11,-0.9309,0
5,12,X11,4.4854,0
5,13,X9,4.3414,0
5,14,X11,-4.4378,0
5,15,X11,2.3044,0
5,16,X8,1.7263,0
5,17,X11,-2.2064,0
5,18,X11,0.6718,0
5,19,X11,-2.7843,0
5,20,X9,-1.4080,0
6,0,X11,0.8468,0
6,1,X11,0.0138,0
6,2,X8,3.6906,0
6,3,X11,0.5869,0
6,4,X11,1.8811,0
6,5,X9,-3.8978,0
6,6,X11,-0.7710,0
6,7,X11,-4.0744,0
6,8,X11,3.2721,0
6,9,X8,4.1444,0
6,10,X11,1.5000,0
6,11,X11,-1.9338,0
7,0,X9,1.0466,0
7,1,X11,1.3758,0
7,2,X11,-2.7943,0
7,3,X8,-4.2902,0
7,4,X11,0.2124,0
7,5,X11,1.1494,0
7,6,X11,1.5257,0
7,7,X9,4.1782,0
8,0,X11,-3.2190,0
8,1,X11,4.2855,0
8,2,X8,-4.4714,0
8,3,X11,-3.9643,0
8,4,X11,4.8205,0
8,5,X9,3.0584,0
8,6,X11,-4.2297,0
8,7,X11,0.4184,0
9,0,X11,0.1075,0
9,1,X8,-4.2149,0
9,2,X11,0.9393,0
9,3,X11,2.4071,0
9,4,X9,-3.0604,0
9,5,X11,-4.5965,0
9,6,X11,4.5238,0
9,7,X8,-0.9528,0
