episode,step,target,loss
0,0,,0.474957674741745
0,1,,0.21198867075145245
0,2,,0.1895475722849369
0,3,,0.20198898948729038
0,4,,0.17017193883657455
0,5,X3,0.1255915606743656
0,6,X3,0.23848069203086197
0,7,X3,0.088189774134662
0,8,X3,0.13145908672595397
0,9,X3,0.049368379317456856
0,10,X3,0.02358356554486818
0,11,X3,0.16144745146448258
0,12,X3,0.07706905734085012
0,13,X3,0.2057289354270324
0,14,X3,0.16919497516937554
0,15,X3,0.055505174823338166
0,16,X3,0.043262873787170975
0,17,X3,0.04764804466685746
0,18,X3,0.15265229834767524
0,19,X3,0.07045376898895483
1,0,,0.18914866168051958
1,1,,0.1255658771842718
1,2,,0.07132680155336857
1,3,,0.32040129229426384
1,4,,0.10945896338671446
1,5,X3,0.07798376126447693
1,6,X3,0.04804535326547921
1,7,X3,0.023354097502306104
1,8,X3,0.23260968521935865
1,9,X3,0.12082687724614516
1,10,X3,0.14800608850782737
1,11,X3,0.07691282639279962
1,12,X3,0.04594997753156349
1,13,X3,0.030218100117053837
1,14,X3,0.09019711179280421
1,15,X3,0.08236468843824696
1,16,X3,0.060456545135821216
1,17,X3,0.05794426295324229
1,18,X3,0.01578005913324887
1,19,X3,0.022262091166339815
2,0,,0.36919285356998444
2,1,,0.13963380455970764
2,2,,0.1378253512084484
2,3,,0.08044183161109686
2,4,,0.10477933660149574
2,5,X3,0.12759795598685741
2,6,X3,0.013377458253671648
2,7,X3,0.028798679242754588
2,8,X3,0.14933058332826477
2,9,X3,0.079287258835393
2,10,X3,0.12291980675217928
2,11,X3,0.11866231093881652
2,12,X3,0.020177612897896324
2,13,X3,0.07942967560666148
2,14,X3,0.14131386542430846
2,15,X3,0.028614248520170804
2,16,X3,0.13696695247199386
2,17,X3,0.03299182338741957
2,18,X3,0.0211151260718907
2,19,X3,0.07016363973525586
3,0,,0.3133230712264776
3,1,,0.09761787811294198
3,2,,0.2617083862423897
3,3,,0.12796442583203316
3,4,,0.06417047418653965
3,5,X3,0.03161327674752101
3,6,X3,0.24731138568313327
3,7,X3,0.11100098514725687
3,8,X3,0.0789652106250287
3,9,X3,0.1533719623221259
3,10,X3,0.034781552909407765
3,11,X3,0.07314076630427735
3,12,X3,0.016767601361607376
3,13,X3,0.03654250828003569
3,14,X3,0.013442962027056637
3,15,X3,0.0649481049622409
3,16,X3,0.028816524745707284
3,17,X3,0.0908800305769546
3,18,X3,0.07677958124259021
3,19,X3,0.020759949715284165
4,0,,0.10301851015537977
4,1,,0.13016840629279613
4,2,,0.17558963783085346
4,3,,0.3865951709449291
4,4,,0.12277109734714031
4,5,X3,0.04870574008964468
4,6,X3,0.030350345419719815
4,7,X3,0.07342744816560298
4,8,X3,0.08425747463479638
4,9,X3,0.02576127390784677
4,10,X3,0.09731248684693128
4,11,X3,0.04973465928196674
4,12,X3,0.06737545528449118
4,13,X3,0.06372445373563096
4,14,X3,0.05075146132003283
4,15,X3,0.08960152250074316
4,16,X3,0.03371474358573323
4,17,X3,0.019534939733603096
4,18,X3,0.09966122359037399
4,19,X3,0.01525344152469188
5,0,,0.10558704566210508
5,1,,0.12204355746507645
5,2,,0.19307786971330643
5,3,,0.1434327233582735
5,4,,0.253138042986393
5,5,X3,0.13639639435859863
5,6,X3,0.017269175172259565
5,7,X3,0.06341348549176473
5,8,X3,0.0691054632916348
5,9,X3,0.04084956572478404
5,10,X3,0.038687623069563415
5,11,X3,0.07325834888979443
5,12,X3,0.06727101071919606
5,13,X3,0.019451185010439076
5,14,X3,0.1994330608722521
5,15,X3,0.04597398906298622
5,16,X3,0.04656014511238027
5,17,X3,0.05582999761827523
5,18,X3,0.11155960130054154
5,19,X3,0.01860064354877977
6,0,,0.14765012310817838
6,1,,0.024652906227856874
6,2,,0.11941885389387608
6,3,,0.40663088858127594
6,4,,0.2912313360720873
6,5,X3,0.17816445499192923
6,6,X3,0.18753694550832734
6,7,X3,0.07127988955471665
6,8,X3,0.15502036074758507
6,9,X3,0.2204959128284827
6,10,X3,0.09564346342813224
6,11,X3,0.12645339503069408
6,12,X3,0.13721722102491185
6,13,X3,0.09562820385326631
6,14,X3,0.06924014117248589
6,15,X3,0.07012218605450471
6,16,X3,0.1640677085979405
6,17,X3,0.12621239172585774
6,18,X3,0.03246823927474907
6,19,X3,0.06087899858721357
7,0,,0.11778588406741619
7,1,,0.04350157734006643
7,2,,0.08099937019869685
7,3,,0.12157427612692118
7,4,,0.13313451781868935
7,5,X3,0.08190786014165496
7,6,X3,0.04745769716100767
