episode,step,target,loss
0,0,,0.1447540633380413
0,1,,0.2713713198900223
0,2,,0.41510874032974243
0,3,,0.14245999394915998
0,4,,0.12060916796326637
0,5,X3,0.027511786378454417
0,6,X3,0.08056714554550126
0,7,X3,0.08249545338912867
0,8,X3,0.041761928077903576
0,9,X3,0.0870095348363975
0,10,X3,0.02780177219028701
0,11,X3,0.06645905358163873
0,12,X3,0.08184608995452436
0,13,X3,0.14411047501198482
0,14,X3,0.03809395061034593
0,15,X3,0.1109065765485866
0,16,X3,0.03979686052844045
0,17,X3,0.06722872140744585
0,18,X3,0.03386509939446114
0,19,X3,0.03916405429117731
1,0,,0.13773402385413647
1,1,,0.2271772576496005
1,2,,0.12025216780602932
1,3,,0.26024049893021584
1,4,,0.15095218271017075
1,5,X3,0.02235610521165654
1,6,X3,0.05248111668333877
1,7,X3,0.06415849387121852
1,8,X3,0.07121611995535204
1,9,X3,0.0913479886330606
1,10,X3,0.16909604854299687
1,11,X3,0.10683330110623501
1,12,X3,0.1049575535216718
1,13,X3,0.016924322761042276
1,14,X3,0.04955442121354281
1,15,X3,0.02757265116815688
1,16,X3,0.008300175963086076
1,17,X3,0.16453092337178532
1,18,X3,0.04330540183582343
1,19,X3,0.015524906455539167
2,0,,0.44660475105047226
2,1,,0.17953623086214066
2,2,,0.1274353377521038
2,3,,0.11168762343004346
2,4,,0.13517477922141552
2,5,X3,0.17763319889490958
2,6,X3,0.029503213911084458
2,7,X3,0.03435282215650659
2,8,X3,0.12153549384674989
2,9,X3,0.05302332149585709
2,10,X3,0.026113187064765953
2,11,X3,0.01771823747185408
2,12,X3,0.05793190162512474
2,13,X3,0.12273326361901127
2,14,X3,0.020918867499858607
2,15,X3,0.03649737227533478
2,16,X3,0.0325035295500129
2,17,X3,0.2775365479319589
2,18,X3,0.014675657290354138
2,19,X3,0.06065649080846924
3,0,,0.0899798171594739
3,1,,0.30951055232435465
3,2,,0.11488996353000402
3,3,,0.1850120520684868
3,4,,0.13725554011762142
3,5,X3,0.01664926452212967
3,6,X3,0.10172394342953339
3,7,X3,0.14925471250899136
3,8,X3,0.05079523386666551
3,9,X3,0.07252433756366372
3,10,X3,0.05377926432993263
3,11,X3,0.02712139769937494
3,12,X3,0.0678907162946416
3,13,X3,0.16027873261191417
3,14,X3,0.12204088844009675
3,15,X3,0.09752476029098034
3,16,X3,0.045233936223667115
3,17,X3,0.018616115525219357
3,18,X3,0.11525680177146569
3,19,X3,0.040008338750340044
4,0,,0.25053388997912407
4,1,,0.10217419220134616
4,2,,0.2019360587000847
4,3,,0.23414916172623634
4,4,,0.1155913220718503
4,5,X3,0.08958197227912024
4,6,X3,0.08880495483754203
4,7,X3,0.1681160604566685
4,8,X3,0.08481292589567602
4,9,X3,0.07521986494248267
4,10,X3,0.09829077162430622
4,11,X3,0.09266333162668161
4,12,X3,0.031012775798444636
4,13,X3,0.1877542362199165
4,14,X3,0.12567473825765774
4,15,X3,0.0579190359567292
4,16,X3,0.15734198079735506
4,17,X3,0.028898938893689774
4,18,X3,0.09716414315334987
4,19,X3,0.06328695964475628
5,0,,0.23982854187488556
5,1,,0.1198985306546092
5,2,,0.13841001875698566
5,3,,0.38332004472613335
5,4,,0.18435607478022575
5,5,X3,0.06909627381537575
5,6,X3,0.06841218957561068
5,7,X3,0.1652175939816516
5,8,X3,0.0501374250598019
5,9,X3,0.08228740736376494
5,10,X3,0.05924751324346289
5,11,X3,0.01973896064737346
5,12,X3,0.049653325288090855
5,13,X3,0.0791426111572946
5,14,X3,0.041574384704290424
5,15,X3,0.04350841986160958
5,16,X3,0.034883065898611676
5,17,X3,0.117367112354259
5,18,X3,0.04299927569445572
5,19,X3,0.020311863210736192
6,0,,0.099713075440377
6,1,,0.06653835065662861
6,2,,0.17814590083435178
6,3,,0.07420957833528519
6,4,,0.038755570538342
6,5,X3,0.16427216696320102
6,6,X3,0.11192051722900942
6,7,X3,0.20818741887342185
6,8,X3,0.042503343254793435
6,9,X3,0.06215947306191083
6,10,X3,0.016650714294883073
6,11,X3,0.13247272168518975
6,12,X3,0.022675645926483412
6,13,X3,0.14841031339165056
6,14,X3,0.017542010093166027
6,15,X3,0.0524980420814245
6,16,X3,0.039844830376750906
6,17,X3,0.022699494953485555
6,18,X3,0.019569976248021703
6,19,X3,0.05575746750400867
7,0,,0.23483254946768284
7,1,,0.2968819923698902
7,2,,0.11686961445957422
7,3,,0.08497555274516344
7,4,,0.11407386045902967
7,5,X3,0.17468018741055857
7,6,X3,0.18394485026510665
7,7,X3,0.21084095095284283
7,8,X3,0.02969112883329217
7,9,X3,0.23007109656464309
7,10,X3,0.206873896993784
7,11,X3,0.09672676410991699
7,12,X3,0.0867473613252514
7,13,X3,0.059391844624769874
7,14,X3,0.0401881243869866
7,15,X3,0.034128353928281285
7,16,X3,0.3089596262725536
7,17,X3,0.07491265814678627
7,18,X3,0.06056708471442107
7,19,X3,0.15171528139762813
8,0,,0.13447508215904236
8,1,,0.21136410534381866
8,2,,0.15628250502049923
8,3,,0.1269784439355135
8,4,,0.1913550067692995
8,5,X3,0.2502886358415708
8,6,X3,0.05221307525062002
8,7,X3,0.06712283111846773
8,8,X3,0.13357786620326806
8,9,X3,0.14193113947840175
8,10,X3,0.04900542964969645
8,11,X3,0.22468141099670902
8,12,X3,0.05055109910244937
8,13,X3,0.01922874445517664
8,14,X3,0.24514420144987525
8,15,X3,0.07215623811316618
8,16,X3,0.01925446574387024
8,17,X3,0.06700715577608207
8,18,X3,0.09427797045100306
8,19,X3,0.012800445125776605
9,0,,0.2654783856123686
9,1,,0.25232510548084974
9,2,,0.32382127828896046
9,3,,0.26773275062441826
9,4,,0.21458208840340376
9,5,X3,0.046236106543801725
9,6,X3,0.02173835718713235
9,7,X3,0.05255751754157245
9,8,X3,0.04033525059639942
9,9,X3,0.03026482035056688
9,10,X3,0.20278631150722504
9,11,X3,0.03599249591934495
9,12,X3,0.04119650038774125
9,13,X3,0.06228337556240149
9,14,X3,0.06927047937642783
9,15,X3,0.029473081696778536
9,16,X3,0.004376752069219947
9,17,X3,0.13267808720411267
9,18,X3,0.05543558782665059
9,19,X3,0.16752354090567678
10,0,,0.3843435011804104
10,1,,0.19475327245891094
10,2,,0.19300315529108047
10,3,,0.12247997149825096
10,4,,0.014500757795758545
10,5,X3,0.04929024448210839
10,6,X3,0.11589532109792344
10,7,X3,0.07383318379288539
10,8,X3,0.2752718396950513
10,9,X3,0.07799327461907524
10,10,X3,0.013312049408341409
10,11,X3,0.1531629519085982
10,12,X3,0.03965702557707118
10,13,X3,0.010517840115426225
10,14,X3,0.058605212758266134
10,15,X3,0.04499899085203651
10,16,X3,0.07660011557527469
10,17,X3,0.04693718523503776
10,18,X3,0.09486120115616359
10,19,X3,0.01758668652473716
11,0,,0.42987388744950294
11,1,,0.39492448791861534
11,2,,0.21181353041902184
11,3,,0.2739018090069294
11,4,,0.17106879502534866
11,5,X3,0.057808377663604915
11,6,X3,0.1416126483818516
11,7,X3,0.0782810426026117
11,8,X3,0.05123020776954945
11,9,X3,0.11713473848067224
11,10,X3,0.10913705115672201
11,11,X3,0.07584177012904547
11,12,X3,0.05055258731590584
11,13,X3,0.08063573585968697
11,14,X3,0.012585191183461575
11,15,X3,0.13059376887395047
11,16,X3,0.037115700062713586
11,17,X3,0.024173242853066768
11,18,X3,0.038299502528388985
11,19,X3,0.07204340928001329
12,0,,0.24403665447607636
12,1,,0.22398081794381142
12,2,,0.17525272257626057
12,3,,0.30288797430694103
12,4,,0.11723728571087122
12,5,X3,0.1289717286126688
12,6,X3,0.20884816366015002
12,7,X3,0.2880470816162415
12,8,X3,0.07917727288077003
12,9,X3,0.07699194625820382
12,10,X3,0.02022375721935532
12,11,X3,0.09561198625306133
12,12,X3,0.09540587297487946
12,13,X3,0.11056022428965662
12,14,X3,0.07792073450036696
12,15,X3,0.030792351291893283
12,16,X3,0.016440375473393942
12,17,X3,0.06433751758595463
12,18,X3,0.037366682201536605
12,19,X3,0.13606785802039667
13,0,,0.354280449450016
13,1,,0.3373922035098076
13,2,,0.16943871974945068
13,3,,0.1795248370617628
13,4,,0.3092648573219776
13,5,X3,0.12481316132470965
13,6,X3,0.060250954680668656
13,7,X3,0.21578574663726613
13,8,X3,0.0840027420927072
13,9,X3,0.07331471960060298
13,10,X3,0.0576623693050351
13,11,X3,0.025151671626190364
13,12,X3,0.044126072298240615
13,13,X3,0.03471834386436967
13,14,X3,0.00736429345124634
13,15,X3,0.03755300372722559
13,16,X3,0.14456941132084467
13,17,X3,0.03604501022346085
