episode,step,regime,train_loss,eval_loss
0,0,mixed,0.8754028081893921,0.9726340770721436
0,1,mixed,0.6295304298400879,0.7519373893737793
0,2,mixed,0.5924676656723022,0.7458986639976501
0,3,mixed,0.5779536962509155,0.4080783724784851
0,4,mixed,0.46673789620399475,0.39454615116119385
0,5,great_inflation,0.3691200017929077,0.4395218789577484
0,6,great_inflation,0.33070504665374756,0.3228650391101837
0,7,great_inflation,0.24722953140735626,0.4009244441986084
0,8,great_inflation,0.13789458572864532,0.4041025638580322
0,9,great_inflation,0.18142551183700562,0.3724890947341919
0,10,great_moderation,0.0795283392071724,0.28899773955345154
0,11,great_moderation,0.05020209774374962,0.5598174929618835
0,12,great_moderation,0.051654014736413956,0.5175859928131104
0,13,great_moderation,0.035062823444604874,0.4555661380290985
0,14,great_moderation,0.029884081333875656,0.5957581996917725
0,15,great_recession,0.18919919431209564,0.44127780199050903
0,16,post_crisis,0.04480278119444847,0.3477134704589844
0,17,covid,0.2556735873222351,0.5543121099472046
0,18,great_inflation,0.19934411346912384,0.6504049897193909
0,19,volcker_disinflation,0.04097182676196098,0.7072629332542419
1,0,mixed,1.0916157960891724,0.9805892109870911
1,1,mixed,0.9385932087898254,0.9075042605400085
1,2,mixed,0.6671847701072693,0.6395118832588196
1,3,mixed,0.754737377166748,0.6201657056808472
1,4,mixed,0.4305431842803955,0.519858181476593
1,5,great_inflation,0.6268926858901978,0.3970061242580414
1,6,great_inflation,0.2907758057117462,0.3981519937515259
1,7,great_inflation,0.28694477677345276,0.4205229878425598
1,8,great_inflation,0.24775783717632294,0.42116910219192505
1,9,great_inflation,0.2750997543334961,0.40396106243133545
1,10,great_moderation,0.13356399536132812,0.6076404452323914
1,11,great_moderation,0.09863918274641037,0.490041583776474
1,12,great_moderation,0.03859134763479233,0.44900235533714294
1,13,great_moderation,0.051706328988075256,0.4767054617404938
1,14,great_moderation,0.027919767424464226,0.5017003417015076
1,15,great_recession,0.32145610451698303,0.3039410710334778
1,16,post_crisis,0.02643919177353382,0.23555868864059448
1,17,covid,0.06575663387775421,0.4534236788749695
1,18,great_inflation,0.2891903221607208,0.43138936161994934
1,19,volcker_disinflation,0.08172039687633514,0.43376705050468445
2,0,mixed,1.1058635711669922,0.8564733862876892
2,1,mixed,1.0564908981323242,0.8070309162139893
2,2,mixed,0.7424571514129639,0.7261222004890442
2,3,mixed,0.4673982262611389,0.5152906775474548
