seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3004,10,coefficient,scratch,120,2560,0.7243878829993037,0.790176540820608,0.6914935540886514,
3004,10,coefficient,warm,120,2560,0.07772032270282983,0.1693134425160605,0.03192376279621451,
3004,10,coefficient,source_retrieval,120,2560,0.3024114934647838,0.8420008244881318,0.03261682795310972,0.8
3004,10,coefficient,source_mixture,120,2560,0.28888835781583366,0.8023594542603959,0.032152809593552475,0.773931069062212
3004,10,coefficient,scratch,200,2560,0.24421942422303033,0.22174872287954872,0.25545477489477114,
3004,10,coefficient,warm,200,2560,0.032883980046888334,0.047274229571543966,0.025688855284560518,
3004,10,coefficient,source_retrieval,200,2560,0.03608334626302117,0.05678463321981094,0.025732702784626284,0.8
3004,10,coefficient,source_mixture,200,2560,0.03533030364984344,0.05416696525501501,0.02591197284725765,0.773931069062212
3004,10,coefficient,scratch,400,2560,0.027991504092144456,0.033616412829591755,0.025179049723420797,
3004,10,coefficient,warm,400,2560,0.013907689318028,0.015602913168331869,0.013060077392876068,
3004,10,coefficient,source_retrieval,400,2560,0.016084917221983224,0.021995012134794843,0.013129869765577418,0.8
3004,10,coefficient,source_mixture,400,2560,0.01604635254494414,0.022079959910270154,0.013029548862281134,0.773931069062212
