seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3009,1,family,scratch,120,2560,0.8493658778979102,0.2281211997903877,0.87078810817748,
3009,1,family,warm,120,2560,0.054985031079929886,0.7675539774283822,0.030413688102397043,
3009,1,family,source_retrieval,120,2560,0.03201717299372368,0.05382895116071787,0.031265042712103196,0.7666666666666667
3009,1,family,source_mixture,120,2560,0.03159567883940632,0.053828933205341475,0.03082901489575338,0.8618607824916931
3009,1,family,scratch,200,2560,0.4741724470186808,0.023024268248668732,0.48972928076937083,
3009,1,family,warm,200,2560,0.042997266367488,0.31581830751348106,0.03358964425900548,
3009,1,family,source_retrieval,200,2560,0.032743454216107665,0.0038699336072902353,0.033739092857791024,0.7666666666666667
3009,1,family,source_mixture,200,2560,0.03287745362384977,0.003869935109269779,0.03387771288297321,0.8618607824916931
3009,1,family,scratch,400,2560,0.026374447952070328,0.00975978050739203,0.026947367519128195,
3009,1,family,warm,400,2560,0.012665514945882443,0.024488561903867327,0.012257823671469171,
3009,1,family,source_retrieval,400,2560,0.012187046221663242,0.005756587213784044,0.01240878618745218,0.7666666666666667
3009,1,family,source_mixture,400,2560,0.012121292459768665,0.005756587411726937,0.012340765047632173,0.8618607824916931
