step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,19.53409038670361,49.23613213784993
1,X3,-4.0,100,21.775227651000023,52.21636784672737
2,X5,-3.0,150,7.463604042306542,22.889534779265524
3,X6,-2.0,240,5.867700709030032,18.04329602047801
4,X7,-1.0,290,5.719282973557711,16.849609144404532
5,X8,0.0,340,5.657584296539426,15.440627113357186
6,X9,1.0,430,5.595179105177522,13.348269855976104
7,X10,2.0,480,5.576952077448368,12.648979441449047
8,X11,3.0,530,5.566115994006395,11.875916578620672
9,X13,4.0,620,5.555000012740493,10.821698655560613
10,X14,5.0,670,5.547042829915881,10.711187107488513
11,X17,-5.0,720,5.551516205072403,9.674800051003695
12,X18,-4.0,810,5.544936181977391,6.825909461826086
13,X19,-3.0,860,5.549808580428362,5.770176434889436
14,X20,-2.0,910,5.5419863779097795,5.577165668085217
15,X22,-1.0,1000,5.534818647429347,5.372032502666116
16,X25,0.0,1050,5.532519953325391,5.310480308532715
17,X1,-2.0,1100,5.529719473794103,5.283882966265082
18,X3,-1.0,1190,5.529651504009962,5.246390528604389
19,X5,0.0,1240,5.528601070865989,5.245064495876432
20,X6,1.0,1290,5.527414735406637,5.219099117070437
21,X7,2.0,1380,5.524860402569175,5.137027519568801
22,X8,3.0,1430,5.5222876612097025,4.551798076927662
23,X9,4.0,1480,5.522384706884623,4.353801871091127
24,X10,5.0,1570,5.507337836548686,4.282298616319895
25,X11,-5.0,1620,5.507296709343791,3.7029745008796455
26,X13,-4.0,1670,5.50555014796555,3.7030143044888972
27,X14,-3.0,1760,5.503429504111409,3.364462734386325
28,X17,-2.0,1810,5.500895317643881,3.2460979793220757
29,X18,-1.0,1860,5.50019739754498,3.2058700185269116
30,X19,0.0,1950,5.499273452907801,3.1658753581345085
31,X20,1.0,2000,5.499369567260146,3.1461898736655716
