step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X6,4.675974369049072,50,9.273249516263604,31.64390263259411
1,X4,-4.977754592895508,100,6.695453738793731,15.197760707885028
2,X6,-5.0,150,6.162078306078911,13.72303784005344
3,X5,4.977978229522705,240,5.958949355408549,10.717090355977415
4,X10,-5.0,290,5.851379817351699,9.767086983844639
5,X17,3.335529327392578,340,5.781848156824708,8.758023205399514
6,X20,-5.0,430,5.701715059578419,7.729262702167034
7,X9,5.0,480,5.689105017110705,7.147778014093637
8,X9,-4.490241050720215,530,5.678359609097242,6.892730026319623
9,X7,-5.0,620,5.660631973296404,6.448439260199666
10,X25,4.297679424285889,670,5.87698888964951,5.341644242033363
11,X25,4.9696736335754395,720,5.726136973127723,5.210865804180503
12,X11,5.0,810,5.643495319411159,4.72537850625813
13,X16,5.0,860,5.639817949384451,4.694234306365251
14,X25,-5.0,910,5.806952213868499,4.595827277004719
15,X11,-5.0,1000,5.640992330387235,3.568391318619251
16,X25,-5.0,1050,5.638983206823468,3.482945882156491
17,X23,2.387876272201538,1100,5.63932378590107,3.4381468456238506
18,X2,4.213871479034424,1190,5.635254940018058,3.295326280593872
19,X17,-5.0,1240,5.6354724280536175,2.926177093759179
20,X4,4.6880879402160645,1290,5.639030208811164,2.7616219643503426
21,X18,5.0,1380,5.635420357808471,2.7078333649784327
22,X16,-5.0,1430,5.6345783323049545,2.6797340769320726
23,X15,-4.447610855102539,1480,5.635327223688364,2.681039534136653
24,X7,5.0,1570,5.634367290884256,2.6564540050923826
25,X2,-5.0,1620,5.6342633701860905,2.6350334737449885
26,X18,-4.794126510620117,1670,5.6340133883059025,2.598387963324785
27,X17,5.0,1760,5.634603314101696,2.5502701077610253
28,X1,-5.0,1810,5.634164392948151,2.550295964628458
29,X5,-4.874281883239746,1860,5.635424399748445,2.5265004988759756
30,X10,5.0,1950,5.631321202963591,2.5215620487928394
31,X1,5.0,2000,5.630650859326124,2.5220783941447733
