step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,10.967720046639442,28.963292780518533
1,X2,-4.0,100,6.203287208452821,7.895564973726868
2,X4,-3.0,150,5.806203361600637,4.191871719434857
3,X5,-2.0,240,5.696034511551261,2.6381502222269773
4,X6,-1.0,290,5.687980705872178,2.4638919975608586
5,X7,0.0,340,5.6795299630612135,2.3338214069604875
6,X8,1.0,430,5.667404236271977,2.3845020920038227
7,X9,2.0,480,5.655778041109443,2.3161062724888324
8,X10,3.0,530,5.646588506177068,2.346497629210353
9,X11,4.0,620,5.644140351563692,2.3851800601929427
10,X12,5.0,670,5.645727269351482,2.465860752388835
11,X15,-5.0,720,5.6457832865417,2.4975424230098726
12,X16,-4.0,810,5.643674513325095,2.602032160386443
13,X17,-3.0,860,5.64267311245203,2.434860861301422
14,X18,-2.0,910,5.642723901197314,2.4639546763151885
15,X19,-1.0,1000,5.646758692339063,2.5461573392152785
16,X20,0.0,1050,5.650115245953202,2.6008638720959425
17,X21,1.0,1100,5.651033125817776,2.550400575250387
18,X23,2.0,1190,5.645089922472835,2.5739070076495407
19,X25,3.0,1240,5.643193302676082,2.3217776738107205
20,X1,-2.0,1290,5.641882514581084,2.297967954725027
21,X2,-1.0,1380,5.641811739653349,2.355786680057645
22,X4,0.0,1430,5.640239493921399,2.363227788731456
23,X5,1.0,1480,5.639889964833856,2.3786111399531364
24,X6,2.0,1570,5.638398606330156,2.1855917744338513
25,X7,3.0,1620,5.63693080842495,2.0596437260508536
26,X8,4.0,1670,5.635605413466692,2.0322115726768972
27,X9,5.0,1760,5.637154014781117,2.069633401557803
28,X10,-5.0,1810,5.63781176507473,2.0599497854709625
29,X11,-4.0,1860,5.637621460482478,2.066518931090832
30,X12,-3.0,1950,5.638667471706867,2.0539932537823917
31,X15,-2.0,2000,5.6387964356690645,2.0601460851728914
