step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X2,-2.323228337825338,50,8.927522372454405,19.277878365665675
1,X17,-2.3344618746861645,100,5.952951278537512,5.462885626778006
2,X2,-1.2087566751091163,150,5.7246489860117435,3.921881636977196
3,X21,-1.6780230149032018,240,5.704030405730009,2.6190437585115434
4,X2,-3.403376032780301,290,5.713177654892206,2.786532921716571
5,X12,0.6096200893667625,340,5.713558372110128,2.671880102530122
6,X9,-3.3622315524763957,430,5.717148181051016,3.0782205887138843
7,X17,2.735879800290874,480,5.716839045286179,2.7689742892980576
8,X25,-1.2240522302778842,530,5.709001189097762,2.8478164587169887
9,X1,-1.845410262641367,620,5.694856379181147,3.2850878577679397
10,X18,-3.9796327870042134,670,5.6916651874780655,3.578869400918484
11,X2,-4.072354386215049,720,5.689014915376902,3.7849651504307986
12,X6,-3.737503007794035,810,5.686494087800384,4.501065810769797
13,X1,-2.081984809700359,860,5.683367485180497,4.821125638857484
14,X17,0.7340808568092712,910,5.678563054651022,5.04613426104188
15,X10,-0.3070732326926562,1000,5.669690519571304,5.4833914916962385
16,X2,2.6879474747998353,1050,5.668755862861872,5.290011469647288
17,X12,0.21670250605766306,1100,5.666082674637437,5.311990741267801
18,X19,-2.9313752933388857,1190,5.664924263954163,5.550174979493022
19,X25,1.38756562226079,1240,5.66442896425724,5.67062369287014
20,X23,3.0933852464380482,1290,5.66156074218452,5.540313134714961
21,X12,-4.874519080054899,1380,5.657562183216214,5.647620954737067
22,X20,-0.6561332430811815,1430,5.657039005309343,5.767794900387526
23,X21,1.3835326430549877,1480,5.656812682747841,5.913334807008505
24,X25,3.900985705369024,1570,5.655111405998468,5.996034867316484
25,X19,0.20609003815578042,1620,5.654176831245422,5.735384618490935
26,X17,-1.2547836817751667,1670,5.654397867619991,5.6806338734924795
27,X2,3.4734178151319295,1760,5.653042363002896,5.6494178138673306
28,X7,2.2582784161113336,1810,5.652102751657367,5.431992017105221
29,X4,4.136459118642296,1860,5.651066204532981,5.406376829370856
30,X10,-3.298731123290918,1950,5.648864774033427,5.492989879101515
31,X12,0.5420366221065294,2000,5.646921226754785,5.562736086547375
