step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X5,-4.960751533508301,50,7.525049975141883,15.000933243334293
1,X6,5.0,100,5.956894487142563,4.049540772661567
2,X1,-4.09621000289917,150,5.748870011419058,2.948802146688104
3,X11,-4.1727399826049805,240,5.5914560202509165,2.0385592862963677
4,X19,-4.408564567565918,290,5.575492123141885,1.9530697725713253
5,X19,5.0,340,5.562414927408099,1.8867743354290725
6,X9,5.0,430,5.5400220435112715,1.7965359769761564
7,X7,5.0,480,5.536160632967949,1.748308078572154
8,X9,-4.265007019042969,530,5.535201018676162,1.7214025098830463
9,X3,-5.0,620,5.533588683232665,1.7218665584921837
10,X22,-3.9517953395843506,670,5.533313535153866,1.7185368601232769
11,X13,4.775307655334473,720,5.532434213906527,1.6990451779216529
12,X17,-5.0,810,5.532699292525649,1.6905429359525441
13,X18,5.0,860,5.534002151340246,1.6835117183625699
14,X10,-5.0,910,5.53233802691102,1.6723355229943992
15,X11,5.0,1000,5.529211953282356,1.6634048264473678
16,X8,4.790260314941406,1050,5.528900412842631,1.658039702475071
17,X10,5.0,1100,5.529746051877737,1.6548617839813233
18,X17,5.0,1190,5.52666749432683,1.6529800813645124
19,X14,5.0,1240,5.526080774143338,1.6530837818980217
20,X1,4.765820503234863,1290,5.523787392303348,1.6513392731547356
21,X13,-5.0,1380,5.521538028493524,1.630214137211442
22,X11,2.338383197784424,1430,5.523010773584247,1.622042129188776
23,X20,-5.0,1480,5.521890673786402,1.6196702979505062
24,X18,-4.830588340759277,1570,5.51770175434649,1.6166295856237411
25,X6,-5.0,1620,5.518304647877812,1.6121497716754676
26,X3,5.0,1670,5.517818121239543,1.6072033815085889
27,X17,-2.688829183578491,1760,5.514858057722449,1.6072848845273255
28,X14,-5.0,1810,5.513009762391448,1.607290580868721
29,X20,4.917652130126953,1860,5.512936485931277,1.607334364950657
30,X8,-4.673247337341309,1950,5.511136310175061,1.607732190564275
31,X22,5.0,2000,5.510811807587743,1.6049393381923438
