step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,16.787229478359222,26.54157497882843
1,X2,-4.0,100,18.275176867842674,27.308363205194475
2,X4,-3.0,150,7.4433110151439905,6.6275611340999605
3,X1,-2.0,240,5.582623848691583,2.590003526210785
4,X2,-1.0,290,5.380063712596893,2.992618317902088
5,X4,0.0,340,5.175112010911107,3.3643305256962774
6,X1,1.0,430,4.830103003419936,3.2216612374410034
7,X2,2.0,480,4.702717438340187,2.0004882272332907
8,X4,3.0,530,4.5598043305799365,1.6505450893193485
9,X1,4.0,620,4.447423253208399,1.4544765796512364
10,X2,5.0,670,4.314491506665945,1.5799262151122093
11,X4,-5.0,720,4.162609263323247,1.3811698634177447
12,X1,-4.0,810,3.9429848520085216,1.2089378006756306
13,X2,-3.0,860,3.8393638180568814,1.1409005271270871
14,X4,-2.0,910,3.7371952468529344,1.0826304230839012
15,X1,-1.0,1000,3.5527568021789193,1.0227612355723976
16,X2,0.0,1050,3.4683699011802673,0.9917322032153606
17,X4,1.0,1100,3.3861779822036624,0.96153958234936
18,X1,2.0,1190,3.221961500123143,0.9059807905927301
19,X2,3.0,1240,3.1494892686605453,0.8878292536363006
20,X4,4.0,1290,3.080266752280295,0.870461012981832
21,X1,5.0,1380,2.954090085811913,0.8280085857957602
22,X2,-5.0,1430,2.8944684639573097,0.8088685007765889
23,X4,-4.0,1480,2.8383457995951176,0.7971898255869746
24,X1,-3.0,1570,2.731449264101684,0.7671918861567975
25,X2,-2.0,1620,2.6823401041328907,0.7444604370743038
26,X4,-1.0,1670,2.6359480740502477,0.728857932984829
27,X1,0.0,1760,2.551187760196626,0.7027991993352771
28,X2,1.0,1810,2.512446324340999,0.6883258201181889
29,X4,2.0,1860,2.4750701868906617,0.6730762703344226
30,X1,3.0,1950,2.408442199230194,0.652299706451595
31,X2,4.0,2000,2.377142248675227,0.6452104756608605
