step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X4,-0.5058463687757175,50,7.740014731884003,10.993851935863496
1,X2,-0.6479067809425914,100,5.799889773130417,4.306166589260101
2,X4,-4.596568374529105,150,5.450916742905974,3.9037186563014985
3,X4,3.2227107807438067,240,4.987799835391343,3.278083795309067
4,X4,3.8648089857281214,290,4.836908286437392,3.113912746310234
5,X2,-0.11085711519535213,340,4.694205915555358,2.6750607818365095
6,X1,-4.156244659527867,430,4.480319697409868,2.6630360405892133
7,X4,-0.3255652604839385,480,4.352550780400634,2.5751097768545153
8,X2,-3.4842068607666055,530,4.232503316365182,2.3317914322018627
9,X1,-3.149361481479068,620,3.998884666711092,2.304692241176963
10,X2,4.955866971680765,670,3.911110185086727,1.5338590700179338
11,X4,2.8559513791660027,720,3.807315065525472,1.3011896815150976
12,X4,4.050098578312637,810,3.619820245541632,1.2193979006260633
13,X4,0.7981560789806981,860,3.530276469886303,1.1777130324393512
14,X4,1.7516861080079416,910,3.4449065756052732,1.139205940067768
15,X2,3.130286733791074,1000,3.2846207544207573,1.0754453713074326
16,X1,0.7200528333447487,1050,3.210025100968778,1.0421507708728313
17,X1,-1.3706316179071965,1100,3.139249405823648,1.0177713569253684
18,X4,2.247272529516083,1190,3.005288230255246,0.9642615349963307
19,X4,3.633048152281587,1240,2.94254894182086,0.9387707166373731
20,X2,-2.995280522529611,1290,2.8827852830290794,0.8872717762365938
21,X1,-2.7030861790130887,1380,2.7697513354942203,0.8260763712227345
22,X1,1.8348024514940953,1430,2.718244801275432,0.804786068201065
23,X2,-1.827177415403065,1480,2.6673612454906106,0.7564990408718586
24,X1,-1.8635151697786192,1570,2.5749410511925817,0.7200536150485277
25,X2,3.185280052377223,1620,2.5325296418741345,0.7151762308552861
26,X4,0.8812064444817613,1670,2.491691336967051,0.7027911875396967
27,X2,2.8445254332738426,1760,2.4170877672731876,0.6751702032983303
28,X2,-0.10257372850796642,1810,2.3827502112835646,0.6647915517911315
29,X4,0.9146399604259212,1860,2.350247599184513,0.6566878458485008
30,X2,1.2849230346021265,1950,2.289695415645838,0.6289313605055213
31,X2,-2.5820077618234727,2000,2.261384215205908,0.6196351898834109
