step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X1,-5.0,50,15.947849567979574,53.19727457761765,11.040521319955587,52.21580892801285,16.2796908809493
1,X2,-4.0,100,6.701722769066691,18.058510034158825,1.7946511190384626,17.07709570415318,2.644456909154542
2,X4,-3.0,150,5.806108398362994,15.238607156276704,0.8942965101450682,14.256244778633118,1.4201073074170076
3,X5,-2.0,240,5.586273962631822,11.24321743324399,0.6703574601560831,10.260034132748842,0.9186852465306098
4,X6,-1.0,290,5.559638760983944,10.547911467403173,0.6502421125769615,9.566032137721777,0.9518761078749473
5,X7,0.0,340,5.543352320790291,10.281809360906482,0.636950746178627,9.300529045984149,0.9515429066959769
6,X9,1.0,430,5.534780258312821,9.977621528878808,0.6197864953428507,8.994622776284814,0.9068761883536353
7,X10,2.0,480,5.521940685808659,8.815759686380625,0.6090262308716774,7.8331767953932285,0.8446292559771488
8,X11,3.0,530,5.507677977904677,8.630596089363099,0.6014322694391012,7.649346947669983,0.7856360681277389
9,X12,4.0,620,5.496859904378653,7.781838639453054,0.5939111076295376,6.8012488801032305,0.6882133123775322
10,X13,5.0,670,5.493168890476227,7.7701953124254945,0.591225266456604,6.78980658762157,0.6717715587777396
11,X14,-5.0,720,5.491119377315044,7.901272851973772,0.5895525738596916,6.9209594912827015,0.6669924641028047
12,X15,-4.0,810,5.494388772174716,5.981598519161343,0.5866696964949369,5.000054704025388,0.6389431768329814
13,X16,-3.0,860,5.493807312101126,6.0068427585065365,0.5852897129952908,5.0251392386853695,0.6383911716984585
14,X17,-2.0,910,5.491644090041518,6.066711151227355,0.5842483099550009,5.0852319952100515,0.6447886563061426
15,X19,-1.0,1000,5.4888957645744085,6.251014590635895,0.5832011606544256,5.269875669851899,0.6387601230138291
16,X20,0.0,1050,5.489433776587248,6.388403242081404,0.582791518419981,5.40707479044795,0.6374719814630225
17,X22,1.0,1100,5.487833054736257,6.378037364035845,0.5825808364897966,5.396986920386553,0.6410721237383162
18,X23,2.0,1190,5.4881974291056395,6.485544278100133,0.581737918779254,5.504252376034856,0.6529079737374559
19,X25,3.0,1240,5.485825477167964,6.454376951232552,0.5811781268566847,5.473447481170297,0.6546644578144575
20,X1,-2.0,1290,5.484864730387926,6.547793363407254,0.5806366391479969,5.566947745159268,0.6584693497667711
21,X2,-1.0,1380,5.480781015008688,6.359964798763395,0.5793699584901333,5.379682587459683,0.6587839098647237
22,X4,0.0,1430,5.479746477678418,6.370395810157061,0.5791148114949465,5.390269476920366,0.6573459823460628
23,X5,1.0,1480,5.479301204904914,6.4273001972585915,0.5786750223487616,5.447174960747361,0.6575096735420327
24,X6,2.0,1570,5.4785771537572145,5.8872057557106015,0.578391807153821,4.907168686389923,0.6448670437093824
25,X7,3.0,1620,5.4793469198048115,4.821129158139229,0.5786330588161945,3.8409863859415054,0.6429942650332425
26,X9,4.0,1670,5.479302521795034,4.628437284752726,0.5783843360841274,3.648253647610545,0.6446340649854392
27,X10,5.0,1760,5.478542346507311,4.255565806850791,0.5780492015182972,3.2754671778529882,0.6735172806850945
28,X11,-5.0,1810,5.478645419701934,4.2363832298666235,0.5774885173887014,3.2561518494039774,0.680299392552115
29,X12,-4.0,1860,5.479541072621942,3.937123550474644,0.5773810241371393,2.9566915407776833,0.6817560384127621
30,X13,-3.0,1950,5.477515015751123,3.9092390440404414,0.5771261788904667,2.92916127666831,0.686634106755567
31,X14,-2.0,2000,5.4777709022164345,3.9064919378608467,0.5770206227898598,2.9263418819755316,0.6911580380983651
