step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X18,4.622976702332412,50,11.415819743648171,38.68168205432594,6.531761625781655,37.704870430752635,7.00167424720712
1,X15,-1.5970436423339351,100,6.242046637460589,27.635454366356136,1.3570872973650694,26.65846249833703,1.4294139130506665
2,X4,-4.496733326434538,150,6.3468241430819035,21.73209026418626,1.4601679183542728,20.754759019240737,1.6024998881233234
3,X25,2.1144487579996962,240,5.732548978179693,19.008151575550436,0.8505845330655575,18.03175868652761,0.8975767920880268
4,X5,3.734961127808921,290,5.686845378950238,16.556991409510374,0.8057256508618593,15.580767463892698,0.8074904374855881
5,X20,4.8594367588048595,340,6.04470394924283,12.910825686529279,1.1631598360836506,11.934516863897443,1.2724305570591241
6,X20,-1.5522215016753593,430,5.555123120546341,12.820708924904466,0.6768411695957184,11.845052534714341,0.6907964093455424
7,X1,0.3923611187170648,480,5.521280292421579,12.15896908119321,0.6447811760008335,11.18366925790906,0.6626339670037851
8,X11,-2.4212243987450046,530,5.508695961907506,11.318342992290855,0.6287880558520555,10.342361411079764,0.644441991695203
9,X16,-3.5323426472790764,620,5.4953377321362495,10.25317943841219,0.6097974255681038,9.27607137709856,0.6204505955101922
10,X2,-2.8223048043787213,670,5.489652657881379,9.863968086987734,0.6029886845499277,8.886635292321444,0.6132437775377184
11,X4,4.884622933716692,720,5.490342510864139,8.601447290927172,0.606189263984561,7.624616641551256,0.6166051341764008
12,X13,-1.5014889756250005,810,5.477794203907251,7.841135979816317,0.591642115265131,6.8639055620878935,0.6002108736041312
13,X4,-3.524117262385519,860,5.475314861163497,7.595380979403854,0.588678365573287,6.618053680285811,0.5973981411273901
14,X8,-1.2767323666322659,910,5.474730947986245,7.2802986778318886,0.5868763718754053,6.30272776260972,0.5942938822166373
15,X8,4.29315766910509,1000,5.4742386639118195,6.98459933437407,0.584141343832016,6.0065798703581095,0.5913804042696331
16,X4,-0.6104472486505674,1050,5.473026931285858,6.85559752881527,0.5830261707305908,5.877597376704216,0.5898133051814511
17,X15,-2.001156483501015,1100,5.473547538742423,6.7011626325547695,0.5814280714839697,5.722738739103079,0.5884703251067549
18,X5,-0.6037107586266774,1190,5.467417160049081,6.468623284995556,0.5796273145824671,5.491065315902233,0.5867737282145147
19,X15,2.6991476538717887,1240,5.467976048588753,6.302774708345533,0.5789311677217484,5.3249657321721315,0.5851084659031283
20,X11,1.7269864239451573,1290,5.468446973711252,6.188796711713076,0.5780884064733982,5.210724998265505,0.585086524176101
21,X25,3.5657480292185166,1380,5.467063328251243,6.005630680918694,0.5772692169994116,5.027671858668327,0.5848183340082566
22,X12,0.7668960351517988,1430,5.463108593598008,5.926932360976934,0.5767341200262308,4.949657466262579,0.5843949727714062
23,X14,2.584269967494662,1480,5.46285100094974,5.751941143721342,0.5766860973089933,4.774708162993193,0.5844483157076562
24,X2,0.41605304931501497,1570,5.4602732341736555,5.627960439771414,0.5756836216896772,4.651042517274618,0.583469774418821
25,X8,-0.006455395837592803,1620,5.461072711274028,5.5342998944222925,0.5745477955788374,4.556994911283255,0.5830057398804153
26,X10,-4.405210150856663,1670,5.461904045194387,5.481269202008844,0.5739470086991787,4.503677794709802,0.582429288692462
27,X16,-2.2254608334144232,1760,5.460529215633869,5.3703732173889875,0.5732541158795357,4.392918197438121,0.5815489108984668
28,X15,2.7001738302899083,1810,5.4609117321670055,5.331699718907475,0.5729148797690868,4.354100348427892,0.5811124541796744
29,X16,-0.09462643692079986,1860,5.460873669013381,5.303668082132935,0.5729391630738974,4.326081180945039,0.5810420741327107
30,X8,0.37631643180953134,1950,5.462356839329004,5.233134891837835,0.5728164650499821,4.255226816982031,0.5805505142391969
31,X2,3.894638917603915,2000,5.4616060350090265,5.158991219103337,0.5727799031883478,4.181225992739201,0.5803410665054495
