step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X1,5.0,50,9.912783505395055,34.838765032589436,5.098520519211888,33.8759124353528,6.994166784609357
1,X9,-5.0,100,8.535849954932928,27.513939675316216,3.711625661700964,26.54909481666982,5.035805634843806
2,X8,5.0,150,7.670236116275191,23.296869809553026,2.83559930883348,22.329942448064685,4.069526274610931
3,X8,0.8037627935409546,240,6.295585623010993,18.89288999401033,1.4728143122047186,17.928335731849074,1.9145352762037267
4,X7,-5.0,290,6.089785628020763,13.450502253323794,1.2702011987566948,12.48658536747098,1.710092266323045
5,X16,-5.0,340,5.895775821059942,10.538768737018108,1.078147079795599,9.57524298876524,1.4285640508557358
6,X19,5.0,430,5.551942948251963,8.754236138984561,0.7312720455229282,7.790101958438754,0.9319505920478454
7,X25,-4.837285041809082,480,5.46677153930068,8.216135459393263,0.6471087895333767,7.252202909439802,0.7861387813463807
8,X16,4.896588325500488,530,5.449736934155226,7.449715545400977,0.6340547613799572,6.486579110845923,0.7482385310577228
9,X13,3.4168572425842285,620,5.408480333164334,7.1824772790074345,0.5978995431214571,6.220361120998859,0.691831121298795
10,X13,-2.874041795730591,670,5.400965306907892,6.816262478008866,0.5921182967722416,5.854493075981736,0.6788826929017281
11,X12,5.0,720,5.419616036117077,6.542288366705179,0.6111046001315117,5.580586079508066,0.7247324490454048
12,X12,-5.0,810,5.395076647400856,6.471329853311181,0.5850302129983902,5.509320566430688,0.6682537447583551
13,X19,-4.591404914855957,860,5.392884694039822,6.299003698304295,0.5822827443480492,5.336883308365941,0.6540756240331879
14,X3,-4.6233625411987305,910,5.399558836594224,5.931448198854923,0.5875933114439249,4.969055093824863,0.6499404002291461
15,X13,-5.0,1000,5.392484163865447,5.564548778161407,0.5804887767881155,4.60214970074594,0.6252872911669934
16,X10,-4.1938018798828125,1050,5.3886189591139555,5.393780392035842,0.5762959253042936,4.43131578527391,0.6180038452148438
17,X10,5.0,1100,5.388132605701685,5.263337332010269,0.5763137675821781,4.300973564386368,0.6143970986595377
18,X13,-1.5659830570220947,1190,5.381261670961976,5.033956936001777,0.5695981625467539,4.071624234318733,0.6036221291093777
19,X11,4.237712860107422,1240,5.3796431217342615,4.931830913573504,0.5676075015217066,3.9694237895309925,0.6003324608318508
20,X6,-5.0,1290,5.3781868070364,4.8945088315755125,0.5662941187620163,3.932130293920636,0.5977225765430678
21,X8,-5.0,1380,5.375434931367636,4.759727228805422,0.5638718567788601,3.7974146138876677,0.594257224855634
22,X16,-2.27931809425354,1430,5.376318972557783,4.646865591779351,0.5644268803298473,3.684487173333764,0.5923623625421897
23,X3,4.506162166595459,1480,5.375978881493211,4.537267560511827,0.5641946736723185,3.574910718947649,0.5908603346130501
24,X7,5.0,1570,5.374183477833867,4.336384458094836,0.5622443575412035,3.3739966340363026,0.5871150953074296
25,X16,-5.0,1620,5.3724125400185585,4.306952706351876,0.5616161003708839,3.3447934184223413,0.5859889305429533
26,X16,-3.144700527191162,1670,5.372474269941449,4.303171982243658,0.5618850756436586,3.341054143384099,0.5860467590391636
27,X12,-3.086153030395508,1760,5.372264368459582,4.260761434957385,0.5609302949160337,3.2984946202486753,0.5853353522252291
28,X1,-5.0,1810,5.37294789776206,4.219883729889989,0.5613573454320431,3.2575656194239855,0.5855397777243827
29,X11,-5.0,1860,5.372053049504757,4.188170387595893,0.5607855543494225,3.225916888564825,0.5848766224614035
30,X9,5.0,1950,5.372419681400061,4.160961788147688,0.5606010816991329,3.1985980682075024,0.5832975227773811
31,X7,-3.623929500579834,2000,5.3744821567088366,4.078321854025125,0.5606460589915514,3.1155546344816685,0.5823912969402348
