step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X6,5.0,50,15.691711436957121,49.660170305520296,10.716042649000883,48.66503654792905,15.012055199282864
1,X25,-4.687339782714844,100,8.110601039603353,19.747116101533173,3.1229831892997026,18.749592531472445,4.381304944787795
2,X12,5.0,150,6.664271708577871,19.911863597109914,1.666868682950735,18.912382991984487,2.6054321485571563
3,X6,-4.906250953674316,240,6.93141533434391,13.274771067127585,1.9341567903757095,12.275319358333945,2.7520773282352216
4,X20,5.0,290,6.497000552713871,12.44316570237279,1.5058389082551003,11.444933373481035,2.1667712154642986
5,X12,-5.0,340,6.171140842139721,10.988253340125084,1.187799148261547,9.99158500134945,1.6867612878171105
6,X13,3.877145290374756,430,5.791386339813471,8.535836312919855,0.8148824907839298,7.540535543113947,1.0620661898283288
7,X7,-5.0,480,5.749550888314843,8.278167000040412,0.7726843450218439,7.282793691381812,0.9992052086163312
8,X7,5.0,530,5.691235862672329,7.319860769435763,0.7136937007308006,6.324352337047458,0.908957688176694
9,X25,5.0,620,5.623776439577341,6.394258081540466,0.6456694044172764,5.398636674508452,0.8076229729534437
10,X8,-4.36680793762207,670,5.605754870921373,5.815187297016382,0.6291965432465076,4.819875631481409,0.6980490181207036
11,X7,-0.352354496717453,720,5.593425048515201,4.973256495967507,0.6190485488623381,3.978381196036935,0.6742408031520124
12,X23,-5.0,810,5.578951880335808,4.09841980971396,0.6064984649419785,3.103929126635194,0.6476083289599046
13,X4,-5.0,860,5.582591759040952,3.9102404039353136,0.6100899446755648,2.915740041062236,0.6463954482848445
14,X10,5.0,910,5.5752891935408115,3.824228300899267,0.6029315032064915,2.829756762832403,0.6387947427574546
15,X1,5.0,1000,5.566962888464332,3.412467306852341,0.5926883723586798,2.4176124036312103,0.6185529121042539
16,X1,-5.0,1050,5.564815314486623,2.9916126944124697,0.5904265958815813,1.9967349506914616,0.612190211385799
17,X4,5.0,1100,5.562766598537564,2.832787412405014,0.5880128014832735,1.8378366529941559,0.6068497626887014
18,X22,-5.0,1190,5.55949829518795,2.6768611777573827,0.5850474089384079,1.681971000507474,0.5997262061185513
19,X13,-4.036351203918457,1240,5.559108363464475,2.7323382358998063,0.5846943128854036,1.7374554257839918,0.5992443228218084
20,X14,-5.0,1290,5.559984302148223,2.637474251911044,0.5844201203435659,1.6423614155501127,0.5957894447492436
21,X14,4.954028606414795,1380,5.558604596182704,2.509737691283226,0.5826656203716993,1.514549896121025,0.5918908700890219
22,X23,4.1449737548828125,1430,5.5570719838142395,2.471721601113677,0.5818935632705688,1.476685917004943,0.5906146147754043
23,X5,-4.9133148193359375,1480,5.556695554405451,2.4246434520930054,0.5815294720232487,1.4296102356165648,0.5895824223213519
24,X8,-2.26558518409729,1570,5.557651616632938,2.3680598445236685,0.5814192071557045,1.3728133626282215,0.5776412707054988
25,X17,5.0,1620,5.556772885844111,2.3351707603782415,0.5813549142330885,1.340087166056037,0.5750095004914328
26,X15,5.0,1670,5.557343278080225,2.3154144559055565,0.5812260247766972,1.3201910052448511,0.5736359615887825
27,X9,-5.0,1760,5.557187460362911,2.2741817589849234,0.5810114368796349,1.278946554288268,0.5719697577878833
28,X3,5.0,1810,5.557174323126674,2.2537631947547196,0.5807993989437819,1.2584882099181414,0.5711614517106985
29,X17,-5.0,1860,5.557189807295799,2.2349852908402683,0.5809264034032822,1.2397326100617647,0.5708102606004104
30,X1,-5.0,1950,5.557979982346296,2.203202672675252,0.5808214955031872,1.2077709753066301,0.5704617569378267
31,X7,2.4328901767730713,2000,5.558528875932097,2.177777324616909,0.5808969493955374,1.182250939309597,0.5703150279587135
