step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X1,-5.0,50,10.551452258601785,31.423383491486312,5.587919989600778,30.43067703768611,7.799209879167999
1,X2,-4.0,100,6.21357249096036,7.244808899611234,1.240939486771822,6.250282298773527,1.807671562768519
2,X3,-3.0,150,5.641152603551745,3.2551382802426816,0.659751458093524,2.258858051151037,0.7576914254265528
3,X4,-2.0,240,5.5901673678308725,2.5601615369319917,0.5916695240885019,1.5604619681835175,0.6168060111813247
4,X5,-1.0,290,5.588884647935629,2.4614323738962414,0.582875844091177,1.4602306131273508,0.6014080957587187
5,X6,0.0,340,5.581701170653105,2.3614740863442423,0.5818960182368755,1.3615130558609962,0.5980443578058232
6,X7,1.0,430,5.561736632138491,2.386749128997326,0.5802862532436848,1.3904590532183647,0.6009739013776804
7,X8,2.0,480,5.557445829734206,2.3836475886404513,0.5787904318422079,1.3879165090620518,0.6032086327904835
8,X9,3.0,530,5.554295429959893,2.0898649632930755,0.5772666428238153,1.09445920586586,0.5895084985531867
9,X10,4.0,620,5.547839965671301,2.125611236691475,0.5761561654508114,1.131274476647377,0.5956989515883228
10,X11,5.0,670,5.543951284140348,2.135026925057173,0.5760146491229534,1.1414395980536938,0.6000907903459545
11,X12,-5.0,720,5.539928877726197,2.2154930345714092,0.5760302189737558,1.222713302820921,0.6062105246819556
12,X13,-4.0,810,5.537939352914691,2.4403079718351366,0.574834568426013,1.4476870149374008,0.6158615068998188
13,X14,-3.0,860,5.5371952299028635,2.4776970855891705,0.5742636565119028,1.4851107709109783,0.6106008493419116
14,X17,-2.0,910,5.538192834705114,2.424034348875284,0.5746801756322384,1.431331817060709,0.6091010874370113
15,X18,-1.0,1000,5.538554867729545,2.5393577881157396,0.5741704907268286,1.5464809127151966,0.60873248137068
16,X19,0.0,1050,5.537777192890644,2.594830295071006,0.5735986903309822,1.6019945945590734,0.6114013676221172
17,X21,1.0,1100,5.537299562245607,2.640882667899132,0.5732276923954487,1.6480682939291,0.612956370265844
18,X25,2.0,1190,5.535802222788334,2.633048287034035,0.5725748315453529,1.6404028087854385,0.6018340736627579
19,X1,-2.0,1240,5.5351753775030375,2.690213202312589,0.5724008027464151,1.6976582873612642,0.5946795749478042
20,X2,-1.0,1290,5.533746713772416,2.777824752777815,0.5726085845381021,1.785597126930952,0.5905578214054307
21,X3,0.0,1380,5.534153504297137,2.946264087036252,0.5729775261133909,1.9540288913995028,0.5925347332376987
22,X4,1.0,1430,5.533826921135187,3.0182544596493246,0.5731563903391361,2.026120353490114,0.5921093936776742
23,X5,2.0,1480,5.533157562837005,3.0850399635732177,0.5729337092489004,2.0929951928555965,0.5913589407379428
24,X6,3.0,1570,5.53171119838953,2.5749657098203897,0.5720847025513649,1.5830404106527567,0.5798144293560957
25,X7,4.0,1620,5.532147128134966,2.607146906107664,0.571714598685503,1.6150604002177715,0.5809276311192662
26,X8,5.0,1670,5.531355524435639,2.6168027218431233,0.5716862920671701,1.6248688753694296,0.5798370643751696
27,X9,-5.0,1760,5.529407797381282,2.6936915047466754,0.5707819443196058,1.7019663341343403,0.5803059661605706
28,X10,-4.0,1810,5.529764115810394,2.48923349454999,0.570547342300415,1.4973901398479939,0.5788977309906234
29,X11,-3.0,1860,5.528578137978911,2.405175103619695,0.5704431887716055,1.4135481137782335,0.5785494320249805
30,X12,-2.0,1950,5.528441263362765,2.4180480886250733,0.5704414378851652,1.4264481235295534,0.5792656779522076
31,X13,-1.0,2000,5.528986079618335,2.4149679467082024,0.5706136655062437,1.4232934638857841,0.5792876469980304
