step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X1,5.0,50,13.17278685234487,54.29812541231513,8.358523866161704,53.3352728150785,12.055620473033438
1,X19,5.0,100,6.682207314297557,14.907882744818926,1.8579830210655928,13.943037886172533,2.3079066842328757
2,X1,-5.0,150,5.695428293198347,3.4956879913806915,0.8576429300010204,2.528130918741226,0.8871020516380667
3,X8,0.023228079080581665,240,5.454220864921808,2.105975855141878,0.5950076319277287,1.1341332085430622,0.6149595230817795
4,X16,4.762726783752441,290,5.43884608335793,2.0018387269228697,0.5827308017760515,1.030615670606494,0.6024329836169879
5,X16,-5.0,340,5.425248324871063,1.8984336324036122,0.5818104147911072,0.9297460503876209,0.6012588283435132
6,X19,-4.0889692306518555,430,5.401019141077995,1.8783287517726421,0.5741479843854904,0.9129545204341412,0.5934567666845396
7,X12,4.467044353485107,480,5.394145373255014,1.878735161200166,0.5711675323545933,0.9141395930200815,0.5905958170381685
8,X12,-4.5573554039001465,530,5.386518858373165,1.8775996454060078,0.5677438005805016,0.913844633847475,0.5872175782763709
9,X13,2.8766729831695557,620,5.378147730603814,1.8890172675251962,0.5647431705147028,0.9263363555073738,0.5837061409450446
10,X15,5.0,670,5.375619830563664,1.9087629072368144,0.5641241688281298,0.9464637748897076,0.5835905185279747
11,X8,5.0,720,5.372971640899777,1.8999297067523004,0.564371632412076,0.93820970505476,0.5823126275402803
12,X10,5.0,810,5.37083375826478,1.83499503582716,0.5635060109198093,0.8735294863581657,0.5812305384703602
13,X11,5.0,860,5.370240896940231,1.821007760986686,0.5622527301311493,0.8594101276248693,0.5807250425374757
14,X10,-5.0,910,5.371414113789797,1.7822736129164696,0.5621877200901508,0.8204283341765404,0.5801684714776153
15,X18,-5.0,1000,5.372189063578844,1.7497095517814159,0.5619242377579212,0.7876565866172314,0.5790312160582591
16,X6,-3.8073463439941406,1050,5.371703574433923,1.7375801995396616,0.5614677164703608,0.775533027946949,0.5792753415492673
17,X18,4.5892014503479,1100,5.37156299687922,1.720995970070362,0.5618544016033411,0.7590542510151863,0.5793658862045656
18,X13,-5.0,1190,5.370188714936376,1.7157281421124937,0.5617195386439562,0.7540343068540096,0.5789401314298932
19,X3,5.0,1240,5.37038516253233,1.7040607601404192,0.5620822831988335,0.7424001842737198,0.5794204435466479
20,X7,4.1114301681518555,1290,5.370264729484916,1.7054782643914224,0.5612247195094824,0.7436702623963356,0.5788205429756392
21,X7,-4.929296493530273,1380,5.368904687464237,1.6839596688747407,0.5607384815812111,0.7223264276981354,0.5785059445382407
22,X11,-5.0,1430,5.368466008454561,1.635122686997056,0.560634184628725,0.6735563222318888,0.5783344138956938
23,X9,-5.0,1480,5.3676555044949055,1.635524493455887,0.5603960044682026,0.6740725934505463,0.5780135157595698
24,X8,-4.265281677246094,1570,5.367219360545278,1.6315767243504524,0.5604495722800493,0.6702227666974068,0.5781820801785216
25,X14,4.36099910736084,1620,5.367434276267886,1.6286063868552447,0.5606529843062162,0.6672501284629107,0.5785183334179844
26,X9,5.0,1670,5.367256702855229,1.6271005004644392,0.5604154486209154,0.6657322496175766,0.5785400742509713
27,X6,3.746364116668701,1760,5.368355164304376,1.6147608678787948,0.5604652855545282,0.6531828921288252,0.5781216847632702
28,X3,-5.0,1810,5.368351424112916,1.6046239074319602,0.5602447632700205,0.643002575263381,0.57797146437224
29,X4,4.237715244293213,1860,5.368153162300587,1.6057526629418135,0.5601892545819283,0.6441598813980818,0.5779695205856115
30,X13,5.0,1950,5.3679468762129545,1.6063338771462443,0.5602306257933378,0.6447906270623207,0.5778585812076926
31,X7,1.8571066856384277,2000,5.367146199569106,1.6049043823033573,0.5600410755723715,0.6434833575040102,0.5778761230952417
