track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,42,random_single,8,400,0,0.0,1,1.7100676803361772,0.81,3.112047952394583
design,42,random_single,40,400,0,0.0,5,1.4400634612330279,0.81,1.7785587898157458
design,42,random_single,80,400,0,0.0,10,1.4400729738168045,0.81,1.7781683432778865
design,42,random_single,160,400,0,0.0,20,1.4402942770768763,0.81,1.7779671581323686
design,42,random_single,400,400,0,0.0,50,1.4401516363412086,0.81,1.777852775668462
design,42,design_single,8,400,0,0.0,1,1.5610711367586216,0.81,3.112047952394583
design,42,design_single,40,400,0,0.0,5,1.4401927544102424,0.81,1.7785587898157458
design,42,design_single,80,400,0,0.0,10,1.4403077656867667,0.81,1.7781527250508173
design,42,design_single,160,400,0,0.0,20,1.4401620130954496,0.81,1.7779652645951107
design,42,design_single,400,400,0,0.0,50,1.4400722562907293,0.81,1.777852775668462
design,42,random_joint,8,400,0,0.0,1,1.5608461576675157,0.81,3.112047952394583
design,42,random_joint,40,400,0,0.0,5,0.0005633024177090025,4.514211026230629e-06,0.0007230411100186011
design,42,random_joint,80,400,0,0.0,10,0.00017021097204945507,8.611150505129417e-09,0.00041546669018172587
design,42,random_joint,160,400,0,0.0,20,0.00032948729901454506,2.0053362819948425e-05,0.00019674815896661896
design,42,random_joint,400,400,0,0.0,50,0.00012156302955779792,1.7100680364375273e-07,7.804553329973201e-05
design,42,design_joint,8,400,0,0.0,1,0.916478395732729,0.11534150809744256,2.8150057646601256
design,42,design_joint,40,400,0,0.0,5,0.00031222529878524444,1.042909363068582e-07,0.00046868428842416945
design,42,design_joint,80,400,0,0.0,10,0.00027748734997505657,8.439950087831825e-06,0.00022394382706008323
design,42,design_joint,160,400,0,0.0,20,4.592403677712008e-05,1.6733750833026037e-05,0.0001093715668895334
design,42,design_joint,400,400,0,0.0,50,2.563482823332218e-05,3.957471748838805e-06,4.378951363053098e-05
