track,seed,method,budget,mse,fallback_weight
prior,456,broad,8,0.251876894076737,
prior,456,correct,8,0.04124446646502919,
prior,456,wrong,8,0.11307610197560818,
prior,456,wrong_with_fallback,8,0.11609894382407684,0.056333289566935625
prior,456,broad,16,0.006221621819643452,
prior,456,correct,16,0.006265533925265807,
prior,456,wrong,16,0.00391181538252111,
prior,456,wrong_with_fallback,16,0.003969460264492327,0.02935760050007334
prior,456,broad,32,0.006530366695863751,
prior,456,correct,32,0.0064418502915514295,
prior,456,wrong,32,0.00610188881569071,
prior,456,wrong_with_fallback,32,0.006108421350505884,0.01652843968024588
prior,456,broad,64,0.0014546976353884352,
prior,456,correct,64,0.0014271847676308501,
prior,456,wrong,64,0.0014592289479016776,
prior,456,wrong_with_fallback,64,0.0014590851037097415,0.01211753224893538
