track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,42,scratch_uniform,128,30,1,1,0.5126819861197247,0.3641248911424955,0.5178046445672154
transfer,42,scratch_uniform,160,30,1,5,0.33423138464172353,0.3641248911424955,0.3332005740727314
transfer,42,scratch_uniform,200,30,1,10,0.2575454386808461,0.3641248911424955,0.25387028514768584
transfer,42,scratch_uniform,280,30,1,20,0.15294456600316383,0.3641248911424955,0.14566248582594554
transfer,42,scratch_uniform,400,30,1,35,0.03492792384454999,0.024513854323407983,0.03528702969010661
transfer,42,warm_uniform,128,30,1,1,0.05677758606663814,0.9638418240409723,0.025499508895109376
transfer,42,warm_uniform,160,30,1,5,0.0576768477235141,0.9638418240409723,0.02642977957463624
transfer,42,warm_uniform,200,30,1,10,0.05604004552320952,0.9638418240409723,0.024736535919148744
transfer,42,warm_uniform,280,30,1,20,0.05501303703481616,0.9638418240409723,0.02367411334494871
transfer,42,warm_uniform,400,30,1,35,0.01594947326572023,0.034877309739502385,0.015296789249382913
transfer,42,warm_residual,128,30,1,1,0.025891553070669582,0.03524687788395063,0.025568955663315063
transfer,42,warm_residual,160,30,1,5,0.0244679946564398,0.03524687788395063,0.024096309027904945
transfer,42,warm_residual,200,30,1,10,0.02041513737027898,0.03524687788395063,0.019903698042221335
transfer,42,warm_residual,280,30,1,20,0.015089363776929508,0.03524687788395063,0.014394277083583951
transfer,42,warm_residual,400,30,1,35,0.015560697565586059,0.03524687788395063,0.014881863761504521
transfer,42,module_residual,128,30,1,1,0.026058640683465903,0.04025950626784028,0.025568955663315063
transfer,42,module_residual,160,30,1,5,0.02364551234871901,0.04025950626784028,0.023072616006680344
transfer,42,module_residual,200,30,1,10,0.020062106302469806,0.04025950626784028,0.01936564423469841
transfer,42,module_residual,280,30,1,20,0.015073363734967255,0.04025950626784028,0.014204876061419907
transfer,42,module_residual,400,30,1,35,0.012691631165821579,0.04025950626784028,0.011741014782993347
