track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2015,correct,broad,16,8,0.007787473883988259,,,
prior_gate,2015,correct,proposal,16,8,0.006379211610280459,,,
prior_gate,2015,correct,validation_gate,16,8,0.006376901222697376,0.05330175450577628,0.4960636549497458,0.36659815312502747
prior_gate,2015,correct,broad,32,8,0.00416896644591227,,,
prior_gate,2015,correct,proposal,32,8,0.004012683263647468,,,
prior_gate,2015,correct,validation_gate,32,8,0.004069908946006766,0.39914109104864226,0.18850222945621303,0.17009519633552872
prior_gate,2015,correct,broad,64,8,0.0026858104047095847,,,
prior_gate,2015,correct,proposal,64,8,0.002368116296331107,,,
prior_gate,2015,correct,validation_gate,64,8,0.00252387491567763,0.5129345172339793,0.13043258365934846,0.13276131632222216
prior_gate,2015,wrong,broad,16,8,0.007787473883988259,,,
prior_gate,2015,wrong,proposal,16,8,0.013486323426780583,,,
prior_gate,2015,wrong,validation_gate,16,8,0.007558724644986292,0.9582241080638294,0.4960636549497458,0.6370379565896431
prior_gate,2015,wrong,broad,32,8,0.00416896644591227,,,
prior_gate,2015,wrong,proposal,32,8,0.007202677377450836,,,
prior_gate,2015,wrong,validation_gate,32,8,0.005731355793150927,0.3254853939903764,0.18850222945621303,0.15571182107169684
prior_gate,2015,wrong,broad,64,8,0.0026858104047095847,,,
prior_gate,2015,wrong,proposal,64,8,0.004701143382515319,,,
prior_gate,2015,wrong,validation_gate,64,8,0.0035803399751495693,0.4556457671102148,0.13043258365934846,0.12242778038418956
