episode,step,node,value,is_breaker
0,0,X1,1.9000,0
0,1,X1,-3.9800,0
0,2,X2,1.5000,0
0,3,X2,1.5000,0
0,5,X2,1.5000,0
0,6,X2,1.5000,0
0,7,X2,2.8600,0
0,8,X2,1.5000,0
0,9,X2,-4.0000,0
0,10,X2,-1.6800,0
0,11,X1,-2.0000,0
0,12,X2,1.5000,0
0,13,X2,5.0000,0
0,14,X1,1.8751,0
1,0,X1,5.0000,0
1,1,X1,-3.0000,0
1,2,X2,1.5000,0
1,3,X2,1.5000,0
1,4,X2,1.5000,0
1,5,X2,1.5000,0
1,6,X2,0.9900,0
1,7,X2,1.5000,0
1,8,X2,1.5000,0
1,9,X1,1.9481,0
1,10,X2,1.5000,0
1,11,X2,1.5000,0
1,12,X1,2.8922,0
1,13,X2,1.5000,0
1,14,X2,1.5000,0
1,16,X2,1.5000,0
1,17,X2,5.0000,0
1,18,X2,1.5000,0
1,19,X1,-1.6612,0
1,23,X1,5.0000,0
1,24,X2,1.5000,0
2,1,X2,1.5000,0
2,2,X2,1.5000,0
2,3,X2,0.6000,0
2,4,X2,1.5000,0
2,5,X2,1.5000,0
2,6,X2,1.5000,0
2,8,X2,1.5000,0
2,9,X2,1.5000,0
2,10,X2,-3.6925,0
2,11,X2,-3.2642,0
2,12,X2,-3.5654,0
2,13,X2,-1.9038,0
2,14,X2,-4.1537,0
2,15,X2,-2.6877,0
2,16,X2,-3.8913,0
2,17,X1,-4.7007,0
2,18,X2,-0.4453,0
2,19,X2,-0.3753,0
2,20,X2,1.5000,0
2,21,X1,4.8942,0
2,22,X2,-4.9424,0
2,23,X1,1.0000,0
2,24,X2,-3.6530,0
3,0,X2,-1.1497,0
3,1,X2,-3.3184,0
3,2,X1,3.7966,0
3,3,X2,-2.1603,0
3,4,X2,-2.7438,0
3,5,X2,-0.4786,0
3,6,X1,-1.1943,0
3,7,X2,-3.0672,0
3,8,X2,-0.4688,0
3,9,X1,-4.6861,0
3,10,X2,-4.4087,0
3,11,X2,1.5000,0
3,12,X1,-0.6719,0
3,13,X2,-2.3426,0
3,14,X2,1.5000,0
3,15,X2,1.5000,0
3,16,X1,0.4189,0
3,17,X2,-1.6510,0
4,0,X2,3.5568,0
4,1,X1,3.0947,0
4,2,X2,-1.5875,0
4,3,X2,-2.5551,0
4,4,X1,-4.3768,0
4,5,X2,2.2447,0
4,6,X2,-4.7204,0
4,7,X2,1.5813,0
4,8,X1,1.6502,0
4,9,X2,1.5000,0
4,10,X2,1.5596,0
4,11,X1,4.0511,0
4,14,X2,-1.8551,0
4,15,X2,2.4628,0
5,0,X2,-4.4396,0
5,1,X2,1.5000,0
5,3,X2,2.5907,0
5,4,X2,-0.9020,0
5,5,X2,-3.1567,0
5,6,X2,1.5000,0
5,7,X2,3.1944,0
5,8,X2,1.5000,0
5,10,X2,-2.8349,0
5,11,X1,2.3333,0
5,12,X2,1.5000,0
5,13,X2,-4.8498,0
5,14,X1,4.1300,0
5,15,X2,1.5000,0
5,16,X2,4.9109,0
5,17,X2,-0.7005,0
5,18,X2,-0.3658,0
5,19,X2,-3.3116,0
5,20,X1,5.0000,0
5,21,X2,3.5291,0
5,23,X2,-3.2348,0
5,24,X2,4.1007,0
6,0,X2,-2.9374,0
6,1,X2,-4.4660,0
6,2,X2,1.0439,0
6,3,X2,3.4384,0
6,4,X2,1.5000,0
6,5,X1,0.2814,0
6,6,X2,1.5000,0
6,7,X2,-4.4885,0
6,8,X1,-1.1963,0
6,9,X2,1.5000,0
6,10,X2,-4.6177,0
6,11,X1,0.7406,0
6,12,X2,4.7993,0
6,13,X2,1.5000,0
6,14,X2,-2.9553,0
6,15,X1,1.0239,0
6,16,X2,3.7075,0
6,17,X2,1.5000,0
6,18,X1,4.0166,0
6,19,X2,-4.1878,0
6,20,X2,-0.1861,0
6,21,X1,-3.7553,0
6,22,X2,-1.8829,0
6,23,X2,0.4106,0
7,0,X1,5.0000,0
7,1,X2,3.1683,0
7,2,X1,-5.0000,0
7,3,X2,-2.8676,0
7,4,X2,4.1870,0
7,6,X2,1.5000,0
7,7,X2,-0.3268,0
7,8,X2,-0.1200,0
7,9,X2,-0.9527,0
7,10,X2,1.5000,0
7,11,X2,-1.1884,0
7,12,X2,-1.5993,0
7,13,X1,-1.9197,0
7,14,X2,-4.9183,0
7,15,X2,4.9708,0
7,16,X1,-2.6614,0
7,17,X2,1.5000,0
7,18,X2,-3.0177,0
7,19,X2,-1.2228,0
7,20,X1,-3.6278,0
7,21,X2,4.5728,0
7,22,X2,-4.5424,0
7,23,X1,0.5161,0
7,24,X2,0.2007,0
8,0,X2,4.1555,0
8,1,X1,-2.4169,0
8,2,X2,-3.0350,0
8,3,X2,1.5000,0
8,4,X2,-1.8115,0
8,5,X1,-4.8081,0
8,6,X2,-0.4400,0
8,8,X2,-1.2360,0
9,0,X2,3.8672,0
9,1,X2,-1.2895,0
9,2,X1,-3.2759,0
9,3,X1,5.0000,0
9,4,X2,-2.3952,0
9,5,X2,1.5000,0
9,6,X2,1.5000,0
9,7,X2,-1.2371,0
9,8,X2,1.5000,0
9,9,X1,2.3605,0
9,11,X2,-1.5002,0
9,14,X2,-4.7118,0
10,0,X2,2.9907,0
10,1,X1,5.0000,0
10,2,X2,4.5847,0
10,3,X2,-2.7642,0
10,4,X2,-4.4277,0
10,5,X2,1.5000,0
10,6,X2,1.5000,0
10,7,X2,1.9420,0
10,8,X2,-1.3364,0
10,10,X2,-0.6770,0
11,0,X2,1.3145,0
11,1,X2,-2.3138,0
11,2,X2,1.7394,0
11,3,X1,3.9412,0
11,4,X2,1.5000,0
11,6,X2,-2.2315,0
11,7,X2,1.2299,0
11,8,X2,1.5000,0
11,9,X2,-4.6362,0
11,10,X1,3.0423,0
11,11,X2,1.5000,0
11,12,X2,1.4403,0
