episode,step,node,value,is_breaker
23,1,X5,-0.1700,0
23,2,X19,4.4600,0
23,2,X10,1.5000,0
23,3,X11,4.6400,0
23,3,X10,1.5000,0
23,4,X14,-0.1800,0
23,4,X1,-4.7700,0
23,5,X10,1.5000,0
23,5,X17,-1.5200,0
23,6,X20,-4.3600,0
23,6,X1,1.0000,0
23,7,X10,1.5000,0
23,7,X10,1.5000,0
23,8,X19,1.2100,0
23,8,X10,1.5000,0
23,9,X10,1.5000,0
23,9,X13,-0.5700,0
23,10,X9,-1.5500,0
23,11,X10,1.5000,0
23,10,X10,1.5000,0
23,12,X1,-4.7500,0
24,0,X11,-0.2600,0
23,13,X3,0.6000,0
24,1,X10,1.5000,0
23,14,X10,1.5000,0
24,2,X10,0.7500,0
23,15,X19,-4.4100,0
24,3,X9,-3.5500,0
23,16,X10,-3.0800,0
24,4,X1,-1.8300,0
23,17,X18,2.7500,0
24,5,X10,1.5000,0
23,18,X11,-4.5600,0
24,6,X11,2.3200,0
23,19,X13,1.3000,0
24,0,X20,2.1300,0
24,7,X10,-2.7300,0
24,1,X8,0.8700,0
24,8,X20,-1.5400,0
24,2,X10,1.5000,0
24,9,X1,-2.4600,0
24,3,X19,1.8700,0
24,10,X10,1.5000,0
24,4,X1,-4.2600,0
24,11,X8,2.0400,0
24,5,X10,1.5000,0
24,12,X5,-1.1500,0
24,6,X8,-3.4500,0
25,0,X11,-1.8700,0
24,7,X10,1.5000,0
25,1,X20,-3.1500,0
24,8,X13,-2.2500,0
25,2,X13,-0.0400,0
24,9,X20,-1.5800,0
25,3,X10,1.8100,0
24,10,X10,1.5000,0
25,4,X10,1.5000,0
25,5,X17,-2.4700,0
24,11,X13,-1.3600,0
25,6,X20,1.5000,0
24,12,X11,-1.6800,0
25,0,X11,0.5400,0
25,7,X10,-3.7300,0
25,1,X8,-0.5000,0
25,8,X1,-4.7000,0
25,2,X17,-1.1500,0
25,9,X10,1.5000,0
25,3,X20,-0.1400,0
25,4,X1,-3.0500,0
25,11,X10,1.5000,0
25,5,X18,-3.7300,0
25,6,X19,1.8000,0
25,13,X5,-3.1100,0
25,7,X19,0.6800,0
25,14,X8,4.1000,0
25,8,X19,-3.1700,0
25,15,X17,-2.3300,0
25,16,X17,-0.7400,0
26,0,X19,3.5300,0
26,1,X7,-3.8400,0
25,17,X11,-1.8700,0
26,2,X10,1.5000,0
25,18,X9,-1.0000,0
26,3,X10,1.5000,0
25,19,X7,-4.0000,0
26,4,X10,1.5000,0
25,20,X8,2.0100,0
26,5,X5,2.0000,0
26,6,X11,3.4700,0
25,21,X11,-2.8600,0
26,7,X1,-3.3500,0
25,22,X19,1.2100,0
26,8,X1,-2.6600,0
26,9,X9,-3.1400,0
25,23,X1,-0.6000,0
26,10,X8,3.8500,0
25,24,X11,0.5700,0
26,11,X8,-2.5800,0
26,0,X20,1.6200,0
26,12,X11,0.5300,0
26,1,X1,2.1400,0
26,13,X13,-3.8100,0
26,2,X1,-4.4600,0
26,14,X1,-4.6200,0
26,3,X19,-1.1500,0
26,4,X11,-2.3300,0
26,16,X10,1.5000,0
26,5,X10,1.5000,0
26,17,X14,1.5800,0
26,6,X11,-1.4200,0
26,18,X18,-4.2000,0
26,7,X10,1.5000,0
26,19,X10,1.5000,0
26,20,X10,1.5000,0
26,10,X10,1.5000,0
26,21,X20,2.0000,0
26,11,X14,3.7200,0
26,23,X13,-4.4000,0
26,12,X8,4.4100,0
26,24,X14,3.0700,0
26,13,X3,-3.8700,0
27,0,X7,-3.5200,0
26,14,X10,1.5000,0
27,1,X19,-0.5100,0
26,15,X10,1.5000,0
27,2,X1,-2.0000,0
26,16,X10,1.5000,0
26,17,X11,-0.7500,0
27,4,X1,3.0300,0
27,5,X10,1.5000,0
26,18,X17,1.5400,0
27,6,X10,1.5000,0
27,7,X11,4.8800,0
27,0,X10,1.5000,0
27,8,X9,-1.0000,0
27,1,X1,-1.0800,0
27,9,X11,0.6800,0
27,2,X5,-3.0700,0
27,10,X18,-2.5200,0
27,3,X20,2.1800,0
27,11,X1,-3.2300,0
27,5,X11,-4.5100,0
27,12,X10,1.5000,0
27,6,X14,-2.5700,0
27,13,X14,-3.1100,0
27,14,X10,2.6200,0
27,7,X18,-4.8700,0
27,15,X14,-3.6700,0
27,8,X10,1.5000,0
28,0,X20,-0.5000,0
27,16,X3,3.1000,0
28,1,X10,-0.2800,0
27,17,X13,-0.4400,0
28,2,X11,-4.7600,0
27,18,X10,1.5000,0
28,3,X11,3.7200,0
27,19,X10,1.5000,0
28,4,X1,-4.2700,0
27,20,X13,2.4400,0
28,5,X9,-1.8100,0
27,21,X18,1.5700,0
28,6,X18,-3.4500,0
27,22,X14,2.3100,0
28,7,X10,1.5000,0
27,24,X10,-3.2300,0
28,8,X1,-0.3600,0
28,0,X11,-0.5400,0
28,9,X1,3.5100,0
28,1,X9,-1.1200,0
28,10,X13,0.2700,0
28,2,X13,-1.0000,0
28,11,X9,2.8600,0
28,3,X11,1.1300,0
28,12,X14,-3.1000,0
28,4,X10,-2.0000,0
28,13,X18,1.6300,0
28,5,X11,-0.0800,0
28,14,X10,1.5000,0
28,6,X19,0.4700,0
28,7,X14,-4.5500,0
28,15,X10,1.5000,0
28,8,X18,-3.5000,0
28,16,X17,4.1700,0
28,9,X17,-0.0200,0
28,17,X14,-3.4600,0
29,0,X20,1.2400,0
28,18,X10,1.5000,0
29,1,X10,1.5000,0
29,0,X10,-0.8000,0
29,2,X19,-3.1400,0
29,1,X14,-4.0000,0
29,3,X17,-1.8500,0
29,2,X11,-3.3000,0
29,4,X5,4.7100,0
29,3,X11,-2.4700,0
29,5,X1,-3.5900,0
29,6,X14,-4.3500,0
29,5,X1,-1.2500,0
29,7,X11,-4.1400,0
29,8,X20,1.3300,0
29,6,X9,1.5500,0
29,9,X10,1.5000,0
29,7,X10,1.5000,0
29,10,X19,-1.3100,0
29,8,X10,1.5000,0
29,9,X10,1.5000,0
29,11,X19,0.4100,0
30,0,X20,2.5000,0
29,10,X11,-4.5000,0
30,1,X5,-4.4500,0
29,11,X13,-0.1800,0
30,2,X20,-0.0200,0
30,0,X18,-0.5600,0
30,3,X19,-0.5100,0
30,4,X10,1.5000,0
30,2,X1,-3.4100,0
30,5,X11,2.4400,0
30,3,X19,-1.5000,0
30,4,X3,-0.5300,0
30,7,X10,1.5000,0
30,5,X10,-0.3600,0
30,8,X1,-1.4700,0
30,6,X1,4.7300,0
30,9,X17,3.0000,0
30,7,X17,-0.3200,0
30,10,X10,-2.0000,0
30,8,X8,-0.8300,0
30,9,X17,-4.4100,0
30,11,X18,-0.1600,0
30,12,X8,4.8800,0
31,0,X10,0.2300,0
30,13,X1,-1.3000,0
31,1,X7,3.1200,0
30,14,X11,-1.5800,0
31,2,X1,3.0000,0
30,15,X3,-0.7500,0
31,3,X1,-5.0000,0
30,16,X18,-1.7000,0
31,4,X20,-4.7000,0
30,17,X10,1.5000,0
30,18,X13,-1.0400,0
31,6,X11,3.3000,0
30,19,X10,1.5000,0
31,7,X10,1.5700,0
30,20,X10,1.5000,0
31,8,X20,-2.1200,0
31,9,X19,1.8000,0
32,0,X20,-1.1200,0
31,1,X10,1.5000,0
31,2,X10,-4.5700,0
32,2,X1,-1.8100,0
31,3,X14,-2.6600,0
32,3,X11,-4.4500,0
31,4,X13,-4.5500,0
32,4,X19,-4.1300,0
31,5,X10,1.5000,0
32,6,X10,1.5000,0
31,7,X11,-4.0100,0
32,7,X13,4.1400,0
31,8,X20,1.5100,0
32,8,X1,-4.3200,0
31,9,X19,-0.6500,0
32,9,X8,0.6300,0
31,10,X10,-4.1200,0
32,10,X14,-4.7000,0
31,11,X1,-4.1300,0
32,11,X10,1.5000,0
31,13,X20,-0.6700,0
31,14,X14,-1.0000,0
32,13,X17,3.1500,0
31,15,X10,1.5000,0
32,14,X1,-1.3600,0
31,16,X17,0.0700,0
32,15,X10,1.5000,0
31,17,X20,-0.7200,0
32,16,X1,0.7100,0
31,18,X5,4.5800,0
32,17,X11,4.4300,0
31,19,X11,-3.1800,0
32,18,X10,1.5000,0
31,20,X17,-1.5000,0
31,21,X13,-0.4500,0
32,19,X10,-4.6600,0
33,0,X10,1.5000,0
31,22,X19,3.0000,0
33,1,X1,-3.5600,0
31,23,X9,-0.1700,0
33,2,X17,1.4500,0
31,24,X10,1.5000,0
32,0,X10,1.5000,0
33,3,X10,1.5000,0
32,1,X5,-4.3100,0
33,4,X20,1.7800,0
32,2,X11,-3.1800,0
33,5,X11,-1.0000,0
32,3,X9,-1.3600,0
33,6,X10,1.5000,0
32,4,X10,1.5000,0
32,5,X10,-1.3600,0
33,7,X11,2.5300,0
32,6,X18,1.1200,0
33,8,X11,-4.0400,0
32,7,X10,1.5000,0
33,9,X7,-0.6300,0
33,0,X10,1.5000,0
33,1,X13,3.3800,0
33,10,X10,1.5000,0
33,2,X1,-2.8000,0
33,3,X10,1.5000,0
