episode,step,node,value,is_breaker
15,7,X10,1.5000,0
15,8,X29,3.0000,0
15,9,X10,1.5000,0
15,12,X10,1.5000,0
16,0,X27,-1.4500,0
16,2,X10,1.5000,0
16,3,X10,1.5000,0
16,4,X8,-1.2200,0
16,5,X6,-3.3000,0
16,6,X10,1.5000,0
17,0,X10,1.5000,0
17,1,X10,1.5000,0
17,2,X10,1.5000,0
17,3,X29,0.3000,0
17,4,X10,1.5000,0
17,5,X7,-1.2300,0
17,6,X10,1.5000,0
17,7,X12,-4.2000,0
17,9,X10,1.5000,0
18,0,X10,1.5000,0
18,1,X10,1.5000,0
18,2,X10,1.5000,0
18,3,X10,1.5000,0
18,4,X10,1.5000,0
18,5,X10,1.5000,0
18,6,X10,1.5000,0
18,7,X10,1.5000,0
19,0,X10,1.5000,0
19,1,X23,-3.4600,0
19,2,X10,1.5000,0
19,3,X10,1.5000,0
19,4,X10,1.5000,0
19,5,X10,1.5000,0
19,6,X28,-1.2300,0
19,7,X10,1.5000,0
20,0,X10,1.5000,0
20,2,X10,1.5000,0
20,3,X10,1.5000,0
20,4,X10,1.5000,0
20,5,X11,-3.4500,0
20,6,X10,1.5000,0
20,7,X10,1.5000,0
