episode,step,node,value,is_breaker
26,12,X2,1.5000,0
26,13,X2,1.5000,0
26,14,X2,1.5000,0
26,15,X2,1.5000,0
26,16,X2,1.5000,0
26,17,X2,1.5000,0
27,0,X2,1.5000,0
27,1,X2,1.5000,0
27,2,X2,1.5000,0
27,3,X2,1.5000,0
27,4,X2,1.5000,0
27,5,X1,-4.7346,0
27,6,X3,1.4988,0
27,7,X1,-2.7956,0
27,8,X3,3.0943,0
27,9,X1,3.0582,0
27,10,X2,1.5000,0
27,11,X3,-4.0328,0
27,12,X4,-5.0000,0
27,13,X2,1.5000,0
27,14,X2,1.5000,0
27,15,X2,1.5000,0
27,16,X2,1.5000,0
27,17,X2,1.5000,0
27,18,X1,-3.2886,0
28,0,X2,1.5000,0
28,1,X2,1.5000,0
28,2,X3,-2.3226,0
28,3,X2,1.5000,0
28,4,X2,1.5000,0
28,5,X2,1.5000,0
28,6,X1,4.9754,0
28,7,X2,1.5000,0
28,8,X2,1.5000,0
29,0,X3,3.6078,0
29,1,X2,1.5000,0
29,2,X2,1.5000,0
29,3,X1,0.0059,0
29,4,X2,1.5000,0
29,5,X2,1.5000,0
29,6,X2,1.5000,0
29,7,X3,3.3167,0
30,0,X2,1.5000,0
30,1,X2,1.5000,0
30,2,X1,-2.3494,0
30,3,X2,1.5000,0
30,4,X2,1.5000,0
30,5,X3,-2.7530,0
30,6,X2,1.5000,0
30,7,X2,1.5000,0
30,8,X2,-1.6551,0
