episode,step,node,value,is_breaker
0,0,X10,1.5000,0
0,1,X10,1.5000,0
0,2,X10,1.5000,0
0,3,X10,1.5000,0
0,4,X10,1.5000,0
0,5,X10,1.5000,0
0,6,X10,1.5000,0
1,0,X10,1.5000,0
1,1,X10,1.5000,0
1,2,X10,1.5000,0
1,3,X10,1.5000,0
1,4,X8,3.1970,0
1,5,X7,1.0469,0
1,6,X8,-4.2012,0
1,7,X7,2.2872,0
1,8,X8,0.5372,0
1,9,X10,1.5000,0
1,10,X7,2.9123,0
1,11,X10,1.5000,0
1,12,X10,1.5000,0
2,0,X10,1.5000,0
2,1,X8,3.9028,0
2,2,X10,1.5000,0
2,3,X10,1.5000,0
2,4,X7,3.4063,0
2,5,X10,1.5000,0
2,6,X10,1.5000,0
2,7,X8,-1.5181,0
2,8,X10,1.5000,0
2,9,X10,1.5000,0
3,0,X10,1.5000,0
3,1,X7,1.2644,0
3,2,X10,1.5000,0
3,3,X10,1.5000,0
3,4,X8,-1.6696,0
3,5,X10,1.5000,0
3,6,X10,1.5000,0
4,0,X7,-4.2200,0
4,1,X10,1.5000,0
4,2,X10,1.5000,0
4,3,X10,1.5000,0
4,4,X8,1.5259,0
4,5,X10,1.5000,0
4,6,X10,1.5000,0
4,7,X7,-2.0894,0
5,0,X10,1.5000,0
5,1,X10,1.5000,0
5,2,X8,-0.0293,0
5,3,X10,1.5000,0
5,4,X10,1.5000,0
5,5,X10,1.5000,0
5,6,X7,0.8089,0
5,7,X10,-3.6712,0
5,8,X10,-3.7738,0
5,9,X8,-3.4734,0
5,10,X10,-2.6843,0
5,11,X10,-1.7600,0
5,12,X7,-3.6124,0
5,13,X10,1.5000,0
5,14,X10,-4.5954,0
5,15,X10,-0.5811,0
5,16,X8,0.3420,0
5,17,X10,-0.5406,0
5,18,X10,-4.4395,0
5,19,X7,-1.1848,0
5,20,X10,-4.4848,0
5,21,X10,-0.4143,0
5,22,X8,-1.9876,0
5,23,X10,-3.3206,0
5,24,X10,-3.1719,0
6,0,X10,-1.4615,0
6,1,X7,-0.0635,0
6,2,X10,-0.2147,0
6,3,X10,1.5000,0
6,4,X8,1.2930,0
6,5,X10,-3.8275,0
6,6,X10,1.5000,0
6,7,X7,0.7494,0
6,8,X10,-4.4795,0
6,9,X10,1.5000,0
6,10,X10,-0.3975,0
6,11,X8,0.2824,0
7,0,X10,-4.6629,0
7,1,X10,-0.5288,0
7,2,X7,0.9910,0
7,3,X10,-0.3778,0
7,4,X10,-3.0936,0
7,5,X8,-2.2032,0
7,6,X10,-3.9825,0
7,7,X10,-3.8549,0
7,8,X10,1.2351,0
7,9,X7,-2.8044,0
7,10,X10,-3.4554,0
7,11,X10,0.1737,0
8,0,X8,-2.7292,0
8,1,X10,1.6682,0
8,2,X10,1.1269,0
8,3,X7,-4.8751,0
8,4,X10,-3.6126,0
8,5,X10,4.7630,0
8,6,X10,-4.2854,0
8,7,X8,4.3056,0
8,8,X10,3.9902,0
8,9,X10,-3.0511,0
8,10,X7,-4.7247,0
8,11,X10,3.1046,0
8,12,X10,1.5000,0
8,13,X8,-0.8981,0
8,14,X10,-4.8867,0
8,15,X10,2.3665,0
8,16,X10,-2.4863,0
8,17,X7,-0.5513,0
8,18,X10,3.4644,0
8,19,X10,1.5000,0
8,20,X8,3.7624,0
8,21,X10,-3.4011,0
8,22,X10,3.7668,0
8,23,X7,-2.3037,0
8,24,X10,-0.5926,0
9,0,X10,-3.0103,0
9,1,X10,1.5000,0
9,2,X8,0.3727,0
9,3,X10,1.5000,0
9,4,X10,-3.8147,0
9,5,X7,-4.7899,0
9,6,X10,1.5000,0
9,7,X10,-2.5706,0
10,0,X8,-4.1021,0
10,1,X10,2.3044,0
10,2,X10,1.6776,0
10,3,X10,-1.1029,0
10,4,X7,2.8377,0
10,5,X10,-0.3350,0
10,6,X10,-1.4648,0
10,7,X8,-4.3613,0
10,8,X10,4.9806,0
10,9,X10,-0.3197,0
10,10,X7,2.3632,0
10,11,X10,-4.9357,0
10,12,X10,1.5070,0
10,13,X10,3.1167,0
10,14,X8,-3.8474,0
10,15,X10,-2.0052,0
10,16,X10,1.5000,0
10,17,X7,-2.0543,0
10,18,X10,-3.6174,0
10,19,X10,0.6619,0
10,20,X8,-0.5599,0
10,21,X10,2.7669,0
10,22,X10,-3.2733,0
10,23,X10,3.7661,0
10,24,X7,2.5418,0
11,0,X10,-1.8759,0
11,1,X10,-1.3561,0
11,2,X8,4.2361,0
11,3,X10,1.8731,0
11,4,X10,-2.6656,0
11,5,X7,-4.3539,0
