loss,preference_margin,ref_margin,kl_from_ref,sigmoid_input,winner_target,loser_target
0.69140625,0.0,0.0,0.0,0.0,X2,X2
0.69140625,0.0,0.0,0.0,0.0,X2,X2
0.69140625,0.0,0.0,-4.0,0.0,X2,X2
0.69140625,0.0,0.0,-12.0,0.0,X2,X2
0.51171875,-4.0,-8.0,2.0,4.0,X3,X2
0.69140625,-8.0,-8.0,-8.0,0.0,X4,X2
0.51171875,-4.0,-8.0,18.0,4.0,X3,X2
0.51171875,0.0,-4.0,10.0,4.0,X4,X2
0.37109375,4.0,-4.0,12.0,8.0,X3,X2
0.37109375,4.0,-4.0,24.0,8.0,X4,X2
0.18359375,8.0,-8.0,32.0,16.0,X3,X2
0.18359375,16.0,0.0,20.0,16.0,X4,X2
0.039794921875,24.0,-8.0,-12.0,32.0,X3,X2
0.69140625,0.0,0.0,-60.0,0.0,X2,X2
0.0037078857421875,48.0,-8.0,-92.0,56.0,X4,X2
0.00811767578125,44.0,-4.0,-136.0,48.0,X3,X2
0.00010251998901367188,80.0,-12.0,-142.0,92.0,X4,X2
0.69140625,0.0,0.0,-228.0,0.0,X2,X2
6.139278411865234e-06,112.0,-8.0,-176.0,120.0,X3,X2
2.726912498474121e-06,120.0,-8.0,-232.0,128.0,X4,X2
6.139278411865234e-06,116.0,-4.0,-252.0,120.0,X3,X2
0.0002307891845703125,76.0,-8.0,-246.0,84.0,X4,X2
4.231929779052734e-06,120.0,-4.0,-242.0,124.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-240.0,128.0,X3,X2
4.231929779052734e-06,120.0,-4.0,-234.0,124.0,X4,X2
0.69140625,0.0,0.0,-272.0,0.0,X2,X2
1.8775463104248047e-06,124.0,-8.0,-226.0,132.0,X4,X2
1.2069940567016602e-06,132.0,-4.0,-232.0,136.0,X3,X2
1.2069940567016602e-06,132.0,-4.0,-196.0,136.0,X4,X2
1.2069940567016602e-06,128.0,-8.0,-284.0,136.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-288.0,128.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-244.0,128.0,X4,X2
1.8775463104248047e-06,124.0,-8.0,-254.0,132.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-300.0,128.0,X4,X2
6.139278411865234e-06,116.0,-4.0,-240.0,120.0,X4,X2
0.69140625,0.0,0.0,-332.0,0.0,X2,X2
2.726912498474121e-06,124.0,-4.0,-280.0,128.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-276.0,128.0,X4,X2
2.726912498474121e-06,124.0,-4.0,-268.0,128.0,X3,X2
1.2069940567016602e-06,128.0,-8.0,-192.0,136.0,X4,X2
8.307397365570068e-07,136.0,-4.0,-270.0,140.0,X3,X2
0.69140625,0.0,0.0,-372.0,0.0,X2,X2
8.307397365570068e-07,132.0,-8.0,-278.0,140.0,X4,X2
1.2069940567016602e-06,132.0,-4.0,-272.0,136.0,X3,X2
1.8775463104248047e-06,128.0,-4.0,-286.0,132.0,X4,X2
1.8775463104248047e-06,128.0,-4.0,-290.0,132.0,X4,X2
1.8775463104248047e-06,124.0,-8.0,-246.0,132.0,X3,X2
1.8775463104248047e-06,124.0,-8.0,-226.0,132.0,X4,X2
4.231929779052734e-06,116.0,-8.0,-278.0,124.0,X3,X2
1.2069940567016602e-06,132.0,-4.0,-192.0,136.0,X4,X2
1.2069940567016602e-06,132.0,-4.0,-268.0,136.0,X3,X2
8.307397365570068e-07,132.0,-8.0,-266.0,140.0,X4,X2
2.014636993408203e-05,108.0,0.0,-230.0,108.0,X3,X2
1.8775463104248047e-06,124.0,-8.0,-294.0,132.0,X4,X2
1.2069940567016602e-06,132.0,-4.0,-276.0,136.0,X4,X2
8.307397365570068e-07,132.0,-8.0,-274.0,140.0,X3,X2
1.8775463104248047e-06,128.0,-4.0,-274.0,132.0,X4,X2
4.231929779052734e-06,120.0,-4.0,-266.0,124.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-288.0,128.0,X3,X2
2.726912498474121e-06,124.0,-4.0,-280.0,128.0,X3,X2
5.699694156646729e-07,140.0,-4.0,-292.0,144.0,X4,X2
8.307397365570068e-07,132.0,-8.0,-242.0,140.0,X3,X2
5.699694156646729e-07,136.0,-8.0,-284.0,144.0,X4,X2
6.139278411865234e-06,116.0,-4.0,-252.0,120.0,X3,X2
3.688037395477295e-07,140.0,-8.0,-294.0,148.0,X4,X2
2.5331974029541016e-07,144.0,-8.0,-284.0,152.0,X3,X2
8.307397365570068e-07,132.0,-8.0,-238.0,140.0,X3,X2
8.307397365570068e-07,132.0,-8.0,-254.0,140.0,X3,X2
5.699694156646729e-07,140.0,-4.0,-260.0,144.0,X4,X2
2.5331974029541016e-07,148.0,-4.0,-272.0,152.0,X3,X2
1.2069940567016602e-06,132.0,-4.0,-276.0,136.0,X4,X2
1.2069940567016602e-06,132.0,-4.0,-308.0,136.0,X4,X2
2.726912498474121e-06,124.0,-4.0,-212.0,128.0,X3,X2
1.8775463104248047e-06,128.0,-4.0,-242.0,132.0,X4,X2
8.307397365570068e-07,132.0,-8.0,-262.0,140.0,X3,X2
1.2069940567016602e-06,136.0,0.0,-236.0,136.0,X4,X2
1.8775463104248047e-06,128.0,-4.0,-250.0,132.0,X3,X2
5.699694156646729e-07,136.0,-8.0,-264.0,144.0,X3,X2
5.699694156646729e-07,136.0,-8.0,-264.0,144.0,X4,X2
0.69140625,136.0,136.0,0.0,0.0,X3,X2
0.08642578125,152.0,128.0,-16.0,24.0,X4,X2
0.0181884765625,180.0,140.0,-44.0,40.0,X4,X2
0.0010986328125,200.0,132.0,-70.0,68.0,X3,X2
0.000335693359375,208.0,128.0,-52.0,80.0,X4,X2
0.002471923828125,172.0,112.0,-102.0,60.0,X3,X2
3.123283386230469e-05,236.0,132.0,-84.0,104.0,X4,X2
0.00075531005859375,120.0,48.0,-112.0,72.0,X3,X2
0.00010251998901367188,224.0,132.0,-78.0,92.0,X4,X2
3.123283386230469e-05,236.0,132.0,-156.0,104.0,X3,X2
4.5299530029296875e-05,236.0,136.0,-126.0,100.0,X4,X2
2.014636993408203e-05,236.0,128.0,-146.0,108.0,X4,X2
2.014636993408203e-05,240.0,132.0,-162.0,108.0,X3,X2
0.0002307891845703125,228.0,144.0,-146.0,84.0,X4,X2
2.726912498474121e-06,264.0,136.0,-144.0,128.0,X3,X2
1.8775463104248047e-06,272.0,140.0,-198.0,132.0,X4,X2
5.699694156646729e-07,272.0,128.0,-184.0,144.0,X3,X2
1.2069940567016602e-06,268.0,132.0,-192.0,136.0,X4,X2
1.2069940567016602e-06,264.0,128.0,-172.0,136.0,X3,X2
5.699694156646729e-07,272.0,128.0,-160.0,144.0,X4,X2
1.8775463104248047e-06,268.0,136.0,-174.0,132.0,X4,X2
8.307397365570068e-07,272.0,132.0,-194.0,140.0,X3,X2
2.726912498474121e-06,260.0,132.0,-184.0,128.0,X3,X2
4.231929779052734e-06,264.0,140.0,-182.0,124.0,X4,X2
2.726912498474121e-06,260.0,132.0,-200.0,128.0,X3,X2
1.2069940567016602e-06,256.0,120.0,-184.0,136.0,X4,X2
1.2069940567016602e-06,272.0,136.0,-200.0,136.0,X3,X2
1.8775463104248047e-06,272.0,140.0,-198.0,132.0,X4,X2
1.2069940567016602e-06,264.0,128.0,-200.0,136.0,X3,X2
0.69140625,0.0,0.0,-236.0,0.0,X2,X2
5.699694156646729e-07,280.0,136.0,-200.0,144.0,X4,X2
8.307397365570068e-07,272.0,132.0,-154.0,140.0,X3,X2
1.8775463104248047e-06,260.0,128.0,-198.0,132.0,X4,X2
1.8775463104248047e-06,264.0,132.0,-198.0,132.0,X3,X2
5.699694156646729e-07,272.0,128.0,-200.0,144.0,X3,X2
1.8775463104248047e-06,268.0,136.0,-170.0,132.0,X3,X2
8.307397365570068e-07,272.0,132.0,-186.0,140.0,X4,X2
2.726912498474121e-06,264.0,136.0,-180.0,128.0,X3,X2
1.2069940567016602e-06,264.0,128.0,-188.0,136.0,X4,X2
1.2069940567016602e-06,256.0,120.0,-208.0,136.0,X3,X2
4.231929779052734e-06,252.0,128.0,-170.0,124.0,X3,X2
1.8775463104248047e-06,268.0,136.0,-190.0,132.0,X4,X2
5.699694156646729e-07,268.0,124.0,-168.0,144.0,X3,X2
6.139278411865234e-06,252.0,132.0,-176.0,120.0,X4,X2
